"designId","name","category"
2032,"DUPLO TRUCK BODY 2X6","Bricks"
2033,"DUPLO FIRELADDER","Bricks"
2039,"FABULAND STANDARD","Bricks, Special"
2155,"DUPLO AEROPLANE, WING 4X16X1/2","Bricks"
2156,"DUPLO AEROPL.,ELEVATOR 3X8X1/2","Bricks"
2205,"DUPLO DOOR","Bricks"
2206,"DUPLO WINDOW","Bricks"
2214,"DUPLO RAIL 1X6","Bricks"
2222,"DUPLO PICK-UP, CRANE ARM","Bricks"
2223,"DUPLO PICK-UP, LADDERCONSOLE","Bricks"
2224,"DUPLO PICK-UP, LADDER","Bricks"
2230,"DUPLO MAILBOX","Bricks"
2231,"DUPLO MAILBOX, FLAP","Bricks"
2291,"DUPLO BRICK 2X10","Bricks"
2300,"DUPLO BRICK 2X6","Bricks"
2301,"DUPLO BRICK, BOW 2X3X2","Bricks"
2302,"DUPLO BRICK, BOW 2X3X1","Bricks"
2318,"DUPLO FLASHING LIGHT 01/43","Bricks"
2332,"DUPLO DOOR-/WINDOWELEM. 2X4X3","Bricks"
2339,"BRICK W. BOW 1X5X4","Bricks, Special"
2340,"RUDDER 1X4X3","Bricks, Special"
2341,"DOUB. INVERT.ROOF TILE 1X3/45°","Bricks, Special"
2345,"WALLELEMENT CORNER","Bricks, Special"
2346,"TYRE HIGH NARROW Ø30.4 X 7","Bricks, Special"
2352,"WINDOW 2X4/1X4","Bricks, Special"
2356,"BRICK 4X6","Bricks, Special"
2357,"BRICK CORNER 1X2X2","Bricks"
2362,"WALL ELEMENT 1X2X3","Bricks, Special"
2376,"ROUND PLATE 2X2 W/EYE","Bricks, Special"
2377,"WALL ELEMENT 1X2X2 W. WINDOW","Bricks, Special"
2397,"THILL FOR GIG","Bricks, Special"
2400,"GATE 5X9","Bricks, Special"
2401,"CORNER PLATE 10X10","Bricks, Special"
2412,"RADIATOR GRILLE 1X2","Plates"
2413,"AEROPLANEWING 4X9","Bricks, Special"
2415,"WHEEL FORK 2X2","Bricks, Special"
2417,"LIMB ELEMENT","Botanic"
2419,"CORNER PLATE 3X6","Plates, special circles and angles"
2420,"CORNER PLATE 1X2X2","Plates"
2421,"PROPELLER","Bricks, Special"
2423,"LIMB ELEMENT, SMALL","Botanic"
2431,"FLAT TILE 1X4","Plates"
2432,"CLAMP 1X2","Plates, special"
2434,"KNOB STONE 2X4X2","Bricks, Special"
2435,"SPRUCE TREE, SMALL","Bricks, Special"
2436,"ANGLE PLATE 1X2/1X4","Bricks, Special"
2437,"WINDSCREEN 36 GR. 3X4X1 1/3","Bricks, Special"
2439,"DUSTBIN","Bricks, Special"
2440,"SNOW PLOUGH LL","Bricks, Special"
2441,"CHASSIS 4X7","Wheel base"
2444,"TECHNIC BEARING PLATE 2X2","Bricks, Special"
2445,"PLATE 2X12","Plates"
2447,"MINI VISOR 2","Figure, head clothing"
2449,"ROOF TILE 1X2X3/74° INV.","Bricks, with slope"
2450,"CORNER PLATE  45 DEG. 3X3","Plates, special circles and angles"
2453,"BRICK 1X1X5","Bricks"
2454,"BRICK 1X2X5","Bricks"
2456,"BRICK 2X6 *","Bricks, Special"
2458,"BRICK 1X2 W. HORIZONTAL SNAP","Bricks, Special"
2460,"PLATE 2X2 W. VERTICAL SNAP","Bricks, Special"
2462,"FACET BRICK 3X3X1","Bricks, special circles and angles"
2465,"BRICK 1X16","Bricks"
2475,"STRAP, BRUSH","Bricks, Special"
2476,"PLATE 2X2 INVERTED W. SNAP","Bricks, Special"
2479,"ROTOR","Bricks, Special"
2483,"COCKPIT 4X4X4","Bricks, Special"
2486,"BALUSTRADE 1X8X2","Bricks, Special"
2488,"WHIP","Bricks, Special"
2489,"BARREL 2X2","Bricks, Special"
2494,"GLASS 4X5","Bricks, Special"
2495,"SACK TRUCK","Bricks, Special"
2496,"WHEEL AXLE Ø8.2/Ø1.9","Tyres and rims, special"
2497,"AXLE Ø4.9, BRUSH","Bricks, Special"
2498,"BRUSH Ø24X18.2","Bricks, Special"
2508,"PLATE 1X2X4 W. BALL","Plates, special"
2512,"TRUCK BODY 5X4,5X1 1/3","Bricks, Special"
2515,"WHEEL Ø56","Bricks, Special"
2516,"TOOL HOLDER","Bricks, Special"
2524,"KNAPSACK","Bricks, Special"
2525,"FLAG 6X4 W. 2 HOLDERS","Bricks, Special"
2526,"EPAULETS","Bricks, Special"
2527,"GUN CARRIAGE 2X4X1 1/3","Bricks, Special"
2528,"ADMIRAL'S HAT","Bricks, Special"
2530,"SWORD","Bricks, Special"
2540,"PLATE 1X2 W. STICK","Plates, special"
2542,"MINI OAR","Bricks, Special"
2543,"MINI HEADSQUARE SCARF","Bricks, Special"
2544,"MINI THREE-CORNERED HAT","Bricks, Special"
2545,"MINI SHAKO","Bricks, Special"
2546,"BIRD","Bricks, Special"
2547,"SHARK","Bricks, Special"
2549,"SUSPENSION BRIDGE 4X16X3","Bricks, Special"
2551,"ROWING BOAT 5X14X2 1/3","Bricks, Special"
2555,"PLATE 1X1 W. UP RIGHT HOLDER","Bricks, Special"
2560,"MIDDLE SECTION SHIP 8X16","Bricks, Special"
2561,"MINI FLINTGUN","Bricks, Special"
2562,"MINI FLINTLOCK PISTOL","Bricks, Special"
2564,"ANCHOR","Bricks, Special"
2566,"ASSEMBLY ELEMENT Ø3.2","Connectors"
2569,"ANTENNA 1X1X8","Bricks, Special"
2570,"CROSS BOW","Bricks, Special"
2571,"WALL ELEMENT W. CURVE 3X4X6","Bricks, Special"
2572,"WALL ELEMENT W. CURVE 5X6X10","Bricks, Special"
2573,"WHEEL Ø75.2","Bricks, Special"
2577,"BRICK 4X4 ¼ CIRCLE","Bricks, Special"
2578,"SHIELD BOX","Bricks, Special"
2584,"DRUM HOLDER 2X2","Bricks, Special"
2585,"DRUM Ø11","Bricks, Special"
2586,"BATTLE SHIELD","Bricks, Special"
2587,"MINI ARMOUR","Bricks, Special"
2588,"GHOST","Bricks, Special"
2594,"VISIR","Bricks, Special"
2599,"SWIM FINS","Bricks, Special"
2607,"MAGNET HOLDER","Bricks, Special"
2618,"GLOBE INVERTED 10X10X4","Bricks, Special"
2621,"STEM PLATE 9X10","Bricks, Special"
2634,"SHIP'S WINDOW 2X8X2 1/111","Bricks, Special"
2635,"CRANE BASE 2X16X16","Bricks, Special"
2637,"CROSS AXLE W. EYES 16M","Bricks, Special Circles And Angles"
2638,"CRANE ARM 10M","Bricks, Special"
2639,"CORNER PLATE 2X4X4","Bricks, Special"
2653,"SLIDING PIECE 1X4","Bricks, special"
2654,"SLIDE SHOE ROUND 2X2","Plates, special circles and angles"
2655,"WHEEL FORK 2X2 ROUND","Bricks, Special"
2695,"HUB 13XØ24/Ø30","Bricks, Special"
2714,"TECHNIC STICK","Bricks, Special"
2723,"DISK Ø24","Bricks, Special Circles And Angles"
