"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Animals and creatures","Black","87747","4563477","BLACK","TOOTH Ø3.2 SHAFT","£0.08"
"Animals and creatures","White","87747","4566256","WHITE","TOOTH Ø3.2 SHAFT","£0.08"
"Animals and creatures",,"87747","4610450","BR.ORANGE","TOOTH Ø3.2 SHAFT",
"Animals and creatures",,"87747","4611904","W.GOLD","TOOTH Ø3.2 SHAFT",
"Animals and creatures",,"87747","4617190","SILVER MET.","TOOTH Ø3.2 SHAFT",
"Animals and creatures",,"87747","6058227","M. LILAC","TOOTH Ø3.2 SHAFT","£0.10"
"Animals and creatures","Red","87747","6133143","NEW DARK RED","TOOTH Ø3.2 SHAFT","£0.08"
"Animals and creatures","Yellow","87747","6157573","COOL YEL.","TOOTH Ø3.2 SHAFT","£0.10"
"Animals and creatures","Red","87747","6172746","BR.RED","TOOTH Ø3.2 SHAFT","£0.08"
"Animals and creatures","Purple","87747","6173152","BR.RED-VIOL.","TOOTH Ø3.2 SHAFT",
"Animals and creatures","Black","88513","4568385","BLACK","HORN W. SHAFT Ø 3.2","£0.06"
"Animals and creatures","White","88513","4568387","WHITE","HORN W. SHAFT Ø 3.2","£0.06"
"Animals and creatures","Red","88513","4568388","BR.RED","HORN W. SHAFT Ø 3.2","£0.06"
"Animals and creatures",,"88513","4579250","BR.YEL-GREEN","HORN W. SHAFT Ø 3.2",
"Animals and creatures",,"88513","4612901","SILVER MET.","HORN W. SHAFT Ø 3.2","£0.07"
"Animals and creatures",,"88513","4618195","W.GOLD","HORN W. SHAFT Ø 3.2","£0.07"
"Animals and creatures","Yellow","88513","6014033","BR.YEL","HORN W. SHAFT Ø 3.2","£0.06"
"Animals and creatures",,"88513","6022717","SAND YELLOW","HORN W. SHAFT Ø 3.2","£0.07"
"Animals and creatures",,"88513","6109556","SPR. YELL. GREE","HORN W. SHAFT Ø 3.2","£0.07"
"Animals and creatures","Yellow","88513","6157571","COOL YEL.","HORN W. SHAFT Ø 3.2","£0.08"
