"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Beams, Special","Black","44970","4186713","BLACK","DUPLO OFF-ROAD TYRE, Ø46","£2.06"
"Beams, Special","Grey","45202","4220946","DK. ST. GREY","DUPLO 2X2 W ARMS/THR./SCREWS",
"Beams, Special","Grey","45202","6039901","DK. ST. GREY","DUPLO 2X2 W ARMS/THR./SCREWS",
"Beams, Special",,"6294","4188733","DK.GREEN","DUPLO BULLDOZER, SHOVEL",
"Beams, Special",,"6294","4188816","BR.ORANGE","DUPLO BULLDOZER, SHOVEL","£2.18"
"Beams, Special","Yellow","6294","629424","BR.YEL","DUPLO BULLDOZER, SHOVEL",
"Beams, Special",,"6295","4185717","SILVER","DUPLO CRANE HOOK",
"Beams, Special","Grey","6295","4560367","MED. ST-GREY","DUPLO CRANE HOOK",
"Beams, Special",,"6310","4508937","BR.ORANGE","DUPLO EXCAVATOR, BUCKET","£2.17"
"Beams, Special","Black","71981","4141820","BLACK","DUPLO CATERPILLAR BELT","£5.74"
"Beams, Special","Grey","74844","6039900","DK. ST. GREY","DUPLO ARM 2/2 SCREWS",
"Beams, Special","Grey","74847","4220945","DK. ST. GREY","DUPLO ARM 1/1, SCREWS",
"Beams, Special","Grey","74847","6039898","DK. ST. GREY","DUPLO ARM 1/1, SCREWS",
"Beams, Special","Red","74864","4192327","BR.RED","DUPLO SCREWDRIVER, ABS",
"Beams, Special","Red","74864","6074883","BR.RED","SCREWDRIVER","£4.46"
"Beams, Special","Grey","74957","4220871","DK. ST. GREY","DUPLO CLUTCH ELEMENT W. THREAD",
"Beams, Special","Red","76057","4157822","BR.RED","DUPLO BRICK 2X4 W/SCREW+THREAD","£1.85"
"Beams, Special","Grey","76057","4220944","DK. ST. GREY","DUPLO BRICK 2X4 W/SCREW+THREAD",
"Beams, Special","Blue","76310","4142178","BR.BLUE","DUPLO DRIV. CAB W SW, 6X6X2,5","£6.86"
"Beams, Special","Yellow","76310","4185735","BR.YEL","DUPLO DRIV. CAB W SW, 6X6X2,5","£6.92"
"Beams, Special",,"76310","4188819","BR.ORANGE","DUPLO DRIV. CAB W SW, 6X6X2,5","£6.41"
"Beams, Special","Black","76395","4143473","BLACK","TOOLO 4X6X1 W. THREAD+SCREWS",
"Beams, Special","Grey","76397","4220947","MED. ST-GREY","DUPLO RIM",
"Beams, Special","Black","85345","4546218","BLACK","LOW PROFILE TYRE Ø46",
"Beams, Special",,"85608","4544906","BR.GREEN","FAMILY CAR, ASSEMBLED,6X13X4.5",
"Beams, Special","Yellow","85609","4544908","BR.YEL","LORRY, ASSEMBLED, 6X14X6.5",
"Beams, Special","Blue","86593","4538972","BR.BLUE","DUPLO WING WITH SCREW",
"Beams, Special","Black","86594","4538975","BLACK","DUPLO TURN TABLE W.SCREW",
"Beams, Special","Red","86595","4538976","BR.RED","DUPLO BRICK 2X4 W/SCREW+THREAD",
"Beams, Special","Yellow","86595","4538978","BR.YEL","DUPLO BRICK 2X4 W/SCREW+THREAD",
"Beams, Special","Blue","86595","4538979","BR.BLUE","DUPLO BRICK 2X4 W/SCREW+THREAD",
"Beams, Special","Grey","86595","4539016","DK. ST. GREY","DUPLO BRICK 2X4 W/SCREW+THREAD",
"Beams, Special","Red","86598","4538982","BR.RED","DUPLO DRIV. CAB W SW, 6X6X2,5",
"Beams, Special","Blue","86598","4538984","BR.BLUE","DUPLO DRIV. CAB W SW, 6X6X2,5",
"Beams, Special","Yellow","86598","4538985","BR.YEL","DUPLO DRIV. CAB W SW, 6X6X2,5",
"Beams, Special",,"86598","4538986","BR.ORANGE","DUPLO DRIV. CAB W SW, 6X6X2,5",
"Beams, Special","Black","86599","4538987","BLACK","TOOLO 4X6X1 W. THREAD+SCREWS",
"Beams, Special","Grey","86601","4543125","MED. ST-GREY","DUPLO PROPELLER, BIG - PC, ASS",
"Beams, Special","Grey","99565","6011678","MED. ST-GREY","DUPLO RIM W. SCREW",
"Beams, Special","Grey","99565","6043041","MED. ST-GREY","DUPLO RIM W. SCREW","£1.86"
