"Category","Colour Family","Design ID","Element ID","Exact Colour","Image","Name","Price"
"Beams","Black","60484","4552347","Black","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4552347_s8?$PABspin$","T-BEAM 3X3 W/HOLE Ø4.8","£0.19"
"Beams","Grey","64290","4603472","Dark stone grey","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4603472_s8?$PABspin$","TECHNIC 11M BEAM","£0.24"
"Beams","Grey","41239","4522937","Dark stone grey","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4522937_s8?$PABspin$","TECHNIC 13M BEAM","£0.29"
"Beams","Grey","64871","4542576","Dark stone grey","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4542576_s8?$PABspin$","TECHNIC 15M BEAM","£0.31"
"Beams","Black","43857","4177444","Black","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4177444_s8?$PABspin$","TECHNIC 2M BEAM","£0.06"
"Beams","Grey","43857","4211862","Medium stone grey","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4211862_s8?$PABspin$","TECHNIC 2M BEAM","£0.06"
"Beams","Black","32523","4142822","Black","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4142822_s8?$PABspin$","TECHNIC 3M BEAM","£0.08"
"Beams","White","32316","4249021","White","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4249021_s8?$PABspin$","TECHNIC 5M BEAM","£0.14"
"Beams","Grey","32316","4211651","Medium stone grey","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4211651_s8?$PABspin$","TECHNIC 5M BEAM","£0.14"
"Beams","Black","32316","4142135","Black","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4142135_s8?$PABspin$","TECHNIC 5M BEAM","£0.14"
"Beams","Grey","32316","4210686","Dark stone grey","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4210686_s8?$PABspin$","TECHNIC 5M BEAM","£0.14"
"Beams","Black","32524","4495935","Black","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4495935_s8?$PABspin$","TECHNIC 7M BEAM","£0.19"
"Beams","Grey","32524","4495931","Dark stone grey","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4495931_s8?$PABspin$","TECHNIC 7M BEAM","£0.19"
"Beams","White","64289","6001831","White","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/6001831_s8?$PABspin$","TECHNIC 9M BEAM","£0.29"
"Beams","Grey","64289","4645730","Dark stone grey","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4645730_s8?$PABspin$","TECHNIC 9M BEAM","£0.29"
"Beams","Grey","64289","6102449","Medium stone grey","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/6102449_s8?$PABspin$","TECHNIC 9M BEAM","£0.29"
"Beams","Black","64289","4645732","Black","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4645732_s8?$PABspin$","TECHNIC 9M BEAM","£0.29"
"Beams","Black","32526","4142823","Black","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4142823_s8?$PABspin$","TECHNIC ANG. BEAM 3X5 90 DEG.","£0.19"
"Beams","Grey","32526","4210753","Dark stone grey","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4210753_s8?$PABspin$","TECHNIC ANG. BEAM 3X5 90 DEG.","£0.19"
"Beams","Grey","32526","4211713","Medium stone grey","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4211713_s8?$PABspin$","TECHNIC ANG. BEAM 3X5 90 DEG.","£0.19"
