"Category","Colour Family","Design ID","Element ID","Exact Colour","Image","Name","Price"
"Bricks, special ø4.85 hole and connecting bush","Black","3895","389526","Black","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/389526_s8?$PABspin$","BRICK 1X12, Ø4,9","£0.59"
"Bricks, special ø4.85 hole and connecting bush","Black","3703","370326","Black","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/370326_s8?$PABspin$","BRICK 1X16, Ø4,9","£0.72"
"Bricks, special ø4.85 hole and connecting bush","White","32000","3200001","White","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/3200001_s8?$PABspin$","BRICK 1X2 M. 2 HOLES Ø 4,87","£0.10"
"Bricks, special ø4.85 hole and connecting bush","Black","32000","3200026","Black","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/3200026_s8?$PABspin$","BRICK 1X2 M. 2 HOLES Ø 4,87","£0.10"
"Bricks, special ø4.85 hole and connecting bush","White","32064","4233486","White","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4233486_s8?$PABspin$","BRICK 1X2 WITH CROSS HOLE","£0.13"
"Bricks, special ø4.85 hole and connecting bush","Grey","32064","4233493","Medium stone grey","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4233493_s8?$PABspin$","BRICK 1X2 WITH CROSS HOLE","£0.13"
"Bricks, special ø4.85 hole and connecting bush","Black","32064","4233487","Black","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4233487_s8?$PABspin$","BRICK 1X2 WITH CROSS HOLE","£0.13"
"Bricks, special ø4.85 hole and connecting bush","Grey","32064","4210935","Dark stone grey","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4210935_s8?$PABspin$","BRICK 1X2 WITH CROSS HOLE","£0.13"
"Bricks, special ø4.85 hole and connecting bush","Black","3894","389426","Black","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/389426_s8?$PABspin$","BRICK 1X6, Ø4,9","£0.28"
"Bricks, special ø4.85 hole and connecting bush","Grey","3894","4211466","Medium stone grey","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4211466_s8?$PABspin$","BRICK 1X6, Ø4,9","£0.28"
"Bricks, special ø4.85 hole and connecting bush","Red","6541","654121","Bright red","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/654121_s8?$PABspin$","TECHNIC BRICK 1X1","£0.06"
"Bricks, special ø4.85 hole and connecting bush","Blue","6541","4119014","Bright blue","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4119014_s8?$PABspin$","TECHNIC BRICK 1X1","£0.06"
"Bricks, special ø4.85 hole and connecting bush","White","6541","654101","White","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/654101_s8?$PABspin$","TECHNIC BRICK 1X1","£0.06"
"Bricks, special ø4.85 hole and connecting bush","Grey","6541","4210639","Dark stone grey","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4210639_s8?$PABspin$","TECHNIC BRICK 1X1","£0.06"
"Bricks, special ø4.85 hole and connecting bush","Black","6541","654126","Black","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/654126_s8?$PABspin$","TECHNIC BRICK 1X1","£0.06"
"Bricks, special ø4.85 hole and connecting bush","Grey","6541","4211535","Medium stone grey","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4211535_s8?$PABspin$","TECHNIC BRICK 1X1","£0.06"
"Bricks, special ø4.85 hole and connecting bush","Grey","2730","4211374","Medium stone grey","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4211374_s8?$PABspin$","TECHNIC BRICK 1X10 Ø4.9","£0.40"
"Bricks, special ø4.85 hole and connecting bush","Grey","3895","4211860","Medium stone grey","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4211860_s8?$PABspin$","TECHNIC BRICK 1X12, Ø4,9","£0.59"
"Bricks, special ø4.85 hole and connecting bush","Grey","32018","4211137","Dark stone grey","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4211137_s8?$PABspin$","TECHNIC BRICK 1X14, Ø4,9","£0.48"
"Bricks, special ø4.85 hole and connecting bush","Reddish Brown","3700","4205107","Brick yellow","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4205107_s8?$PABspin$","TECHNIC BRICK 1X2, Ø4.9","£0.10"
"Bricks, special ø4.85 hole and connecting bush","Black","3700","370026","Black","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/370026_s8?$PABspin$","TECHNIC BRICK 1X2, Ø4.9","£0.10"
"Bricks, special ø4.85 hole and connecting bush","Red","3700","370021","Bright red","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/370021_s8?$PABspin$","TECHNIC BRICK 1X2, Ø4.9","£0.10"
"Bricks, special ø4.85 hole and connecting bush","Grey","3700","4211440","Medium stone grey","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4211440_s8?$PABspin$","TECHNIC BRICK 1X2, Ø4.9","£0.10"
"Bricks, special ø4.85 hole and connecting bush","White","3700","370001","White","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/370001_s8?$PABspin$","TECHNIC BRICK 1X2, Ø4.9","£0.10"
"Bricks, special ø4.85 hole and connecting bush","Grey","3700","4211111","Dark stone grey","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4211111_s8?$PABspin$","TECHNIC BRICK 1X2, Ø4.9","£0.10"
"Bricks, special ø4.85 hole and connecting bush","Blue","3700","370023","Bright blue","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/370023_s8?$PABspin$","TECHNIC BRICK 1X2, Ø4.9","£0.10"
"Bricks, special ø4.85 hole and connecting bush","Black","3701","370126","Black","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/370126_s8?$PABspin$","TECHNIC BRICK 1X4, Ø4,9","£0.17"
"Bricks, special ø4.85 hole and connecting bush","Red","3701","370121","Bright red","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/370121_s8?$PABspin$","TECHNIC BRICK 1X4, Ø4,9","£0.17"
"Bricks, special ø4.85 hole and connecting bush","Grey","3701","4211441","Medium stone grey","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4211441_s8?$PABspin$","TECHNIC BRICK 1X4, Ø4,9","£0.17"
"Bricks, special ø4.85 hole and connecting bush","White","3701","370101","White","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/370101_s8?$PABspin$","TECHNIC BRICK 1X4, Ø4,9","£0.17"
"Bricks, special ø4.85 hole and connecting bush","Grey","3701","4213607","Dark stone grey","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4213607_s8?$PABspin$","TECHNIC BRICK 1X4, Ø4,9","£0.17"
"Bricks, special ø4.85 hole and connecting bush","Grey","3894","4210917","Dark stone grey","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4210917_s8?$PABspin$","TECHNIC BRICK 1X6, Ø4,9","£0.32"
"Bricks, special ø4.85 hole and connecting bush","Grey","3702","4211442","Medium stone grey","https://sh-s7-live-s.legocdn.com/is/image/LEGOPCS/4211442_s8?$PABspin$","TECHNIC BRICK 1X8","£0.32"
