"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Bricks, Special Circles And Angles","Grey","10197","6005331","DK. ST. GREY","BEAM 1M W. 2 CROSS AXLES 90°","£0.16"
"Bricks, Special Circles And Angles","Black","10197","6099801","BLACK","BEAM 1M W. 2 CROSS AXLES 90°","£0.16"
"Bricks, Special Circles And Angles",,"10288","6005755","DK. BROWN","3 BRANCH CROSSHOLE W. HOLE","£0.48"
"Bricks, Special Circles And Angles","Black","10498","6039134","BLACK","SHELL A 3M BALL SNAP Ø10.2","£0.31"
"Bricks, Special Circles And Angles","White","10498","6045952","WHITE","SHELL A 3M BALL SNAP Ø10.2","£0.31"
"Bricks, Special Circles And Angles",,"10498","6045953","TR.FL.REDORA","SHELL A 3M BALL SNAP Ø10.2",
"Bricks, Special Circles And Angles","Yellow","10498","6061058","TR.FL.GREEN","SHELL A 3M BALL SNAP Ø10.2",
"Bricks, Special Circles And Angles",,"10498","6070547","BR.YEL-GREEN","SHELL A 3M BALL SNAP Ø10.2",
"Bricks, Special Circles And Angles","Grey","10498","6171062","TITAN. METAL.","SHELL A 3M BALL SNAP Ø10.2","£0.36"
"Bricks, Special Circles And Angles","Grey","10721","6007058","DK. ST. GREY","PLASTIC MOTOR, CRANK",
"Bricks, Special Circles And Angles",,"10721","6013937","BRICK-YEL","PLASTIC MOTOR, CRANK","£0.17"
"Bricks, Special Circles And Angles","Grey","10928","6012451","DK. ST. GREY","GEAR WHEEL T=8, M=1","£0.12"
"Bricks, Special Circles And Angles","Blue","11126","6028415","DARK AZUR","RIP CORD Ø4,85",
"Bricks, Special Circles And Angles",,"11126","6064985","BR.ORANGE","RIP CORD Ø4,85",
"Bricks, Special Circles And Angles","Black","11145","6178438","BLACK","EV3 CABLE 250 MM",
"Bricks, Special Circles And Angles","Black","11146","6178439","BLACK","EV3 CABLE 350 MM","£15.12"
"Bricks, Special Circles And Angles","Black","11147","6178448","BLACK","EV3 CABLE 500 MM","£15.12"
"Bricks, Special Circles And Angles","Grey","11214","6015356","DK. ST. GREY","CON. BUSH 2M FR. + CROSS AXLE","£0.11"
"Bricks, Special Circles And Angles",,"11268","6102834","SILVER MET.","SHELL 3X5X3 W/DOUBLE Ø3.2 SHAFTS",
"Bricks, Special Circles And Angles",,"11269","6142939","TR.FL.REDORA","VISOR 3X3X5 W/Ø3.2 CONNECTOR","£0.47"
"Bricks, Special Circles And Angles","Yellow","11270","6021060","TR.FL.GREEN","HEAD W/ BALLCUP 2013",
"Bricks, Special Circles And Angles",,"11271","6016208","SILVER MET.","CHEST NO.1, 2013",
"Bricks, Special Circles And Angles","Grey","11272","6022718","TITAN. METAL.","CROSS BLOCK 3X2X1","£0.34"
"Bricks, Special Circles And Angles","Grey","11273","6016212","TITAN. METAL.","SHEILD 5X10X1 W/CROSSHOLE & Ø3.2",
"Bricks, Special Circles And Angles","Red","11280","6016218","BR.RED","HELMET NO.7, 2013",
"Bricks, Special Circles And Angles",,"11302","6016236","1.MULT","FLAME 3X10X1 W/ CROSS HOLE",
"Bricks, Special Circles And Angles",,"11302","6029331","2.MULT","FLAME 3X10X1 W/ CROSS HOLE",
"Bricks, Special Circles And Angles",,"11302","6029783","3.MULT","FLAME 3X10X1 W/ CROSS HOLE",
"Bricks, Special Circles And Angles",,"11302","6105637","4.MULT","FLAME 3X10X1 W/ CROSS HOLE",
"Bricks, Special Circles And Angles",,"11302","6167688","6.MULTI","FLAME 3X10X1 W/ CROSS HOLE","£0.84"
"Bricks, Special Circles And Angles",,"11302","6187581","7. MULTI","FLAME 3X10X1 W/ CROSS HOLE",
"Bricks, Special Circles And Angles",,"11305","6016238","SILVER MET.","WEAPON NO.1, 2013","£0.62"
"Bricks, Special Circles And Angles",,"11305","6078381","W.GOLD","WEAPON NO.1, 2013","£0.61"
"Bricks, Special Circles And Angles",,"11305","6120015","SPR. YELL. GREE","WEAPON NO.1, 2013",
"Bricks, Special Circles And Angles",,"11305","6170321","COPPER METALLIC","WEAPON NO.1, 2013","£0.62"
"Bricks, Special Circles And Angles","Red","11334","6019995","NEW DARK RED","SHELL NO.2, 2013",
"Bricks, Special Circles And Angles","White","11334","6024523","WHITE","SHELL NO.2, 2013",
"Bricks, Special Circles And Angles","Black","11334","6029324","BLACK","SHELL NO.2, 2013",
"Bricks, Special Circles And Angles",,"11338","6056244","SILVER MET.","WEAPON NO.4, 2013",
"Bricks, Special Circles And Angles",,"11356","6076157","EARTH GREEN","HEAD NO.2, 2013",
"Bricks, Special Circles And Angles","Black","11455","6019986","BLACK","BEAM 4X2 W. 90 HOLE Ø 4.8","£0.30"
"Bricks, Special Circles And Angles","Grey","11478","6029206","MED. ST-GREY","LEVER 5M","£0.23"
"Bricks, Special Circles And Angles","Black","11478","6030286","BLACK","LEVER 5M","£0.23"
"Bricks, Special Circles And Angles","Red","11946","6022750","BR.RED","RIGHT PANEL 2X5 (N0 21)","£0.53"
"Bricks, Special Circles And Angles",,"11946","6022767","BR.ORANGE","RIGHT PANEL 2X5 (N0 21)","£0.47"
"Bricks, Special Circles And Angles","Blue","11946","6023035","BR.BLUE","RIGHT PANEL 2X5 (N0 21)","£0.52"
"Bricks, Special Circles And Angles","Black","11946","6023036","BLACK","RIGHT PANEL 2X5 (N0 21)","£0.47"
"Bricks, Special Circles And Angles",,"11946","6038627","DK.GREEN","RIGHT PANEL 2X5 (N0 21)",
"Bricks, Special Circles And Angles","White","11946","6114580","WHITE","RIGHT PANEL 2X5 (N0 21)","£0.47"
"Bricks, Special Circles And Angles",,"11946","6121107","BRICK-YEL","RIGHT PANEL 2X5 (N0 21)",
"Bricks, Special Circles And Angles",,"11946","6133278","SAND YELLOW","RIGHT PANEL 2X5 (N0 21)","£0.49"
"Bricks, Special Circles And Angles","Blue","11946","6134349","MEDIUM AZUR","RIGHT PANEL 2X5 (N0 21)","£0.47"
"Bricks, Special Circles And Angles","Blue","11946","6174854","EARTH BLUE","RIGHT PANEL 2X5 (N0 21)","£0.53"
"Bricks, Special Circles And Angles","Yellow","11946","6178469","FL. YELL-ORA","RIGHT PANEL 2X5 (N0 21)",
"Bricks, Special Circles And Angles",,"11946","6179626","RED. BROWN","RIGHT PANEL 2X5 (N0 21)",
"Bricks, Special Circles And Angles","Red","11947","6022752","BR.RED","LEFT PANEL 2X5 (NR 22)","£0.52"
"Bricks, Special Circles And Angles","Black","11947","6022761","BLACK","LEFT PANEL 2X5 (NR 22)","£0.46"
