"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Bricks, with slope","Black","15571","6051508","BLACK","END RIDGED TILE 1X2/45°","£0.11"
"Bricks, with slope","Red","15571","6075074","BR.RED","END RIDGED TILE 1X2/45°","£0.11"
"Bricks, with slope","Grey","15571","6075075","MED. ST-GREY","END RIDGED TILE 1X2/45°","£0.11"
"Bricks, with slope",,"15571","6075077","EARTH GREEN","END RIDGED TILE 1X2/45°","£0.20"
"Bricks, with slope",,"15571","6075079","W.GOLD","END RIDGED TILE 1X2/45°","£0.13"
"Bricks, with slope",,"15571","6075084","BR.ORANGE","END RIDGED TILE 1X2/45°","£0.20"
"Bricks, with slope","Yellow","15571","6075085","BR.YEL","END RIDGED TILE 1X2/45°","£0.14"
"Bricks, with slope","Grey","15571","6076203","DK. ST. GREY","END RIDGED TILE 1X2/45°","£0.11"
"Bricks, with slope","Yellow","15571","6078294","FL. YELL-ORA","END RIDGED TILE 1X2/45°","£0.14"
"Bricks, with slope","Blue","15571","6078456","BR.BLUE","END RIDGED TILE 1X2/45°",
"Bricks, with slope","White","15571","6097801","WHITE","END RIDGED TILE 1X2/45°","£0.12"
"Bricks, with slope","Purple","15571","6133697","BR.RED-VIOL.","END RIDGED TILE 1X2/45°","£0.16"
"Bricks, with slope","Blue","15571","6137764","AQUA","END RIDGED TILE 1X2/45°","£0.13"
"Bricks, with slope","Blue","15571","6151689","DARK AZUR","END RIDGED TILE 1X2/45°","£0.14"
"Bricks, with slope",,"15571","6185990","M. LILAC","END RIDGED TILE 1X2/45°","£0.14"
"Bricks, with slope","Red","15672","6053011","BR.RED","ROOF TILE 1X2 45° W 1/3 PLATE","£0.08"
"Bricks, with slope","White","15672","6069002","WHITE","ROOF TILE 1X2 45° W 1/3 PLATE","£0.08"
"Bricks, with slope","Blue","15672","6069163","BR.BLUE","ROOF TILE 1X2 45° W 1/3 PLATE","£0.08"
"Bricks, with slope",,"15672","6069165","BRICK-YEL","ROOF TILE 1X2 45° W 1/3 PLATE","£0.10"
"Bricks, with slope","Yellow","15672","6069171","FL. YELL-ORA","ROOF TILE 1X2 45° W 1/3 PLATE","£0.11"
"Bricks, with slope",,"15672","6075287","RED. BROWN","ROOF TILE 1X2 45° W 1/3 PLATE","£0.10"
"Bricks, with slope",,"15672","6093064","SAND YELLOW","ROOF TILE 1X2 45° W 1/3 PLATE","£0.10"
"Bricks, with slope","Grey","15672","6093859","MED. ST-GREY","ROOF TILE 1X2 45° W 1/3 PLATE","£0.08"
"Bricks, with slope",,"15672","6134312","M. LILAC","ROOF TILE 1X2 45° W 1/3 PLATE","£0.11"
"Bricks, with slope","Blue","15672","6139519","SAND BLUE","ROOF TILE 1X2 45° W 1/3 PLATE","£0.11"
"Bricks, with slope","Blue","15672","6151668","DARK AZUR","ROOF TILE 1X2 45° W 1/3 PLATE","£0.10"
"Bricks, with slope",,"15672","6170559","BR.YEL-GREEN","ROOF TILE 1X2 45° W 1/3 PLATE","£0.12"
"Bricks, with slope","Blue","15672","6186683","EARTH BLUE","ROOF TILE 1X2 45° W 1/3 PLATE",
"Bricks, with slope","Black","2449","244926","BLACK","ROOF TILE 1X2X3/74° INV.",
"Bricks, with slope",,"2449","4159199","BR.ORANGE","ROOF TILE 1X2X3/74° INV.",
"Bricks, with slope","White","2449","4160697","WHITE","ROOF TILE 1X2X3/74° INV.",
"Bricks, with slope","Grey","2449","4216248","MED. ST-GREY","ROOF TILE 1X2X3/74° INV.","£0.23"
"Bricks, with slope","Blue","2449","4224953","SAND BLUE","ROOF TILE 1X2X3/74° INV.",
"Bricks, with slope","Grey","2449","4226442","DK. ST. GREY","ROOF TILE 1X2X3/74° INV.",
"Bricks, with slope",,"2449","4264755","RED. BROWN","ROOF TILE 1X2X3/74° INV.","£0.24"
"Bricks, with slope","Red","2449","4276180","NEW DARK RED","ROOF TILE 1X2X3/74° INV.",
"Bricks, with slope","Grey","2449","4500975","DK. ST. GREY","ROOF TILE 1X2X3/74° INV.","£0.23"
"Bricks, with slope","Red","2449","4501534","BR.RED","ROOF TILE 1X2X3/74° INV.","£0.29"
"Bricks, with slope",,"2449","4518561","DK. BROWN","ROOF TILE 1X2X3/74° INV.",
"Bricks, with slope","White","2449","4532972","WHITE","ROOF TILE 1X2X3/74° INV.","£0.24"
"Bricks, with slope",,"2449","4583836","EARTH GREEN","ROOF TILE 1X2X3/74° INV.",
"Bricks, with slope",,"2449","4629678","DK.GREEN","ROOF TILE 1X2X3/74° INV.",
