"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Bricks with bows and arches","Yellow","11153","6024715","BR.YEL","BRICK WITH BOW 1X4","£0.14"
"Bricks with bows and arches",,"11153","6033782","BR.YEL-GREEN","BRICK WITH BOW 1X4","£0.17"
"Bricks with bows and arches","Black","11153","6037746","BLACK","BRICK WITH BOW 1X4","£0.13"
"Bricks with bows and arches",,"11153","6037750","BR.ORANGE","BRICK WITH BOW 1X4","£0.17"
"Bricks with bows and arches","Grey","11153","6042950","MED. ST-GREY","BRICK WITH BOW 1X4","£0.13"
"Bricks with bows and arches",,"11153","6042951","DK.GREEN","BRICK WITH BOW 1X4","£0.13"
"Bricks with bows and arches",,"11153","6042952","BRICK-YEL","BRICK WITH BOW 1X4","£0.14"
"Bricks with bows and arches","Red","11153","6042953","NEW DARK RED","BRICK WITH BOW 1X4","£0.14"
"Bricks with bows and arches","Grey","11153","6042955","DK. ST. GREY","BRICK WITH BOW 1X4","£0.13"
"Bricks with bows and arches","Blue","11153","6042956","EARTH BLUE","BRICK WITH BOW 1X4","£0.17"
"Bricks with bows and arches",,"11153","6042957","W.GOLD","BRICK WITH BOW 1X4",
"Bricks with bows and arches",,"11153","6042961","OLIVE GREEN","BRICK WITH BOW 1X4",
"Bricks with bows and arches","Red","11153","6045937","BR.RED","BRICK WITH BOW 1X4","£0.13"
"Bricks with bows and arches","Blue","11153","6045938","BR.BLUE","BRICK WITH BOW 1X4","£0.14"
"Bricks with bows and arches",,"11153","6045939","DK. BROWN","BRICK WITH BOW 1X4",
"Bricks with bows and arches",,"11153","6045940","DK.ORA","BRICK WITH BOW 1X4",
"Bricks with bows and arches",,"11153","6045941","RED. BROWN","BRICK WITH BOW 1X4","£0.14"
"Bricks with bows and arches","Blue","11153","6045942","MD.BLUE","BRICK WITH BOW 1X4",
"Bricks with bows and arches",,"11153","6045943","SAND YELLOW","BRICK WITH BOW 1X4","£0.17"
"Bricks with bows and arches","Yellow","11153","6045944","FL. YELL-ORA","BRICK WITH BOW 1X4","£0.17"
"Bricks with bows and arches",,"11153","6045945","LAVENDER","BRICK WITH BOW 1X4","£0.17"
"Bricks with bows and arches","Blue","11153","6052823","MEDIUM AZUR","BRICK WITH BOW 1X4","£0.17"
"Bricks with bows and arches",,"11153","6078607","SILVER MET.","BRICK WITH BOW 1X4",
"Bricks with bows and arches","Blue","11153","6151667","DARK AZUR","BRICK WITH BOW 1X4","£0.17"
"Bricks with bows and arches","Blue","11153","6186686","AQUA","BRICK WITH BOW 1X4",
"Bricks with bows and arches",,"11153","6187611","SAND GREEN","BRICK WITH BOW 1X4",
"Bricks with bows and arches","Grey","11477","6028813","MED. ST-GREY","PLATE W. BOW 1X2X2/3","£0.07"
"Bricks with bows and arches","Red","11477","6029946","BR.RED","PLATE W. BOW 1X2X2/3","£0.07"
"Bricks with bows and arches","Yellow","11477","6029947","BR.YEL","PLATE W. BOW 1X2X2/3","£0.07"
