"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Bricks With Special Bows And Angles","Yellow","13516","6030250","BR.YEL","MINI HEAD  ""NO.933""","£0.22"
"Bricks With Special Bows And Angles",,"15589","6051546","GOLD INK","BRICK 2X4 ""NO. 1000""",
"Bricks with special bows and angles","White","41747","4160101","WHITE","RIGHT SHELL 2X6 W/BOW/ANGLE","£0.34"
"Bricks with special bows and angles","Grey","41747","4160103","GREY","SHELL 2X6 W/BOW/ANGLE, RIGHT",
"Bricks with special bows and angles",,"41747","4160104","BRICK-YEL","SHELL 2X6 W/BOW/ANGLE, RIGHT",
"Bricks with special bows and angles","Red","41747","4160105","BR.RED","SHELL 2X6 W/BOW/ANGLE, RIGHT",
"Bricks with special bows and angles","Blue","41747","4160106","BR.BLUE","RIGHT SHELL 2X6 W/BOW/ANGLE",
"Bricks with special bows and angles","Black","41747","4160108","BLACK","RIGHT SHELL 2X6 W/BOW/ANGLE","£0.34"
"Bricks with special bows and angles","Grey","41747","4160109","DK.GREY","SHELL 2X6 W/BOW/ANGLE, RIGHT",
"Bricks with special bows and angles",,"41747","4160110","DK.GREEN","SHELL 2X6 W/BOW/ANGLE, RIGHT",
"Bricks with special bows and angles","Blue","41747","4160113","MD.BLUE","SHELL 2X6 W/BOW/ANGLE, RIGHT",
"Bricks with special bows and angles","Blue","41747","4162716","EARTH BLUE","SHELL 2X6 W/BOW/ANGLE, RIGHT",
"Bricks with special bows and angles","Red","41747","4163457","NEW DARK RED","SHELL 2X6 W/BOW/ANGLE, RIGHT",
"Bricks with special bows and angles","Orange-brown","41747","4163759","EARTH-ORA","SHELL 2X6 W/BOW/ANGLE, RIGHT",
"Bricks with special bows and angles","Blue","41747","4165654","SAND BLUE","SHELL 2X6 W/BOW/ANGLE, RIGHT",
"Bricks with special bows and angles",,"41747","4169342","BR.ORANGE","SHELL 2X6 W/BOW/ANGLE, RIGHT",
"Bricks with special bows and angles","Grey","41747","4212007","MED. ST-GREY","RIGHT SHELL 2X6 W/BOW/ANGLE",
"Bricks with special bows and angles","Yellow","41747","4271084","BR.YEL","RIGHT SHELL 2X6 W/BOW/ANGLE","£0.38"
"Bricks with special bows and angles",,"41747","4276003","EARTH GREEN","RIGHT SHELL 2X6 W/BOW/ANGLE",
"Bricks with special bows and angles","Yellow","41747","4525866","FL. YELL-ORA","RIGHT SHELL 2X6 W/BOW/ANGLE",
"Bricks with special bows and angles",,"41747","4538167","BR.YEL-GREEN","RIGHT SHELL 2X6 W/BOW/ANGLE",
"Bricks with special bows and angles",,"41747","4582987","DK.ORA","RIGHT SHELL 2X6 W/BOW/ANGLE",
"Bricks with special bows and angles",,"41747","4613278","SAND YELLOW","RIGHT SHELL 2X6 W/BOW/ANGLE","£0.35"
"Bricks with special bows and angles","Grey","41747","6063685","DK. ST. GREY","RIGHT SHELL 2X6 W/BOW/ANGLE","£0.37"
