"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Bricks","Yellow",2032,203224,"BR.YEL","DUPLO TRUCK BODY 2X6",
"Bricks","Yellow",2032,203224,"BR.YEL","DUPLO TRUCK BODY 2X6",
"Bricks","Yellow",2032,203224,"BR.YEL","DUPLO TRUCK BODY 2X6",
"Bricks","Yellow",2032,203224,"BR.YEL","DUPLO TRUCK BODY 2X6",
"Bricks","Yellow",2032,203224,"BR.YEL","DUPLO TRUCK BODY 2X6",
"Bricks","Grey",2032,4285230,"MED. ST-GREY","DUPLO TRUCK BODY 2X6",
"Bricks","",2032,6001908,"BR.GREEN","DUPLO TRUCK BODY 2X6",
"Bricks","Grey",2033,4216553,"MED. ST-GREY","DUPLO FIRELADDER",
"Bricks","Grey",2033,4216553,"MED. ST-GREY","DUPLO FIRELADDER",
"Bricks","White",2155,4264440,"WHITE","DUPLO AEROPLANE, WING 4X16X1/2",
"Bricks","",2156,4223366,"BR.ORANGE","DUPLO AEROPL.,ELEVATOR 3X8X1/2",
"Bricks","",2156,4223366,"BR.ORANGE","DUPLO AEROPL.,ELEVATOR 3X8X1/2",
"Bricks","Yellow",2205,4264414,"BR.YEL","DUPLO DOOR",
"Bricks","Blue",2205,4283908,"EARTH BLUE","DUPLO DOOR",
"Bricks","Blue",2205,4283908,"EARTH BLUE","DUPLO DOOR",
"Bricks","Blue",2205,4283908,"EARTH BLUE","DUPLO DOOR",
"Bricks","",2206,4170372,"BR.GREEN","DUPLO WINDOW",
"Bricks","",2206,4170372,"BR.GREEN","DUPLO WINDOW",
"Bricks","",2206,4170372,"BR.GREEN","DUPLO WINDOW",
"Bricks","",2206,4170372,"BR.GREEN","DUPLO WINDOW",
"Bricks","",2206,4170372,"BR.GREEN","DUPLO WINDOW",
"Bricks","",2206,4170372,"BR.GREEN","DUPLO WINDOW",
"Bricks","",2206,4170372,"BR.GREEN","DUPLO WINDOW",
"Bricks","",2206,4170372,"BR.GREEN","DUPLO WINDOW",
"Bricks","",2206,4170372,"BR.GREEN","DUPLO WINDOW",
"Bricks","",2206,4170372,"BR.GREEN","DUPLO WINDOW",
"Bricks","",2206,4170372,"BR.GREEN","DUPLO WINDOW",
"Bricks","",2206,4170372,"BR.GREEN","DUPLO WINDOW",
"Bricks","Blue",2206,4283909,"EARTH BLUE","DUPLO WINDOW",
"Bricks","Blue",2206,4283909,"EARTH BLUE","DUPLO WINDOW",
"Bricks","Blue",2206,4283909,"EARTH BLUE","DUPLO WINDOW",
"Bricks","Blue",2206,4283909,"EARTH BLUE","DUPLO WINDOW",
"Bricks","",2206,4494954,"SILVER","DUPLO WINDOW",
"Bricks","Red",2214,4100712,"BR.RED","DUPLO RAIL 1X6",
"Bricks","Red",2214,4100712,"BR.RED","DUPLO RAIL 1X6",
"Bricks","Red",2214,4100712,"BR.RED","DUPLO RAIL 1X6",
"Bricks","Red",2214,4100712,"BR.RED","DUPLO RAIL 1X6",
"Bricks","Red",2214,4100712,"BR.RED","DUPLO RAIL 1X6",
"Bricks","Red",2214,4100712,"BR.RED","DUPLO RAIL 1X6",
"Bricks","Red",2214,4100712,"BR.RED","DUPLO RAIL 1X6",
"Bricks","Red",2214,4100712,"BR.RED","DUPLO RAIL 1X6",
"Bricks","Red",2214,4100712,"BR.RED","DUPLO RAIL 1X6",
"Bricks","Red",2214,4100712,"BR.RED","DUPLO RAIL 1X6",
"Bricks","Red",2214,4100712,"BR.RED","DUPLO RAIL 1X6",
"Bricks","Red",2214,4100712,"BR.RED","DUPLO RAIL 1X6",
"Bricks","Red",2214,4100712,"BR.RED","DUPLO RAIL 1X6",
"Bricks","Red",2214,4100712,"BR.RED","DUPLO RAIL 1X6",
"Bricks","Red",2214,4100712,"BR.RED","DUPLO RAIL 1X6",
"Bricks","Red",2214,4100712,"BR.RED","DUPLO RAIL 1X6",
"Bricks","Blue",2214,4100714,"BR.BLUE","DUPLO RAIL 1X6",
"Bricks","Blue",2214,4100714,"BR.BLUE","DUPLO RAIL 1X6",
"Bricks","Blue",2214,4100714,"BR.BLUE","DUPLO RAIL 1X6",
"Bricks","Blue",2214,4100714,"BR.BLUE","DUPLO RAIL 1X6",
"Bricks","Blue",2214,4100714,"BR.BLUE","DUPLO RAIL 1X6",
"Bricks","Blue",2214,4100714,"BR.BLUE","DUPLO RAIL 1X6",
"Bricks","Blue",2214,4100714,"BR.BLUE","DUPLO RAIL 1X6",
"Bricks","Blue",2214,4100714,"BR.BLUE","DUPLO RAIL 1X6",
"Bricks","Blue",2214,4100714,"BR.BLUE","DUPLO RAIL 1X6",
"Bricks","Blue",2214,4100714,"BR.BLUE","DUPLO RAIL 1X6",
"Bricks","Blue",2214,4100714,"BR.BLUE","DUPLO RAIL 1X6",
"Bricks","Blue",2214,4100714,"BR.BLUE","DUPLO RAIL 1X6",
"Bricks","Blue",2214,4100714,"BR.BLUE","DUPLO RAIL 1X6",
"Bricks","Blue",2214,4100714,"BR.BLUE","DUPLO RAIL 1X6",
"Bricks","Blue",2214,4100714,"BR.BLUE","DUPLO RAIL 1X6",
"Bricks","Blue",2214,4100714,"BR.BLUE","DUPLO RAIL 1X6",
"Bricks","Yellow",2214,4100715,"BR.YEL","DUPLO RAIL 1X6",
"Bricks","Yellow",2214,4100715,"BR.YEL","DUPLO RAIL 1X6",
"Bricks","Yellow",2214,4100715,"BR.YEL","DUPLO RAIL 1X6",
"Bricks","Yellow",2214,4100715,"BR.YEL","DUPLO RAIL 1X6",
"Bricks","Yellow",2214,4100715,"BR.YEL","DUPLO RAIL 1X6",
"Bricks","Yellow",2214,4100715,"BR.YEL","DUPLO RAIL 1X6",
"Bricks","Yellow",2214,4100715,"BR.YEL","DUPLO RAIL 1X6",
"Bricks","Yellow",2214,4100715,"BR.YEL","DUPLO RAIL 1X6",
"Bricks","Yellow",2214,4100715,"BR.YEL","DUPLO RAIL 1X6",
"Bricks","Yellow",2214,4100715,"BR.YEL","DUPLO RAIL 1X6",
"Bricks","Yellow",2214,4100715,"BR.YEL","DUPLO RAIL 1X6",
"Bricks","Yellow",2214,4100715,"BR.YEL","DUPLO RAIL 1X6",
"Bricks","Yellow",2214,4100715,"BR.YEL","DUPLO RAIL 1X6",
"Bricks","Yellow",2214,4100715,"BR.YEL","DUPLO RAIL 1X6",
"Bricks","Yellow",2214,4100715,"BR.YEL","DUPLO RAIL 1X6",
"Bricks","Yellow",2214,4100715,"BR.YEL","DUPLO RAIL 1X6",
"Bricks","Yellow",2214,4100715,"BR.YEL","DUPLO RAIL 1X6",
"Bricks","",2214,4171042,"SILVER","DUPLO RAIL 1X6",
"Bricks","",2214,4171042,"SILVER","DUPLO RAIL 1X6",
"Bricks","",2214,4171042,"SILVER","DUPLO RAIL 1X6",
"Bricks","",2214,4171042,"SILVER","DUPLO RAIL 1X6",
"Bricks","",2214,4171042,"SILVER","DUPLO RAIL 1X6",
"Bricks","",2214,4171042,"SILVER","DUPLO RAIL 1X6",
"Bricks","",2214,4171042,"SILVER","DUPLO RAIL 1X6",
"Bricks","",2214,4171042,"SILVER","DUPLO RAIL 1X6",
"Bricks","",2214,4261686,"BR.ORANGE","DUPLO RAIL 1X6",
"Bricks","",2214,4261686,"BR.ORANGE","DUPLO RAIL 1X6",
"Bricks","",2214,4261686,"BR.ORANGE","DUPLO RAIL 1X6",
"Bricks","",2214,4261686,"BR.ORANGE","DUPLO RAIL 1X6",
"Bricks","",2214,4261686,"BR.ORANGE","DUPLO RAIL 1X6",
"Bricks","",2214,4617601,"SILVER MET.","DUPLO RAIL 1X6",
"Bricks","",2214,4617601,"SILVER MET.","DUPLO RAIL 1X6",
"Bricks","Yellow",2222,222224,"BR.YEL","DUPLO PICK-UP, CRANE ARM",
"Bricks","Yellow",2222,222224,"BR.YEL","DUPLO PICK-UP, CRANE ARM",
"Bricks","Yellow",2222,222224,"BR.YEL","DUPLO PICK-UP, CRANE ARM",
"Bricks","",2222,4171976,"BR.ORANGE","DUPLO PICK-UP, CRANE ARM",
"Bricks","",2222,4171976,"BR.ORANGE","DUPLO PICK-UP, CRANE ARM",
"Bricks","",2222,4276165,"SILVER","DUPLO PICK-UP, CRANE ARM",
"Bricks","",2222,4580723,"DK.ORA","DUPLO PICK-UP, CRANE ARM",
"Bricks","",2222,4580723,"DK.ORA","DUPLO PICK-UP, CRANE ARM",
"Bricks","",2222,4580723,"DK.ORA","DUPLO PICK-UP, CRANE ARM",
"Bricks","",2222,4646777,"SILVER MET.","DUPLO PICK-UP, CRANE ARM","£1.37"
"Bricks","",2222,4646777,"SILVER MET.","DUPLO PICK-UP, CRANE ARM","£1.37"
"Bricks","",2222,4646777,"SILVER MET.","DUPLO PICK-UP, CRANE ARM","£1.37"
"Bricks","Yellow",2223,222324,"BR.YEL","DUPLO PICK-UP, LADDERCONSOLE",
"Bricks","Black",2223,4192604,"BLACK","DUPLO PICK-UP, LADDERCONSOLE","£1.60"
"Bricks","Black",2223,4192604,"BLACK","DUPLO PICK-UP, LADDERCONSOLE","£1.60"
"Bricks","Black",2223,4192604,"BLACK","DUPLO PICK-UP, LADDERCONSOLE","£1.60"
"Bricks","Black",2223,4192604,"BLACK","DUPLO PICK-UP, LADDERCONSOLE","£1.60"
"Bricks","Black",2223,4192604,"BLACK","DUPLO PICK-UP, LADDERCONSOLE","£1.60"
"Bricks","Black",2223,4192604,"BLACK","DUPLO PICK-UP, LADDERCONSOLE","£1.60"
"Bricks","Black",2223,4192604,"BLACK","DUPLO PICK-UP, LADDERCONSOLE","£1.60"
"Bricks","Black",2223,4192604,"BLACK","DUPLO PICK-UP, LADDERCONSOLE","£1.60"
"Bricks","Black",2223,4192604,"BLACK","DUPLO PICK-UP, LADDERCONSOLE","£1.60"
"Bricks","Black",2223,4192604,"BLACK","DUPLO PICK-UP, LADDERCONSOLE","£1.60"
"Bricks","Black",2223,4192604,"BLACK","DUPLO PICK-UP, LADDERCONSOLE","£1.60"
"Bricks","Red",2224,4164452,"BR.RED","DUPLO PICK-UP, LADDER",
"Bricks","",2224,4192605,"SILVER","DUPLO PICK-UP, LADDER",
