"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Connectors","Black","2566","4532220","BLACK","ASSEMBLY ELEMENT Ø3.2","£0.13"
"Connectors",,"2566","4612842","RED. BROWN","ASSEMBLY ELEMENT Ø3.2",
"Connectors",,"2566","6143062","BRICK-YEL","ASSEMBLY ELEMENT Ø3.2","£0.13"
"Connectors","Black","2780","4121715","BLACK","CONNECTOR PEG W. FRICTION","£0.07"
"Connectors","Grey","32002","4109854","DK.GREY","1 1/2 M CONNECTING BUSH",
"Connectors","Grey","32002","4211050","DK. ST. GREY","1 1/2 M CONNECTING BUSH","£0.07"
"Connectors",,"32002","6013938","BRICK-YEL","1 1/2 M CONNECTING BUSH","£0.07"
"Connectors","Black","32062","4109810","BLACK","2M CROSS AXLE W. GROOVE","£0.08"
"Connectors","Red","32062","4142865","BR.RED","2M CROSS AXLE W. GROOVE","£0.08"
"Connectors","White","32062","4163623","WHITE","2M CROSS AXLE W. GROOVE",
"Connectors","Black","32073","4114740","BLACK","CROSS AXLE 5M",
"Connectors","Grey","32073","4141482","GREY","CROSS AXLE 5M",
"Connectors","White","32073","4166139","WHITE","CROSS AXLE 5M",
"Connectors","Grey","32073","4211639","MED. ST-GREY","CROSS AXLE 5M","£0.11"
"Connectors","Yellow","32073","6130008","BR.YEL","CROSS AXLE 5M","£0.12"
"Connectors","Grey","32123","4110050","GREY","1/2 BUSH",
"Connectors","White","32123","4203585","WHITE","1/2 BUSH",
"Connectors","Grey","32123","4211573","MED. ST-GREY","1/2 BUSH",
"Connectors","Yellow","32123","4239601","BR.YEL","1/2 BUSH","£0.06"
"Connectors","Blue","32123","4260467","BR.BLUE","1/2 BUSH",
"Connectors","Black","32123","4278910","BLACK","1/2 BUSH",
"Connectors","Grey","3673","4211807","MED. ST-GREY","CONNECTOR PEG","£0.07"
"Connectors","Black","3705","370526","BLACK","CROSS AXLE 4M","£0.08"
"Connectors","Orange-brown","3705","4162390","EARTH-ORA","CROSS AXLE 4M",
"Connectors","Grey","3705","4180062","GREY","CROSS AXLE 4M",
"Connectors","Red","3705","4265797","BR.RED","CROSS AXLE 4M",
"Connectors","Red","3705","6129995","BR.RED","CROSS AXLE 4M","£0.10"
"Connectors","Black","3706","370626","BLACK","CROSS AXLE 6M","£0.16"
"Connectors","Grey","3706","4143263","GREY","CROSS AXLE 6M",
"Connectors","Red","3706","4191526","BR.RED","CROSS AXLE 6M",
"Connectors",,"3706","4203604","BRICK-YEL","CROSS AXLE 6M",
"Connectors","Red","3706","6130002","BR.RED","CROSS AXLE 6M","£0.19"
"Connectors","Black","3707","370726","BLACK","CROSS AXLE 8M","£0.17"
"Connectors","Grey","3707","4156302","GREY","CROSS AXLE 8M",
"Connectors","Red","3707","6130004","BR.RED","CROSS AXLE 8M","£0.20"
"Connectors","Black","3737","373726","BLACK","CROSS AXLE 10M","£0.19"
"Connectors","Red","3737","6130005","BR.RED","CROSS AXLE 10M","£0.25"
"Connectors","Grey","42610","4168161","GREY","HUB Ø11,2 X 7,84",
"Connectors","Red","42610","4185944","NEW DARK RED","HUB Ø11,2 X 7,84",
"Connectors","Grey","42610","4211758","MED. ST-GREY","HUB Ø11,2 X 7,84","£0.12"
"Connectors","Blue","4274","4143005","BR.BLUE","CONNECTOR PEG W. KNOB","£0.07"
"Connectors","White","4274","4187741","WHITE","CONNECTOR PEG W. KNOB",
"Connectors","Grey","4274","4211483","MED. ST-GREY","CONNECTOR PEG W. KNOB","£0.07"
"Connectors","Grey","4274","427402","GREY","CONNECTOR PEG W. KNOB",
"Connectors","Black","43093","4184170","BLACK","CONN.BUSH W.FRIC./CROSSALE",
"Connectors","White","43093","4184171","WHITE","CONN.BUSH W.FRIC./CROSSALE",
"Connectors","Blue","43093","4206482","BR.BLUE","CONN.BUSH W.FRIC./CROSSALE","£0.06"
"Connectors","Red","4519","4143467","BR.RED","CROSS AXLE 3M",
"Connectors","Grey","4519","4186007","GREY","CROSS AXLE 3M",
"Connectors","Grey","4519","4211815","MED. ST-GREY","CROSS AXLE 3M","£0.06"
"Connectors","Black","4519","451926","BLACK","CROSS AXLE 3M",
"Connectors","Yellow","4519","6130007","BR.YEL","CROSS AXLE 3M","£0.07"
"Connectors","Black","4735","4141580","BLACK","HOLDER 16 MM","£0.14"
"Connectors","Grey","4735","4143007","DK.GREY","HOLDER 16 MM",
"Connectors","Grey","4735","4210699","DK. ST. GREY","HOLDER 16 MM",
"Connectors","Grey","4735","4211644","MED. ST-GREY","HOLDER 16 MM","£0.14"
"Connectors","Grey","59426","4508553","DK. ST. GREY","CROSS AXLE 5,5  WITH STOP 1M.","£0.11"
"Connectors","White","62462","4526981","WHITE","TUBE W/DOUBLE Ø4.85","£0.06"
"Connectors","Black","62462","4526982","BLACK","TUBE W/DOUBLE Ø4.85","£0.10"
"Connectors","Yellow","62462","4526983","BR.YEL","TUBE W/DOUBLE Ø4.85","£0.10"
"Connectors","Red","62462","4526984","BR.RED","TUBE W/DOUBLE Ø4.85","£0.10"
"Connectors","Grey","62462","4526985","MED. ST-GREY","TUBE W/DOUBLE Ø4.85","£0.08"
"Connectors",,"62462","4538144","BR.ORANGE","TUBE W/DOUBLE Ø4.85","£0.13"
"Connectors","Red","62462","4539091","NEW DARK RED","TUBE W/DOUBLE Ø4.85","£0.11"
"Connectors","Blue","62462","4595160","BR.BLUE","TUBE W/DOUBLE Ø4.85",
"Connectors",,"62462","6054858","SILVER MET.","TUBE W/DOUBLE Ø4.85","£0.12"
"Connectors",,"62462","6055781","RED. BROWN","TUBE W/DOUBLE Ø4.85","£0.11"
"Connectors",,"62462","6109756","W.GOLD","TUBE W/DOUBLE Ø4.85","£0.13"
"Connectors","Grey","62462","6167943","TITAN. METAL.","TUBE W/DOUBLE Ø4.85","£0.13"
