"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Decoration elements","White","15070","6046905","WHITE","PLADE 1X1 M. 1 LOD. TAND","£0.10"
"Decoration elements","Yellow","15070","6047218","BR.YEL","PLADE 1X1 M. 1 LOD. TAND","£0.10"
"Decoration elements",,"15070","6083975","W.GOLD","PLADE 1X1 M. 1 LOD. TAND","£0.11"
"Decoration elements",,"15070","6138659","BR.YEL-GREEN","PLADE 1X1 M. 1 LOD. TAND","£0.10"
"Decoration elements","Blue","15070","6138770","MEDIUM AZUR","PLADE 1X1 M. 1 LOD. TAND","£0.10"
"Decoration elements",,"15070","6143058","BRICK-YEL","PLADE 1X1 M. 1 LOD. TAND","£0.10"
"Decoration elements","Black","15070","6173959","BLACK","PLADE 1X1 M. 1 LOD. TAND","£0.16"
"Decoration elements","Grey","15070","6186013","MED. ST-GREY","PLADE 1X1 M. 1 LOD. TAND",
"Decoration elements","White","15208","6046381","WHITE","1X2 PLATE WITH 3 TEETH","£0.10"
"Decoration elements",,"15208","6046907","BRICK-YEL","1X2 PLATE WITH 3 TEETH","£0.10"
"Decoration elements",,"15208","6052181","EARTH GREEN","1X2 PLATE WITH 3 TEETH",
"Decoration elements","Grey","15208","6083980","DK. ST. GREY","1X2 PLATE WITH 3 TEETH","£0.11"
"Decoration elements","Black","15208","6094141","BLACK","1X2 PLATE WITH 3 TEETH","£0.11"
"Decoration elements","Yellow","15208","6138731","FL. YELL-ORA","1X2 PLATE WITH 3 TEETH","£0.11"
"Decoration elements",,"15208","6146706","MEDIUM LAVENDER","1X2 PLATE WITH 3 TEETH",
"Decoration elements","Black","19798","6106280","BLACK","UNDERCARRIAGE 2X2X2","£0.32"
"Decoration elements","Grey","19798","6106283","DK. ST. GREY","UNDERCARRIAGE 2X2X2","£0.25"
"Decoration elements","Yellow","19798","6155669","BR.YEL","UNDERCARRIAGE 2X2X2","£0.29"
"Decoration elements","Black","30602","4143875","BLACK","FRONT, 2X2, SPORT","£0.18"
"Decoration elements","Purple","30602","4144108","BR. VIOLET","FRONT, 2X2, SPORT",
"Decoration elements","Yellow","30602","4144412","BR.YEL","FRONT, 2X2, SPORT","£0.18"
"Decoration elements","Red","30602","4144413","BR.RED","FRONT, 2X2, SPORT","£0.18"
"Decoration elements","Orange-brown","30602","4156026","BR.YELORA","FRONT, 2X2, SPORT",
"Decoration elements","Grey","30602","4162889","MED. ST-GREY","FRONT, 2X2, SPORT","£0.18"
