"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Fences and ladders","White","15332","6047813","WHITE","FENCE 1X4X2 W. 4 KNOBS","£0.46"
"Fences and ladders","Grey","15332","6057449","MED. ST-GREY","FENCE 1X4X2 W. 4 KNOBS","£0.46"
"Fences and ladders",,"15332","6060803","W.GOLD","FENCE 1X4X2 W. 4 KNOBS","£0.54"
"Fences and ladders","Black","15332","6066113","BLACK","FENCE 1X4X2 W. 4 KNOBS","£0.46"
"Fences and ladders",,"15332","6066114","RED. BROWN","FENCE 1X4X2 W. 4 KNOBS","£0.46"
"Fences and ladders",,"15332","6066118","BRICK-YEL","FENCE 1X4X2 W. 4 KNOBS","£0.56"
"Fences and ladders",,"15332","6093465","MEDIUM LAVENDER","FENCE 1X4X2 W. 4 KNOBS",
"Fences and ladders","Grey","3185","318502","GREY","FENCE 1X4X2",
"Fences and ladders","Red","3185","318521","BR.RED","FENCE 1X4X2",
"Fences and ladders","Black","3185","4188953","BLACK","FENCE 1X4X2","£0.25"
"Fences and ladders","Grey","3185","4291735","MED. ST-GREY","FENCE 1X4X2",
"Fences and ladders","White","3185","4587272","WHITE","FENCE 1X4X2","£0.25"
"Fences and ladders",,"3185","6052825","RED. BROWN","FENCE 1X4X2",
"Fences and ladders","Yellow","33303","4141352","BR.YEL","FENCE 1X4X2",
"Fences and ladders","White","33303","4141607","WHITE","FENCE 1X4X2","£0.26"
"Fences and ladders","Black","33303","4186636","BLACK","FENCE 1X4X2",
"Fences and ladders",,"33303","6150305","RED. BROWN","FENCE 1X4X2","£0.26"
"Fences and ladders","White","3633","363301","WHITE","FENCE 1X4X1",
"Fences and ladders","Black","3633","4187209","BLACK","FENCE 1X4X1","£0.18"
"Fences and ladders","Red","3633","4187280","BR.RED","FENCE 1X4X1",
"Fences and ladders","Grey","3633","4219725","DK. ST. GREY","FENCE 1X4X1","£0.18"
"Fences and ladders","Grey","3633","4295555","MED. ST-GREY","FENCE 1X4X1",
"Fences and ladders",,"3633","4536675","W.GOLD","FENCE 1X4X1","£0.23"
"Fences and ladders","White","3633","4550171","WHITE","FENCE 1X4X1","£0.18"
"Fences and ladders",,"3633","4618590","BR.YEL-GREEN","FENCE 1X4X1",
"Fences and ladders",,"3633","6070503","LAVENDER","FENCE 1X4X1","£0.22"
"Fences and ladders","White","4083","408301","WHITE","HANGER 1X4X2","£0.30"
"Fences and ladders","Grey","4083","408302","GREY","HANGER 1X4X2",
"Fences and ladders","Yellow","4083","408324","BR.YEL","HANGER 1X4X2","£0.30"
"Fences and ladders","Black","4083","408326","BLACK","HANGER 1X4X2","£0.30"
"Fences and ladders",,"4083","4218194","BRICK-YEL","HANGER 1X4X2",
"Fences and ladders","Red","4083","4264795","NEW DARK RED","HANGER 1X4X2 W. 2 CORED KNOBS",
"Fences and ladders","Grey","4083","6133587","MED. ST-GREY","HANGER 1X4X2 W. 2 CORED KNOBS","£0.35"
"Fences and ladders","Grey","6020","4275673","MED. ST-GREY","LATTICE 1X4X6 W. SNAP","£0.55"
"Fences and ladders","Blue","6020","4618668","MD.BLUE","LATTICE 1X4X6 W. SNAP",
"Fences and ladders","Black","6020","602026","BLACK","LATTICE 1X4X6 W. SNAP","£0.55"
"Fences and ladders",,"6020","6030812","RED. BROWN","LATTICE 1X4X6 W. SNAP","£0.56"
"Fences and ladders","Yellow","6020","6070784","BR.YEL","LATTICE 1X4X6 W. SNAP","£0.66"
"Fences and ladders","White","6020","6178095","WHITE","LATTICE 1X4X6 W. SNAP","£0.60"
