"Category","Colour Family","Design ID","Element ID","Exact Colour","Name"
"Figure, Head And Clothing","Blue",64262,4537503,"TR.FL. BLUE","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","Blue",64262,4537503,"TR.FL. BLUE","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","Blue",64262,4537503,"TR.FL. BLUE","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","Blue",64262,4537503,"TR.FL. BLUE","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","",64262,4540702,"TR.FL.REDORA","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","",64262,4540702,"TR.FL.REDORA","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","",64262,4540702,"TR.FL.REDORA","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","",64262,4540702,"TR.FL.REDORA","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","",64262,4540702,"TR.FL.REDORA","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","",64262,4540702,"TR.FL.REDORA","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","",64262,4540702,"TR.FL.REDORA","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","",64262,4540702,"TR.FL.REDORA","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","",64262,4540702,"TR.FL.REDORA","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","",64262,4540702,"TR.FL.REDORA","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","",64262,4540702,"TR.FL.REDORA","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","",64262,4540702,"TR.FL.REDORA","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","",64262,4540702,"TR.FL.REDORA","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","",64262,4540702,"TR.FL.REDORA","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","",64262,4540702,"TR.FL.REDORA","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","",64262,4540702,"TR.FL.REDORA","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","",64262,4540702,"TR.FL.REDORA","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","",64262,4540702,"TR.FL.REDORA","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","",64262,4540702,"TR.FL.REDORA","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","",64262,4540702,"TR.FL.REDORA","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","Yellow",64262,4543428,"TR.FL.GREEN","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","Yellow",64262,4543428,"TR.FL.GREEN","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","Yellow",64262,4543428,"TR.FL.GREEN","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","Yellow",64262,4543428,"TR.FL.GREEN","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","Yellow",64262,4543428,"TR.FL.GREEN","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","Yellow",64262,4543428,"TR.FL.GREEN","Hoved 2 w/ball cup 09"
"Figure, Head And Clothing","Yellow",64262,4543428,"TR.FL.GREEN","Hoved 2 w/ball cup 09"
