"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Figure, head clothing","Blue","11303","6032176","BR.BLUE","FIGUR HEAD CLOTHING NO 6",
"Figure, head clothing",,"11303","6032177","DK.GREEN","FIGUR HEAD CLOTHING NO 6","£0.17"
"Figure, head clothing","Red","11303","6032178","BR.RED","FIGUR HEAD CLOTHING NO 6","£0.11"
"Figure, head clothing","Blue","11303","6056241","EARTH BLUE","FIGUR HEAD CLOTHING NO 6","£0.11"
"Figure, head clothing",,"11303","6100774","SAND YELLOW","FIGUR HEAD CLOTHING NO 6","£0.11"
"Figure, head clothing","Red","11303","6102964","NEW DARK RED","FIGUR HEAD CLOTHING NO 6","£0.12"
"Figure, head clothing","Black","2447","244726","BLACK","MINI VISOR 2",
"Figure, head clothing","Blue","2447","244742","TR.L.BLUE","MINI VISOR 2",
"Figure, head clothing","Yellow","2447","244749","TR.FL.GREEN","MINI VISOR 2",
"Figure, head clothing",,"2447","4163306","TR.BROWN","MINI VISOR 2","£0.11"
"Figure, head clothing","Red","2447","4569898","TR.RED","MINI VISOR 2",
"Figure, head clothing","White","2447","4626724","TR.","MINI VISOR 2","£0.11"
"Figure, head clothing","Red","2447","6173916","TR.RED","MINI VISOR 2","£0.12"
"Figure, head clothing","Grey","30124","4106308","DK.GREY","MINI CRASH HELMET",
"Figure, head clothing","Grey","30124","4211033","DK. ST. GREY","MINI CRASH HELMET",
"Figure, head clothing","Blue","30124","4223918","MD.BLUE","MINI CRASH HELMET",
"Figure, head clothing","White","30124","4298609","WHITE","MINI CRASH HELMET","£0.19"
"Figure, head clothing",,"30124","4298611","SAND YELLOW","MINI CRASH HELMET",
"Figure, head clothing","Blue","30124","4298612","EARTH BLUE","MINI CRASH HELMET",
"Figure, head clothing",,"30124","4298613","EARTH GREEN","MINI CRASH HELMET",
"Figure, head clothing","Red","30124","4298614","NEW DARK RED","MINI CRASH HELMET",
"Figure, head clothing","Red","30124","4298617","BR.RED","MINI CRASH HELMET","£0.19"
"Figure, head clothing","Blue","30124","4298618","BR.BLUE","MINI CRASH HELMET","£0.19"
"Figure, head clothing","Black","30124","4298619","BLACK","MINI CRASH HELMET","£0.19"
"Figure, head clothing",,"30124","4298620","M. LILAC","MINI CRASH HELMET",
"Figure, head clothing",,"30124","4298622","DK.GREEN","MINI CRASH HELMET",
"Figure, head clothing",,"30124","4504949","SILVER","MINI CRASH HELMET",
"Figure, head clothing",,"30124","4632099","SILVER MET.","MINI CRASH HELMET",
"Figure, head clothing",,"30124","6095717","DK.GREEN","MINI CRASH HELMET","£0.35"
"Figure, head clothing","White","3624","362401","WHITE","MINI CAP","£0.26"
"Figure, head clothing","Red","3624","362421","BR.RED","MINI CAP",
"Figure, head clothing","Black","3624","362426","BLACK","MINI CAP","£0.23"
"Figure, head clothing","Grey","3624","4163128","DK.GREY","MINI CAP",
"Figure, head clothing","Blue","3624","4174743","BR.BLUE","MINI CAP","£0.26"
"Figure, head clothing",,"3624","4225277","M. LILAC","MINI CAP",
"Figure, head clothing","Red","3624","4541373","NEW DARK RED","MINI CAP","£0.26"
"Figure, head clothing","Blue","3624","6079853","EARTH BLUE","MINI CAP",
"Figure, head clothing","White","3833","383301","WHITE","MINI CONTRACTOR'S HELMET",
"Figure, head clothing","Red","3833","383321","BR.RED","MINI CONTRACTOR'S HELMET","£0.10"
"Figure, head clothing","Black","3833","383326","BLACK","MINI CONTRACTOR'S HELMET",
"Figure, head clothing","Yellow","3833","4587557","BR.YEL","MINI CONTRACTOR'S HELMET","£0.17"
"Figure, head clothing","Blue","3833","4616409","PASTBLU","MINI CONTRACTOR'S HELMET",
"Figure, head clothing","White","3833","6112193","WHITE","MINI CONTRACTOR'S HELMET","£0.10"
"Figure, head clothing","Black","41334","4157108","BLACK","MINI PIXIE CAP","£0.10"
"Figure, head clothing","Grey","41334","4192404","DK.GREY","MINI PIXIE CAP",
"Figure, head clothing","Grey","41334","4210934","DK. ST. GREY","MINI PIXIE CAP","£0.12"
"Figure, head clothing","Blue","41334","6078575","EARTH BLUE","MINI PIXIE CAP","£0.12"
"Figure, head clothing","Red","41334","6113985","NEW DARK RED","MINI PIXIE CAP","£0.12"
"Figure, head clothing","Grey","6158","4261469","DK. ST. GREY","SMOKE HELMET PROTECTION","£0.25"
"Figure, head clothing","Red","64647","4540552","BR.RED","FEATHER","£0.11"
"Figure, head clothing",,"64647","4540865","TR.FL.REDORA","FEATHER","£0.11"
"Figure, head clothing","Blue","64647","4548676","EARTH BLUE","FEATHER",
"Figure, head clothing","White","64647","4571058","WHITE","FEATHER",
"Figure, head clothing",,"64647","4587127","EARTH GREEN","FEATHER","£0.12"
"Figure, head clothing","Black","64647","4647128","BLACK","FEATHER",
"Figure, head clothing",,"64647","4649066","TR. BR. ORANGE","FEATHER","£0.11"
"Figure, head clothing","Blue","64647","6034719","BR.BLUE","FEATHER","£0.12"
"Figure, head clothing","White","64647","6097694","WHITE","FEATHER","£0.11"
"Figure, head clothing",,"64647","6121921","BR.YEL-GREEN","FEATHER","£0.12"
"Figure, head clothing",,"64647","6196565","W.GOLD","FEATHER",
"Figure, head clothing","Red","86035","4562544","BR.RED","MINI U.S. CAP","£0.12"
"Figure, head clothing","Blue","86035","4567909","BR.BLUE","MINI U.S. CAP","£0.12"
"Figure, head clothing","Black","86035","4567910","BLACK","MINI U.S. CAP",
"Figure, head clothing",,"86035","4567911","BR.YEL-GREEN","MINI U.S. CAP","£0.12"
"Figure, head clothing","White","86035","4567912","WHITE","MINI U.S. CAP","£0.17"
"Figure, head clothing",,"86035","4583147","BR.ORANGE","MINI U.S. CAP","£0.12"
"Figure, head clothing","Red","86035","4657954","NEW DARK RED","MINI U.S. CAP",
"Figure, head clothing","Black","86035","6177510","BLACK","MINI U.S. CAP","£0.17"
"Figure, head clothing","Grey","86035","6186549","MED. ST-GREY","MINI U.S. CAP","£0.17"
