"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Figure, heads and masks","Yellow","12813","6021844","BR.YEL","MINI HEAD ""NO 1147""","£0.22"
"Figure, heads and masks","Yellow","19541","6100203","BR.YEL","MINI HEAD ""NO. 1580""","£0.22"
"Figure, heads and masks","Yellow","21023","6112622","BR.YEL","MINI HEAD ""NO. 1663""",
"Figure, heads and masks","White","30011","3001140","TR.","MINI HEAD - TR.","£0.17"
"Figure, heads and masks","Yellow","30011","4190214","TR.YEL","MINI HEAD - TR.",
"Figure, heads and masks","Blue","30011","4190262","TR.L.BLUE","MINI HEAD - TR.",
"Figure, heads and masks","White","30011","6006525","WHITE GLOW","MINI HEAD - TR. GLOW","£0.72"
"Figure, heads and masks",,"30011","6039180","TR.FL.REDORA","MINI HEAD - TR.","£0.19"
"Figure, heads and masks","Blue","30011","6066376","TR.L.BLUE","MINI HEAD","£0.19"
"Figure, heads and masks","Blue","30011","6071581","TR.FL. BLUE","MINI HEAD","£0.19"
"Figure, heads and masks","Yellow","30011","6109893","TR.FL.GREEN","MINI HEAD","£0.17"
"Figure, heads and masks",,"30011","6157729","TR.BROWN","MINI HEAD","£0.19"
"Figure, heads and masks","Red","30011","6173950","TR.RED","MINI HEAD","£0.19"
"Figure, heads and masks",,"30011","6179551","TR.GREEN","MINI HEAD, NO. 2187","£0.26"
"Figure, heads and masks",,"30011","6192847","TR. BR. GREEN","MINI HEAD",
"Figure, heads and masks","White","3626","362601","WHITE","MINI HEAD",
"Figure, heads and masks","Yellow","3626","362624","BR.YEL","MINI HEAD",
"Figure, heads and masks","Black","3626","362626","BLACK","MINI HEAD",
"Figure, heads and masks",,"3626","4159051","BR.GREEN","MINI HEAD",
"Figure, heads and masks",,"3626","4162795","BR.ORANGE","MINI HEAD",
"Figure, heads and masks","Red","3626","4173441","BR.RED","MINI HEAD",
"Figure, heads and masks","Red","3626","4182849","NEW DARK RED","MINI HEAD",
"Figure, heads and masks","Grey","3626","4187121","DK.GREY","MINI HEAD",
"Figure, heads and masks",,"3626","4194825","NOUGAT","MINI HEAD",
"Figure, heads and masks","Grey","3626","4210898","DK. ST. GREY","MINI HEAD",
"Figure, heads and masks",,"3626","4211218","RED. BROWN","MINI HEAD",
"Figure, heads and masks","Grey","3626","4211585","MED. ST-GREY","MINI HEAD","£0.07"
"Figure, heads and masks",,"3626","4511896","BR.ORANGE","MINI HEAD",
"Figure, heads and masks",,"3626","4569361","SAND YELLOW","MINI HEAD",
"Figure, heads and masks","Blue","3626","4586188","BR.BLUE","MINI HEAD",
"Figure, heads and masks",,"3626","4614249","BR.YEL-GREEN","MINI HEAD","£0.08"
"Figure, heads and masks",,"3626","4621352","W.GOLD","MINI HEAD","£0.12"
"Figure, heads and masks",,"3626","4629994","M. NOUGAT","MINI HEAD",
"Figure, heads and masks","Blue","3626","6005999","LGH. ROY. BLUE","MINI HEAD","£0.11"
"Figure, heads and masks","Purple","3626","6029725","BR. PURPLE","MINI HEAD","£0.12"
"Figure, heads and masks",,"3626","6071680","MEDIUM LAVENDER","MINI HEAD","£0.11"
"Figure, heads and masks","Grey","3626","6192569","DK. ST. GREY","MINI HEAD",
"Figure, heads and masks","Yellow","51523","4261572","BR.YEL","MINI HEAD NO. 389","£0.18"
"Figure, heads and masks","Yellow","90787","4584727","BR.YEL","MINI HEAD NO 677","£0.22"
"Figure, heads and masks","Yellow","99566","4651441","BR.YEL","MINI HEAD NO 891","£0.22"
"Figure, heads and masks","Yellow","99570","4651443","BR.YEL","MINI HEAD NO. 893","£0.22"
"Figure, heads and masks","Yellow","99810","4652361","BR.YEL","MINI HEAD ""NO. 914""","£0.22"
