"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Figure, weapons","Blue","4497","4243948","DK. R.BLUE","SPEAR",
"Figure, weapons",,"4497","4267358","SILVER","SPEAR",
"Figure, weapons","Black","4497","449726","BLACK","SPEAR","£0.12"
"Figure, weapons",,"4497","4549898","DK. BROWN","SPEAR","£0.12"
"Figure, weapons",,"4497","4600529","W.GOLD","SPEAR",
"Figure, weapons",,"4497","4611883","SILVER MET.","SPEAR","£0.11"
"Figure, weapons","Grey","4497","4614336","TITAN. METAL.","SPEAR","£0.12"
"Figure, weapons","Orange-brown","60752","4516991","COPPER","WEAPON, WARRIOR",
"Figure, weapons",,"60752","4518474","SILVER","WEAPON, WARRIOR",
"Figure, weapons",,"60752","4600296","W.GOLD","WEAPON, WARRIOR",
"Figure, weapons",,"60752","4611882","SILVER MET.","WEAPON, WARRIOR","£0.16"
"Figure, weapons",,"60752","6096644","SAND YELLOW","WEAPON, WARRIOR","£0.16"
"Figure, weapons","Grey","64567","4539481","MED. ST-GREY","LIGHT SWORD SHAFT","£0.06"
"Figure, weapons","Black","64567","4598897","BLACK","LIGHT SWORD SHAFT","£0.06"
"Figure, weapons",,"64567","6003147","W.GOLD","LIGHT SWORD SHAFT","£0.07"
"Figure, weapons","White","64567","6040333","WHITE","LIGHT SWORD SHAFT","£0.06"
"Figure, weapons",,"64567","6133832","DK. BROWN","LIGHT SWORD SHAFT","£0.07"
"Figure, weapons","Blue","64567","6133835","EARTH BLUE","LIGHT SWORD SHAFT","£0.07"
"Figure, weapons","Grey","86208","4566028","DK. ST. GREY","BUTT","£0.11"
"Figure, weapons","Grey","86208","4595836","MED. ST-GREY","BUTT","£0.12"
"Figure, weapons",,"92690","4640843","W.GOLD","Ø3.2 SHAFT W. CORED KNOB","£0.10"
"Figure, weapons","Grey","92690","4640844","MED. ST-GREY","Ø3.2 SHAFT W. CORED KNOB","£0.10"
"Figure, weapons",,"92690","6029774","RED. BROWN","Ø3.2 SHAFT W. CORED KNOB","£0.10"
"Figure, weapons","Grey","92690","6158415","TITAN. METAL.","Ø3.2 SHAFT W. CORED KNOB","£0.10"
"Figure, weapons","Grey","97927","4641048","MED. ST-GREY","HANDCUFFS","£0.12"
