"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Figure, wigs","Orange-brown","3901","390125","EARTH-ORA","MINI WIG MAN",
"Figure, wigs","Black","3901","390126","BLACK","MINI WIG MAN","£0.25"
"Figure, wigs",,"3901","4124069","BRICK-YEL","MINI WIG MAN",
"Figure, wigs","Grey","3901","4162404","GREY","MINI WIG MAN",
"Figure, wigs","Orange-brown","3901","4163862","DARK NOUGAT","MINI WIG MAN",
"Figure, wigs","Grey","3901","4192401","DK.GREY","MINI WIG MAN",
"Figure, wigs",,"3901","4211158","RED. BROWN","MINI WIG MAN","£0.22"
"Figure, wigs","Grey","3901","4211740","MED. ST-GREY","MINI WIG MAN","£0.25"
"Figure, wigs",,"3901","4557944","SAND YELLOW","MINI WIG MAN","£0.23"
"Figure, wigs",,"3901","6006104","DK.ORA","MINI WIG MAN","£0.25"
"Figure, wigs",,"3901","6131630","DK. BROWN","MINI WIG MAN","£0.25"
"Figure, wigs","Black","62810","4526110","BLACK","WIG BOY","£0.12"
"Figure, wigs",,"62810","4529755","DK.ORA","WIG BOY","£0.12"
"Figure, wigs",,"62810","4535553","DK. BROWN","WIG BOY",
"Figure, wigs",,"62810","6018438","SAND YELLOW","WIG BOY","£0.12"
"Figure, wigs","Grey","62810","6075237","MED. ST-GREY","WIG BOY","£0.12"
"Figure, wigs",,"62810","6082516","M. NOUGAT","WIG BOY","£0.12"
"Figure, wigs","Yellow","62810","6105762","BR.YEL","WIG BOY",
