"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Figure accessories, upper and lower part","White","76116","6006126","WHITE","BAD ROBOT ARM","£0.16"
"Figure accessories, upper and lower part","Red","76116","6006738","NEW DARK RED","BAD ROBOT ARM","£0.16"
"Figure accessories, upper and lower part","Black","76116","6006739","BLACK","BAD ROBOT ARM","£0.16"
"Figure accessories, upper and lower part",,"76116","6006740","RED. BROWN","BAD ROBOT ARM","£0.16"
"Figure accessories, upper and lower part",,"76116","6006741","W.GOLD","BAD ROBOT ARM","£0.16"
"Figure accessories, upper and lower part",,"76116","6008483","SILVER MET.","BAD ROBOT ARM","£0.16"
"Figure accessories, upper and lower part","Grey","76116","6008484","TITAN. METAL.","BAD ROBOT ARM","£0.16"
"Figure accessories, upper and lower part","Grey","76116","6012812","DK. ST. GREY","BAD ROBOT ARM","£0.16"
"Figure accessories, upper and lower part","Red","76116","6014030","BR.RED","BAD ROBOT ARM",
"Figure accessories, upper and lower part","Blue","76116","6014032","BR.BLUE","BAD ROBOT ARM","£0.16"
"Figure accessories, upper and lower part","Yellow","76116","6014111","BR.YEL","BAD ROBOT ARM",
"Figure accessories, upper and lower part",,"76116","6014296","OLIVE GREEN","BAD ROBOT ARM","£0.17"
"Figure accessories, upper and lower part","Blue","76116","6104486","MEDIUM AZUR","BAD ROBOT ARM",
