"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Figure parts","Orange-brown","41879","4162228","EARTH-ORA","MINI LEG",
"Figure parts",,"41879","4270443","RED. BROWN","MINI LEG","£0.23"
"Figure parts",,"41879","4490082","M. LILAC","MINI LEG","£0.24"
"Figure parts",,"41879","4507055","BRICK-YEL","MINI LEG","£0.25"
"Figure parts","Grey","41879","4520155","MED. ST-GREY","MINI LEG","£0.25"
"Figure parts","Blue","41879","4530129","EARTH BLUE","MINI LEG","£0.23"
"Figure parts","Blue","41879","4543857","BR.BLUE","MINI LEG","£0.23"
"Figure parts","Black","41879","4596914","BLACK","MINI LEG","£0.23"
"Figure parts","Red","41879","4617549","BR.RED","MINI LEG","£0.23"
"Figure parts",,"41879","6005225","DK. BROWN","MINI LEG","£0.25"
"Figure parts",,"41879","6016059","SAND YELLOW","MINI LEG","£0.25"
"Figure parts","Grey","41879","6021881","DK. ST. GREY","MINI LEG",
"Figure parts",,"41879","6029933","MEDIUM LAVENDER","MINI LEG","£0.23"
"Figure parts","Blue","41879","6031019","DARK AZUR","MINI LEG","£0.24"
"Figure parts",,"41879","6074870","DK.GREEN","MINI LEG",
"Figure parts","Red","41879","6088406","NEW DARK RED","MINI LEG","£0.26"
"Figure parts",,"41879","6088409","EARTH GREEN","MINI LEG","£0.26"
"Figure parts","Blue","41879","6121893","SAND BLUE","MINI LEG","£0.26"
"Figure parts","Blue","41879","6144130","MD.BLUE","MINI LEG","£0.25"
"Figure parts",,"41879","6144706","SILVER MET.","MINI LEG",
"Figure parts","Yellow","41879","6155001","FL. YELL-ORA","MINI LEG","£0.26"
"Figure parts","White","41879","6160106","WHITE","MINI LEG","£0.25"
"Figure parts",,"41879","6162292","M. NOUGAT","MINI LEG","£0.25"
"Figure parts",,"41879","6170446","BR.ORANGE","MINI LEG","£0.25"
"Figure parts","Grey","73200","4105296","DK.GREY","MINI BODY LOWER PART",
"Figure parts",,"73200","4107623","BRICK-YEL","MINI LOWER PART, BRICK YELLOW","£0.54"
"Figure parts",,"73200","4120158","BR.ORANGE","MINI LOWER PART","£0.55"
"Figure parts",,"73200","4124102","BR.ORANGE","MINI LOWER PART DARK GREY/ORAN",
"Figure parts",,"73200","4141085","GOLD","MINI LOWER PART",
"Figure parts","Grey","73200","4143120","DK.GREY","MINI LOWER PART GRE/KOKS",
"Figure parts","Blue","73200","4162916","EARTH BLUE","MINI LOWER PART","£0.55"
"Figure parts","Black","73200","4168950","BLACK","MINI LOWER PART NO. 54, 26/154",
"Figure parts",,"73200","4187347","DK.ORA","MINI LOWER PART DARK ORANGE",
"Figure parts","Orange-brown","73200","4194110","BR.YELORA","MINI LOWER PART",
"Figure parts",,"73200","4206504","SAND GREEN","MINI LOWER PART","£0.55"
"Figure parts",,"73200","4214921","BR.ORANGE","MINI LOWER PART KOKS/ORANGE",
"Figure parts","Blue","73200","4216431","EARTH BLUE","MINI LOWER P. BLUE J/OR.",
"Figure parts",,"73200","4218803","BRICK-YEL","MINI LOWER PART BROWN/BRICKYEL",
"Figure parts","White","73200","4221858","WHITE","MINI LOWER PART GREY/WHITE","£0.54"
"Figure parts",,"73200","4221886","RED. BROWN","MINI LOWER PART","£0.54"
"Figure parts","Grey","73200","4222693","DK. ST. GREY","MINI LOWER PART","£0.54"
"Figure parts","Blue","73200","4223954","MD.BLUE","MINI LOWER PART NO.86, 102/194",
"Figure parts","White","73200","4225180","WHITE","MINI LOWER PART ""82""",
"Figure parts","Black","73200","4225183","BLACK","MINI LOWER PART ""83""",
"Figure parts",,"73200","4225783","DK.GREEN","MINI LOWER PART NO. 84, 28/199",
"Figure parts","Red","73200","4225784","BR.RED","MINI LOWER PART NO. 85, 21/199",
"Figure parts",,"73200","4225785","M. LILAC","MINI LOWER PART NO.87, 268/194",
"Figure parts","Grey","73200","4225786","DK. ST. GREY","MINI LOWER PART NO.88, 199/195",
