"Category","Design ID","Element ID","Exact Colour","Name","Price","Colour Family"
"Foodstuff","11610","6017003","BRICK-YEL","CONE 1X1 INVERTEDE W. SHAFT","£0.07",
"Foodstuff","11610","6056234","BLACK","CONE 1X1 INVERTEDE W. SHAFT","£0.07","Black"
"Foodstuff","11610","6114683","BR. PURPLE","CONE 1X1 INVERTEDE W. SHAFT","£0.08","Purple"
"Foodstuff","11610","6121354","SILVER MET.","CONE 1X1 INVERTEDE W. SHAFT","£0.08",
"Foodstuff","11610","6167667","MED. ST-GREY","CONE 1X1 INVERTEDE W. SHAFT",,"Grey"
"Foodstuff","20086","6103249","BR.ORANGE","CARROT","£0.11",
"Foodstuff","20086","6167666","RED. BROWN","CARROT","£0.12",
"Foodstuff","33051","4107050","BR.GREEN","APPLE WITH LEAF","£0.31",
"Foodstuff","33051","4119487","BR.RED","APPLE WITH LEAF",,"Red"
"Foodstuff","33051","6054438","BR.RED","APPLE WITH LEAF","£0.31","Red"
"Foodstuff","33051","6145252","DK.GREEN","APPLE WITH LEAF","£0.34",
"Foodstuff","33051","6186834","W.GOLD","APPLE WITH LEAF",,
"Foodstuff","33057","4106861","L.ORABROWN","TURKEY, DRUMSTICK",,"Orange-brown"
"Foodstuff","33057","4278013","DK.ORA","TURKEY, DRUMSTICK","£0.17",
"Foodstuff","33085","4114584","BR.YEL","BANANA","£0.20","Yellow"
"Foodstuff","33085","4274882","BRICK-YEL","BANANA",,
"Foodstuff","33085","6109672","DK. ST. GREY","BANANA","£0.22","Grey"
"Foodstuff","33125","4114583","L.ORABROWN","CROISSANT",,"Orange-brown"
"Foodstuff","33125","4273743","DK.ORA","CROISSANT","£0.24",
"Foodstuff","33125","6058250","WHITE","CROISSANT","£0.25","White"
"Foodstuff","33183","4119479","BR.GREEN","CARROT TOP","£0.07",
"Foodstuff","33183","4618589","RED. BROWN","CARROT TOP",,
"Foodstuff","33183","6078605","RED. BROWN","CARROT TOP","£0.06",
"Foodstuff","33183","6096682","FL. YELL-ORA","CARROT TOP","£0.07","Yellow"
"Foodstuff","6254","4286789","FL. YELL-ORA","ICE CREAM","£0.36","Yellow"
"Foodstuff","6254","4640866","DARK AZUR","ICE CREAM",,"Blue"
"Foodstuff","6254","6061678","BR.YEL-GREEN","ICE CREAM","£0.36",
"Foodstuff","6254","6150309","RED. BROWN","ICE CREAM","£0.36",
"Foodstuff","6254","625401","WHITE","ICE CREAM","£0.36","White"
"Foodstuff","93160","4600294","WHITE","2 M. Ø3.2 Bones","£0.07","White"
