"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Frames, windows, walls and doors","Red","15207","6046379","BR.RED","WALL ELEMENT 1X4X1 ABS","£0.14"
"Frames, windows, walls and doors","White","15207","6061047","WHITE","WALL ELEMENT 1X4X1 ABS",
"Frames, windows, walls and doors","Grey","15207","6071299","MED. ST-GREY","WALL ELEMENT 1X4X1 ABS","£0.14"
"Frames, windows, walls and doors","Black","15207","6092570","BLACK","WALL ELEMENT 1X4X1 ABS","£0.14"
"Frames, windows, walls and doors","Yellow","15207","6092648","BR.YEL","WALL ELEMENT 1X4X1 ABS",
"Frames, windows, walls and doors","Grey","15207","6092649","DK. ST. GREY","WALL ELEMENT 1X4X1 ABS","£0.14"
"Frames, windows, walls and doors",,"15207","6092650","BR.ORANGE","WALL ELEMENT 1X4X1 ABS","£0.16"
"Frames, windows, walls and doors",,"15207","6092652","BRICK-YEL","WALL ELEMENT 1X4X1 ABS",
"Frames, windows, walls and doors",,"15207","6092659","RED. BROWN","WALL ELEMENT 1X4X1 ABS","£0.14"
"Frames, windows, walls and doors","Blue","15207","6092660","EARTH BLUE","WALL ELEMENT 1X4X1 ABS",
"Frames, windows, walls and doors","Red","15207","6092665","NEW DARK RED","WALL ELEMENT 1X4X1 ABS",
"Frames, windows, walls and doors","Blue","15207","6092667","DARK AZUR","WALL ELEMENT 1X4X1 ABS","£0.18"
"Frames, windows, walls and doors",,"15207","6092671","BR.YEL-GREEN","WALL ELEMENT 1X4X1 ABS","£0.18"
"Frames, windows, walls and doors","Purple","15207","6134250","BR. PURPLE","WALL ELEMENT 1X4X1 ABS","£0.18"
"Frames, windows, walls and doors","Blue","15207","6146957","BR.BLUE","WALL ELEMENT 1X4X1 ABS","£0.18"
"Frames, windows, walls and doors",,"15207","6167463","M. LILAC","WALL ELEMENT 1X4X1 ABS","£0.18"
"Frames, windows, walls and doors","White","15714","6054554","TR.","WALL ELEMENT 1X2X1","£0.12"
"Frames, windows, walls and doors","Blue","15714","6066124","TR.L.BLUE","WALL ELEMENT 1X2X1","£0.12"
"Frames, windows, walls and doors",,"15714","6069068","TR.BROWN","WALL ELEMENT 1X2X1","£0.13"
"Frames, windows, walls and doors",,"15714","6076609","TR. BR. GREEN","WALL ELEMENT 1X2X1","£0.16"
"Frames, windows, walls and doors",,"15714","6127431","TR.FL.REDORA","WALL ELEMENT 1X2X1","£0.14"
"Frames, windows, walls and doors","White","18971","6093479","WHITE","FOOT, PLATE","£0.11"
"Frames, windows, walls and doors","Purple","18971","6100629","LGH. PURPLE","FOOT, PLATE","£0.12"
"Frames, windows, walls and doors","Black","18971","6115086","BLACK","FOOT, PLATE","£0.20"
"Frames, windows, walls and doors","Yellow","18971","6133805","FL. YELL-ORA","FOOT, PLATE","£0.13"
"Frames, windows, walls and doors",,"18971","6133860","RED. BROWN","FOOT, PLATE","£0.12"
"Frames, windows, walls and doors","Blue","18971","6133911","MEDIUM AZUR","FOOT, PLATE","£0.12"
"Frames, windows, walls and doors",,"18971","6153157","BRICK-YEL","FOOT, PLATE","£0.14"
"Frames, windows, walls and doors",,"18971","6177197","MEDIUM LAVENDER","FOOT, PLATE","£0.14"
"Frames, windows, walls and doors","White","30044","4247139","WHITE","WINDOW FRAME 1X2X2 2/3",
"Frames, windows, walls and doors","Red","30044","4264651","NEW DARK RED","WINDOW FRAME 1X2X2 2/3",
"Frames, windows, walls and doors","Grey","30044","4523353","MED. ST-GREY","WINDOW FRAME 1X2X2 2/3","£0.28"
