"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Functional elements","Blue","19954","6102759","BR.BLUE","HINGE PLATE 1X2","£0.40"
"Functional elements",,"19954","6102767","DK.GREEN","HINGE PLATE 1X2","£0.42"
"Functional elements","Yellow","19954","6102768","BR.YEL","HINGE PLATE 1X2","£0.41"
"Functional elements","Grey","19954","6102769","MED. ST-GREY","HINGE PLATE 1X2","£0.40"
"Functional elements",,"19954","6102772","BRICK-YEL","HINGE PLATE 1X2","£0.42"
"Functional elements","Grey","19954","6102774","DK. ST. GREY","HINGE PLATE 1X2","£0.40"
"Functional elements","White","19954","6102776","WHITE","HINGE PLATE 1X2","£0.40"
"Functional elements",,"19954","6102779","EARTH GREEN","HINGE PLATE 1X2","£0.43"
"Functional elements","Black","19954","6102782","BLACK","HINGE PLATE 1X2","£0.40"
"Functional elements","Red","19954","6102786","BR.RED","HINGE PLATE 1X2","£0.40"
"Functional elements","Blue","19954","6119114","MEDIUM AZUR","HINGE PLATE 1X2",
"Functional elements","Blue","19954","6135593","EARTH BLUE","HINGE PLATE 1X2","£0.46"
"Functional elements","Grey","3679","4211439","MED. ST-GREY","TURN PLATE 2X2, UPPER PART",
"Functional elements","White","3680","368001","WHITE","TURN PLATE 2X2, LOWER PART",
"Functional elements","Red","3680","368021","BR.RED","TURN PLATE 2X2, LOWER PART","£0.12"
"Functional elements","Blue","3680","368023","BR.BLUE","TURN PLATE 2X2, LOWER PART","£0.12"
"Functional elements","Yellow","3680","368024","BR.YEL","TURN PLATE 2X2, LOWER PART",
"Functional elements","Black","3680","368026","BLACK","TURN PLATE 2X2, LOWER PART","£0.12"
"Functional elements","Grey","3680","4258479","MED. ST-GREY","TURN PLATE 2X2, LOWER PART",
"Functional elements","White","3937","393701","WHITE","ROCKER BEARING 1X2","£0.11"
"Functional elements","Grey","3937","393702","GREY","ROCKER BEARING 1X2",
"Functional elements","Red","3937","393721","BR.RED","ROCKER BEARING 1X2","£0.11"
"Functional elements","Blue","3937","393723","BR.BLUE","ROCKER BEARING 1X2","£0.11"
"Functional elements","Yellow","3937","393724","BR.YEL","ROCKER BEARING 1X2","£0.11"
"Functional elements","Black","3937","393726","BLACK","ROCKER BEARING 1X2","£0.11"
"Functional elements","Grey","3937","4112234","DK.GREY","ROCKER BEARING 1X2",
"Functional elements",,"3937","4114305","BRICK-YEL","ROCKER BEARING 1X2",
"Functional elements","Grey","3937","4211066","DK. ST. GREY","ROCKER BEARING 1X2","£0.11"
"Functional elements","Grey","3937","4211469","MED. ST-GREY","ROCKER BEARING 1X2","£0.11"
"Functional elements","Purple","3937","4217281","BR. PURPLE","ROCKER BEARING 1X2",
"Functional elements",,"3937","4217438","DK.GREEN","ROCKER BEARING 1X2",
"Functional elements",,"3937","4286649","SAND GREEN","ROCKER BEARING 1X2",
"Functional elements",,"3937","6167642","M. NOUGAT","ROCKER BEARING 1X2","£0.13"
"Functional elements",,"3937","6170765","DK.GREEN","ROCKER BEARING 1X2","£0.13"
"Functional elements",,"3937","6174919","BRICK-YEL","ROCKER BEARING 1X2","£0.13"
"Functional elements",,"3937","6186045","RED. BROWN","ROCKER BEARING 1X2","£0.19"
"Functional elements","White","3938","393801","WHITE","PLATE 1X2 (ROCKING)","£0.16"
"Functional elements","Grey","3938","393802","GREY","PLATE 1X2 (ROCKING)",
"Functional elements","Red","3938","393821","BR.RED","PLATE 1X2 (ROCKING)",
"Functional elements","Yellow","3938","393824","BR.YEL","PLATE 1X2 (ROCKING)",
"Functional elements","Black","3938","393826","BLACK","PLATE 1X2 (ROCKING)",
"Functional elements",,"3938","4124464","BRICK-YEL","PLATE 1X2 (ROCKING)",
"Functional elements",,"3938","4211249","RED. BROWN","PLATE 1X2 (ROCKING)",
"Functional elements","Grey","3938","4211470","MED. ST-GREY","PLATE 1X2 (ROCKING)",
"Functional elements",,"3938","4585494","RED. BROWN","PLATE 1X2 (ROCKING)",
"Functional elements",,"3938","6170768","DK.GREEN","PLATE 1X2 (ROCKING)","£0.16"
"Functional elements","Grey","3938","6176400","DK. ST. GREY","PLATE 1X2 (ROCKING)","£0.16"
"Functional elements","Black","6134","4124096","BLACK","PLATE 2X2 (ROCKING)","£0.17"
"Functional elements",,"6134","4143703","BRICK-YEL","PLATE 2X2 (ROCKING)",
"Functional elements","Blue","6134","4195007","BR.BLUE","PLATE 2X2 (ROCKING)","£0.17"
"Functional elements","Grey","6134","4211881","MED. ST-GREY","PLATE 2X2 (ROCKING)","£0.17"
"Functional elements","Green","6134","4216932","MD.YEL-GREEN","PLATE 2X2 (ROCKING)",
"Functional elements","White","6134","4612342","WHITE","PLATE 2X2 (ROCKING)","£0.18"
"Functional elements","Red","6134","613421","BR.RED","PLATE 2X2 (ROCKING)","£0.18"
"Functional elements",,"6134","6167644","RED. BROWN","PLATE 2X2 (ROCKING)","£0.18"
"Functional elements",,"6134","6186623","DK.GREEN","PLATE 2X2 (ROCKING)","£0.22"
