"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Interior","Black","30150","4144531","BLACK","BOX 3X4",
"Interior",,"30150","4211185","RED. BROWN","BOX 3X4","£0.60"
"Interior","Yellow","30150","4599378","BR.YEL","BOX 3X4","£0.65"
"Interior",,"30150","6035734","M. NOUGAT","BOX 3X4","£0.61"
"Interior","Grey","30150","6108560","MED. ST-GREY","BOX 3X4","£0.60"
"Interior","White","4079","407901","WHITE","SEAT 2X2X2","£0.20"
"Interior","Red","4079","407921","BR.RED","SEAT 2X2X2","£0.22"
"Interior","Blue","4079","407923","BR.BLUE","SEAT 2X2X2","£0.20"
"Interior","Yellow","4079","407924","BR.YEL","SEAT 2X2X2","£0.22"
"Interior","Black","4079","407926","BLACK","SEAT 2X2X2","£0.20"
"Interior","Orange-brown","4079","4129993","EARTH-ORA","SEAT 2X2X2",
"Interior",,"4079","4211206","RED. BROWN","SEAT 2X2X2","£0.20"
"Interior",,"4079","4217551","DK.ORA","SEAT 2X2X2",
"Interior","Grey","4079","4225238","MED. ST-GREY","SEAT 2X2X2",
"Interior","Grey","4079","4524930","DK. ST. GREY","SEAT 2X2X2","£0.24"
"Interior",,"4079","4538760","EARTH GREEN","SEAT 2X2X2","£0.25"
"Interior","Black","4345","4143247","BLACK","MAILBOX, CASING 2X2X2",
"Interior","Grey","4345","4210894","DK. ST. GREY","MAILBOX, CASING 2X2X2",
"Interior","Grey","4345","4211491","MED. ST-GREY","MAILBOX, CASING 2X2X2","£0.34"
"Interior","Red","4345","4261628","BR.RED","MAILBOX, CASING 2X2X2","£0.35"
"Interior","White","4345","434501","WHITE","MAILBOX, CASING 2X2X2","£0.34"
"Interior","Blue","4345","6132528","BR.BLUE","MAILBOX, CASING 2X2X2","£0.35"
"Interior","Black","4345","6138634","BLACK","MAILBOX, CASING 2X2X2","£0.36"
"Interior","Yellow","4345","6146457","BR.YEL","MAILBOX, CASING 2X2X2","£0.35"
"Interior","Grey","4346","4210888","DK. ST. GREY","MAILBOX, FRONT 2X2",
"Interior","Grey","4346","4211492","MED. ST-GREY","MAILBOX, FRONT 2X2","£0.13"
"Interior","White","4346","434601","WHITE","MAILBOX, FRONT 2X2","£0.13"
"Interior","Red","4346","4521851","BR.RED","MAILBOX, FRONT 2X2","£0.14"
"Interior","Yellow","4346","6146456","BR.YEL","MAILBOX, FRONT 2X2","£0.14"
"Interior","Grey","4533","4163834","DK.GREY","CUPBOARD, DOOR 3X2",
"Interior","Black","4533","4193693","BLACK","CUPBOARD, DOOR 3X2",
"Interior","Grey","4533","4210811","DK. ST. GREY","CUPBOARD, DOOR 3X2","£0.14"
"Interior","White","4533","4261470","WHITE","CUPBOARD, DOOR 3X2","£0.14"
"Interior",,"4533","6121349","SAND GREEN","CUPBOARD, DOOR 3X2",
"Interior","Grey","4533","6132390","MED. ST-GREY","CUPBOARD, DOOR 3X2","£0.12"
"Interior","White","4536","4520636","WHITE","DRAWER","£0.18"
"Interior","Purple","4536","4599534","LGH. PURPLE","DRAWER","£0.20"
"Interior",,"4536","6126118","M. NOUGAT","DRAWER","£0.20"
"Interior","Grey","4536","6132267","DK. ST. GREY","DRAWER","£0.20"
"Interior","Red","4599","4209390","NEW DARK RED","TAP Ø4.9/6.4",
"Interior","Grey","4599","4211503","MED. ST-GREY","TAP Ø4.9/6.4","£0.07"
"Interior","Yellow","4599","4256320","BR.YEL","TAP Ø4.9/6.4","£0.07"
"Interior","White","4599","459901","WHITE","TAP Ø4.9/6.4","£0.07"
"Interior","Red","4599","459921","BR.RED","TAP Ø4.9/6.4","£0.07"
"Interior","Blue","4599","459923","BR.BLUE","TAP Ø4.9/6.4","£0.07"
"Interior","Black","4599","459926","BLACK","TAP Ø4.9/6.4",
"Interior",,"4599","6122830","DK.GREEN","TAP Ø4.9/6.4",
"Interior",,"4599","6146054","W.GOLD","TAP Ø4.9/6.4","£0.08"
"Interior",,"4599","6151066","BRICK-YEL","TAP Ø4.9/6.4","£0.07"
"Interior",,"4599","6153585","RED. BROWN","TAP Ø4.9/6.4","£0.08"
"Interior","Purple","4738","4129857","TR.ML.R.VIOL","CHEST 2X4",
"Interior","Grey","4738","4280115","DK. ST. GREY","CHEST 2X4",
"Interior",,"4738","4533101","RED. BROWN","CHEST 2X4","£0.53"
"Interior",,"4738","4541393","W.GOLD","CHEST 2X4",
"Interior",,"4738","4618652","BRICK-YEL","CHEST 2X4",
"Interior",,"4738","6056226","MEDIUM LAVENDER","CHEST 2X4","£0.58"
"Interior","Black","4738","6101166","BLACK","CHEST 2X4",
"Interior",,"4738","6102984","M. NOUGAT","CHEST 2X4","£0.54"
"Interior",,"4738","6125675","SILVER MET.","CHEST 2X4","£0.54"
"Interior","Grey","61780","4520307","DK. ST. GREY","BOX 2X2X2","£0.36"
"Interior",,"61780","4520638","RED. BROWN","BOX 2X2X2","£0.36"
"Interior",,"61780","4548102","DK.GREEN","BOX  2x2x2","£0.37"
"Interior",,"64951","4541875","RED. BROWN","TUB","£0.46"
"Interior",,"64951","4651908","MEDIUM LAVENDER","TUB",
"Interior",,"64951","6143217","M. NOUGAT","TUB","£0.44"
"Interior","Grey","64951","6197966","TITAN. METAL.","TUB",
"Interior","Grey","92410","4610112","MED. ST-GREY","CUPBOARD 2X3X2","£0.36"
"Interior","Red","92410","4619543","BR.RED","CUPBOARD 2X3X2","£0.37"
"Interior","White","92410","4619665","WHITE","CUPBOARD 2X3X2","£0.36"
"Interior","Blue","92410","4619667","BR.BLUE","CUPBOARD 2X3X2",
"Interior",,"92410","4625623","BR.YEL-GREEN","CUPBOARD 2X3X2","£0.40"
"Interior",,"92410","4654109","M. LILAC","CUPBOARD 2X3X2",
"Interior",,"92410","6035703","MEDIUM LAVENDER","CUPBOARD 2X3X2","£0.37"
"Interior",,"92410","6039861","BR.ORANGE","CUPBOARD 2X3X2","£0.54"
"Interior","Yellow","92410","6104481","FL. YELL-ORA","CUPBOARD 2X3X2","£0.41"
"Interior",,"92410","6132732","RED. BROWN","CUPBOARD 2X3X2","£0.40"
"Interior","Black","92410","6138479","BLACK","CUPBOARD 2X3X2","£0.40"
"Interior","Blue","92410","6173811","DARK AZUR","CUPBOARD 2X3X2","£0.40"
