"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Plates, special","Grey","10201","6014615","MED. ST-GREY","ANGLE PLATE 1X2/1X4","£0.18"
"Plates, special","Yellow","10201","6076799","BR.YEL","ANGLE PLATE 1X2/1X4","£0.18"
"Plates, special","White","10201","6089574","WHITE","ANGLE PLATE 1X2/1X4","£0.18"
"Plates, special","Red","10201","6089576","BR.RED","ANGLE PLATE 1X2/1X4","£0.18"
"Plates, special","Black","10201","6089577","BLACK","ANGLE PLATE 1X2/1X4","£0.18"
"Plates, special","Blue","10201","6119159","BR.BLUE","ANGLE PLATE 1X2/1X4","£0.23"
"Plates, special",,"10201","6123759","RED. BROWN","ANGLE PLATE 1X2/1X4","£0.23"
"Plates, special","Red","10247","6014616","BR.RED","PLATE 2X2 + ONE HULE Ø4,8","£0.11"
"Plates, special","Grey","10247","6045988","MED. ST-GREY","PLATE 2X2 + ONE HULE Ø4,8","£0.11"
"Plates, special","Grey","10247","6047417","DK. ST. GREY","PLATE 2X2 + ONE HULE Ø4,8","£0.11"
"Plates, special","White","10247","6061024","WHITE","PLATE 2X2 + ONE HULE Ø4,8","£0.11"
"Plates, special","Yellow","10247","6061025","BR.YEL","PLATE 2X2 + ONE HULE Ø4,8","£0.12"
"Plates, special","Black","10247","6061032","BLACK","PLATE 2X2 + ONE HULE Ø4,8","£0.11"
"Plates, special","Grey","11476","6028812","MED. ST-GREY","PLATE 1X2 W. 1 HORIZONTAL SNAP",
"Plates, special","White","11476","6070712","WHITE","PLATE 1X2 W. 1 HORIZONTAL SNAP","£0.11"
"Plates, special","Black","11476","6132731","BLACK","PLATE 1X2 W. 1 HORIZONTAL SNAP","£0.11"
"Plates, special","Purple","11476","6135604","BR.RED-VIOL.","PLATE 1X2 W. 1 HORIZONTAL SNAP","£0.14"
"Plates, special","Blue","11476","6151674","DARK AZUR","PLATE 1X2 W. 1 HORIZONTAL SNAP","£0.18"
"Plates, special",,"11476","6177314","BRICK-YEL","PLATE 1X2 W. 1 HORIZONTAL SNAP","£0.13"
"Plates, special","Red","11476","6178488","BR.RED","PLATE 1X2 W. 1 HORIZONTAL SNAP",
"Plates, special","Yellow","11476","6179329","BR.YEL","PLATE 1X2 W. 1 HORIZONTAL SNAP","£0.13"
"Plates, special",,"11476","6185996","DK.GREEN","PLATE 1X2 W. 1 HORIZONTAL SNAP","£0.13"
"Plates, special",,"11476","6185998","RED. BROWN","PLATE 1X2 W. 1 HORIZONTAL SNAP","£0.13"
"Plates, special","Red","11476","6186001","NEW DARK RED","PLATE 1X2 W. 1 HORIZONTAL SNAP","£0.13"
"Plates, special",,"11476","6186049","DK.ORA","PLATE 1X2 W. 1 HORIZONTAL SNAP","£0.18"
"Plates, special",,"12825","6030714","W.GOLD","PLATE 1X1 W. UP RIGHT HOLDER","£0.10"
"Plates, special","Blue","12825","6030715","BR.BLUE","PLATE 1X1 W. UP RIGHT HOLDER","£0.06"
"Plates, special","Yellow","12825","6030719","BR.YEL","PLATE 1X1 W. UP RIGHT HOLDER","£0.07"
"Plates, special","Grey","14417","6039479","DK. ST. GREY","PLATE 1X2 BALL Ø5.9 MIDDLE","£0.10"
"Plates, special","Grey","14419","6039482","DK. ST. GREY","PLATE 1X2 BALL Ø5.9/CUP/FRICTION","£0.25"
"Plates, special","Grey","14704","6043656","MED. ST-GREY","PLATE 1X2 BALL CUP / FRICTION MIDDLE","£0.18"
"Plates, special","Grey","14704","6146792","DK. ST. GREY","PLATE 1X2 BALL CUP / FRICTION MIDDLE","£0.19"
"Plates, special","White","15712","6054551","WHITE","PLATE 1X1 W. UP RIGHT HOLDER",
"Plates, special","Black","15712","6066102","BLACK","PLATE 1X1 W. UP RIGHT HOLDER","£0.07"
"Plates, special","Red","15712","6071222","NEW DARK RED","PLATE 1X1 W. UP RIGHT HOLDER","£0.08"
"Plates, special","Grey","15712","6071226","DK. ST. GREY","PLATE 1X1 W. UP RIGHT HOLDER","£0.07"
"Plates, special","Grey","15712","6071229","MED. ST-GREY","PLATE 1X1 W. UP RIGHT HOLDER","£0.07"
"Plates, special",,"15712","6071259","W.GOLD","PLATE 1X1 W. UP RIGHT HOLDER","£0.10"
"Plates, special","Blue","15712","6071264","BR.BLUE","PLATE 1X1 W. UP RIGHT HOLDER","£0.08"
"Plates, special","Yellow","15712","6071270","BR.YEL","PLATE 1X1 W. UP RIGHT HOLDER","£0.07"
"Plates, special",,"15712","6071274","RED. BROWN","PLATE 1X1 W. UP RIGHT HOLDER","£0.07"
"Plates, special","Red","15712","6072998","BR.RED","PLATE 1X1 W. UP RIGHT HOLDER","£0.07"
"Plates, special",,"15712","6125669","SAND GREEN","PLATE 1X1 W. UP RIGHT HOLDER","£0.10"
"Plates, special","Grey","18649","6093058","MED. ST-GREY","Plate 1x2 w. 2 shafts ø 3.2","£0.13"
"Plates, special","Black","18649","6099483","BLACK","Plate 1x2 w. 2 shafts ø 3.2","£0.13"
"Plates, special","Yellow","18649","6174004","FL. YELL-ORA","Plate 1x2 w. 2 shafts ø 3.2","£0.16"
"Plates, special","Grey","21712","6117967","MED. ST-GREY","ANGLE PLATE 1X2 / 2X2","£0.11"
"Plates, special","Blue","21712","6117968","BR.BLUE","ANGLE PLATE 1X2 / 2X2","£0.12"
"Plates, special","Grey","21712","6117972","DK. ST. GREY","ANGLE PLATE 1X2 / 2X2","£0.11"
"Plates, special","Black","21712","6117973","BLACK","ANGLE PLATE 1X2 / 2X2","£0.11"
"Plates, special","Red","21712","6117974","BR.RED","ANGLE PLATE 1X2 / 2X2","£0.11"
"Plates, special",,"21712","6117976","RED. BROWN","ANGLE PLATE 1X2 / 2X2","£0.14"
"Plates, special","Yellow","21712","6134634","FL. YELL-ORA","ANGLE PLATE 1X2 / 2X2","£0.14"
"Plates, special","Grey","21731","6118827","MED. ST-GREY","ANGLE PLATE 1X2 / 2X4","£0.18"
"Plates, special","Yellow","21731","6118828","BR.YEL","ANGLE PLATE 1X2 / 2X4","£0.18"
"Plates, special","Black","21731","6118829","BLACK","ANGLE PLATE 1X2 / 2X4","£0.17"
"Plates, special","Red","21731","6118830","BR.RED","ANGLE PLATE 1X2 / 2X4","£0.18"
"Plates, special","Grey","21731","6118832","DK. ST. GREY","ANGLE PLATE 1X2 / 2X4","£0.17"
"Plates, special","White","21731","6158058","WHITE","ANGLE PLATE 1X2/2X4",
"Plates, special","Blue","21731","6194751","BR.BLUE","ANGLE PLATE 1X2 / 2X4","£0.18"
"Plates, special",,"21731","6195539","BR.YEL-GREEN","ANGLE PLATE 1X2 / 2X4",
"Plates, special","White","2432","243201","WHITE","CLAMP 1X2","£0.14"
"Plates, special","Grey","2432","243202","GREY","CLAMP 1X2",
"Plates, special","Red","2432","243221","BR.RED","CLAMP 1X2","£0.14"
"Plates, special","Blue","2432","243223","BR.BLUE","CLAMP 1X2","£0.14"
"Plates, special","Yellow","2432","243224","BR.YEL","CLAMP 1X2","£0.14"
"Plates, special","Black","2432","243226","BLACK","CLAMP 1X2","£0.14"
"Plates, special","Grey","2432","4107492","DK.GREY","CLAMP 1X2",
"Plates, special",,"2432","4159944","DK.GREEN","CLAMP 1X2",
"Plates, special","Red","2432","4163461","NEW DARK RED","CLAMP 1X2",
"Plates, special","Grey","2432","4211039","DK. ST. GREY","CLAMP 1X2","£0.14"
"Plates, special",,"2432","4211219","RED. BROWN","CLAMP 1X2","£0.14"
"Plates, special","Grey","2432","4211357","MED. ST-GREY","CLAMP 1X2","£0.14"
"Plates, special","Blue","2432","4222961","SAND BLUE","CLAMP 1X2",
"Plates, special",,"2432","4540268","DK.GREEN","CLAMP 1X2",
"Plates, special",,"2432","4614461","SILVER MET.","CLAMP 1X2",
"Plates, special",,"2432","6021208","BRICK-YEL","CLAMP 1X2","£0.14"
"Plates, special",,"2432","6060855","BR.ORANGE","CLAMP 1X2","£0.23"
"Plates, special","Blue","2432","6121919","MEDIUM AZUR","CLAMP 1X2","£0.17"
"Plates, special",,"2432","6139652","M. LILAC","CLAMP 1X2","£0.17"
"Plates, special","Grey","2432","6158368","TITAN. METAL.","CLAMP 1X2","£0.17"
"Plates, special","Black","2508","250826","BLACK","PLATE 1X2X4 W. BALL",
"Plates, special","Grey","2508","4274404","GREY","PLATE 1X2X4 W. BALL",
"Plates, special","White","2508","4274407","WHITE","PLATE 1X2X4 W. BALL",
"Plates, special","Grey","2508","4527517","DK. ST. GREY","PLATE 1X2X4 W. BALL",
"Plates, special","White","2540","4140583","WHITE","PLATE 1X2 W. STICK","£0.08"
"Plates, special","Red","2540","4140585","BR.RED","PLATE 1X2 W. STICK","£0.08"
"Plates, special","Blue","2540","4140586","BR.BLUE","PLATE 1X2 W. STICK","£0.08"
"Plates, special","Yellow","2540","4140587","BR.YEL","PLATE 1X2 W. STICK","£0.10"
"Plates, special","Black","2540","4140588","BLACK","PLATE 1X2 W. STICK","£0.08"
"Plates, special",,"2540","4140593","BRICK-YEL","PLATE 1X2 W. STICK","£0.08"
"Plates, special","Blue","2540","4171688","SAND BLUE","PLATE 1X2 W. STICK",
"Plates, special","Blue","2540","4187935","MD.BLUE","PLATE 1X2 W. STICK",
"Plates, special",,"2540","4190164","BR.ORANGE","PLATE 1X2 W. STICK","£0.11"
"Plates, special","Grey","2540","4210660","DK. ST. GREY","PLATE 1X2 W. STICK","£0.08"
