"Category","Colour Family","Design ID","Element ID","Exact Colour","Name"
"Plates","Red",48138,4217462,"BR.RED","STONE 2X2 (63,4 X 63,4)"
"Plates","Red",48138,4217462,"BR.RED","STONE 2X2 (63,4 X 63,4)"
"Plates","Red",48138,4217462,"BR.RED","STONE 2X2 (63,4 X 63,4)"
"Plates","Red",48138,4217462,"BR.RED","STONE 2X2 (63,4 X 63,4)"
"Plates","Red",48138,4217462,"BR.RED","STONE 2X2 (63,4 X 63,4)"
"Plates","Red",48138,4217462,"BR.RED","STONE 2X2 (63,4 X 63,4)"
"Plates","Red",48138,4217462,"BR.RED","STONE 2X2 (63,4 X 63,4)"
"Plates","Red",48138,4217462,"BR.RED","STONE 2X2 (63,4 X 63,4)"
"Plates","Yellow",48138,4217467,"BR.YEL","STONE 2X2 (63,4 X 63,4)"
"Plates","Yellow",48138,4217467,"BR.YEL","STONE 2X2 (63,4 X 63,4)"
"Plates","Yellow",48138,4217467,"BR.YEL","STONE 2X2 (63,4 X 63,4)"
"Plates","Yellow",48138,4217467,"BR.YEL","STONE 2X2 (63,4 X 63,4)"
"Plates","Yellow",48138,4217467,"BR.YEL","STONE 2X2 (63,4 X 63,4)"
"Plates","Yellow",48138,4217467,"BR.YEL","STONE 2X2 (63,4 X 63,4)"
"Plates","Yellow",48138,4217467,"BR.YEL","STONE 2X2 (63,4 X 63,4)"
"Plates","Yellow",48138,4217467,"BR.YEL","STONE 2X2 (63,4 X 63,4)"
"Plates","Purple",48138,4225997,"BR. RED. LILAC","STONE 2X2 (63,4 X 63,4)"
"Plates","Purple",48138,4225997,"BR. RED. LILAC","STONE 2X2 (63,4 X 63,4)"
"Plates","Purple",48138,4225997,"BR. RED. LILAC","STONE 2X2 (63,4 X 63,4)"
"Plates","Red",48201,4219179,"BR.RED","STONE 2X4 (127,4 X 63,4)"
"Plates","Red",48201,4219179,"BR.RED","STONE 2X4 (127,4 X 63,4)"
"Plates","Red",48201,4219179,"BR.RED","STONE 2X4 (127,4 X 63,4)"
"Plates","Red",48201,4219179,"BR.RED","STONE 2X4 (127,4 X 63,4)"
"Plates","Red",48201,4219179,"BR.RED","STONE 2X4 (127,4 X 63,4)"
"Plates","Red",48201,4219179,"BR.RED","STONE 2X4 (127,4 X 63,4)"
"Plates","Red",48201,4219179,"BR.RED","STONE 2X4 (127,4 X 63,4)"
"Plates","Blue",48201,4219180,"BR.BLUE","STONE 2X4 (127,4 X 63,4)"
"Plates","Yellow",48201,4219181,"BR.YEL","STONE 2X4 (127,4 X 63,4)"
"Plates","Yellow",48201,4219181,"BR.YEL","STONE 2X4 (127,4 X 63,4)"
"Plates","Yellow",48201,4219181,"BR.YEL","STONE 2X4 (127,4 X 63,4)"
"Plates","Yellow",48201,4219181,"BR.YEL","STONE 2X4 (127,4 X 63,4)"
"Plates","Yellow",48201,4219181,"BR.YEL","STONE 2X4 (127,4 X 63,4)"
