"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Signs, flags and poles","White","11055","6011794","WHITE","FLAG WITH 2 HOLDERS","£0.13"
"Signs, flags and poles","Red","11055","6011814","BR.RED","FLAG WITH 2 HOLDERS","£0.13"
"Signs, flags and poles","Black","11055","6011815","BLACK","FLAG WITH 2 HOLDERS","£0.13"
"Signs, flags and poles","Blue","11055","6011816","BR.BLUE","FLAG WITH 2 HOLDERS","£0.22"
"Signs, flags and poles","Grey","11055","6011817","MED. ST-GREY","FLAG WITH 2 HOLDERS","£0.13"
"Signs, flags and poles","Yellow","11055","6011982","FL. YELL-ORA","FLAG WITH 2 HOLDERS",
"Signs, flags and poles","Yellow","11055","6012442","BR.YEL","FLAG WITH 2 HOLDERS","£0.14"
"Signs, flags and poles","Red","11055","6151265","NEW DARK RED","FLAG WITH 2 HOLDERS","£0.17"
"Signs, flags and poles",,"11055","6186020","BR.YEL-GREEN","FLAG WITH 2 HOLDERS",
"Signs, flags and poles",,"17715","6075208","RED. BROWN","SHAFT 3M Ø3.2","£0.04"
"Signs, flags and poles","Black","17715","6093525","BLACK","SHAFT 3M Ø3.2","£0.04"
"Signs, flags and poles","White","17715","6093526","WHITE","SHAFT 3M Ø3.2","£0.04"
"Signs, flags and poles","Grey","17715","6093527","MED. ST-GREY","SHAFT 3M Ø3.2","£0.04"
"Signs, flags and poles",,"17715","6093529","W.GOLD","SHAFT 3M Ø3.2","£0.05"
"Signs, flags and poles",,"17715","6161772","BR.GREEN","SHAFT 3M Ø3.2","£0.05"
"Signs, flags and poles","White","21462","6116602","WHITE","LIGHT SWORD - BLADE","£0.05"
"Signs, flags and poles","Black","21462","6116604","BLACK","LIGHT SWORD - BLADE","£0.05"
"Signs, flags and poles","Yellow","21462","6116606","BR.YEL","LIGHT SWORD - BLADE","£0.05"
"Signs, flags and poles","Grey","21462","6116608","MED. ST-GREY","LIGHT SWORD - BLADE","£0.04"
"Signs, flags and poles",,"21462","6116613","RED. BROWN","LIGHT SWORD - BLADE","£0.05"
"Signs, flags and poles",,"21462","6116614","BRICK-YEL","LIGHT SWORD - BLADE","£0.06"
"Signs, flags and poles","Yellow","30374","4124054","TR.FL.GREEN","LIGHT SWORD - BLADE","£0.12"
"Signs, flags and poles","Blue","30374","4124073","TR.L.BLUE","LIGHT SWORD - BLADE","£0.08"
"Signs, flags and poles","Red","30374","4124108","TR.RED","LIGHT SWORD - BLADE","£0.08"
"Signs, flags and poles","White","30374","4129836","WHITE","LIGHT SWORD - BLADE",
"Signs, flags and poles","Grey","30374","4129988","GREY","LIGHT SWORD - BLADE",
"Signs, flags and poles","Black","30374","4140303","BLACK","LIGHT SWORD - BLADE",
"Signs, flags and poles","Orange-brown","30374","4157700","EARTH-ORA","LIGHT SWORD - BLADE",
"Signs, flags and poles",,"30374","4158791","BRICK-YEL","LIGHT SWORD - BLADE",
"Signs, flags and poles","Orange-brown","30374","4159161","DARK NOUGAT","LIGHT SWORD - BLADE",
"Signs, flags and poles","Yellow","30374","4193511","BR.YEL","LIGHT SWORD - BLADE",
"Signs, flags and poles","Grey","30374","4210641","DK. ST. GREY","LIGHT SWORD - BLADE",
"Signs, flags and poles","Grey","30374","4211628","MED. ST-GREY","LIGHT SWORD - BLADE",
"Signs, flags and poles","Blue","30374","4261589","SAND BLUE","LIGHT SWORD - BLADE",
"Signs, flags and poles",,"30374","4262974","RED. BROWN","LIGHT SWORD - BLADE",
"Signs, flags and poles","Green","30374","4516442","PH.GREEN","LIGHT SWORD - BLADE",
"Signs, flags and poles",,"30374","4544069","TR.KL.BL.VIO","LIGHT SWORD - BLADE","£0.11"
"Signs, flags and poles",,"30374","4600267","W.GOLD","LIGHT SWORD - BLADE","£0.12"
"Signs, flags and poles","Blue","30374","4614407","TR.BLUE","LIGHT SWORD - BLADE",
"Signs, flags and poles",,"30374","4626400","TR. BR. GREEN","LIGHT SWORD - BLADE","£0.11"
"Signs, flags and poles","Red","30374","4648251","BR.RED","LIGHT SWORD - BLADE",
"Signs, flags and poles","White","30374","6009094","WHITE GLOW","LIGHT SWORD - BLADE",
"Signs, flags and poles","Yellow","30374","6035042","TR.YEL","LIGHT SWORD - BLADE",
"Signs, flags and poles",,"30374","6120914","TR.FL.REDORA","LIGHT SWORD - BLADE","£0.11"
"Signs, flags and poles","Blue","30374","6155057","TR.FL. BLUE","LIGHT SWORD - BLADE","£0.17"
"Signs, flags and poles","White","3957","395701","WHITE","WHIP/AERIAL","£0.05"
"Signs, flags and poles","Grey","3957","395702","GREY","WHIP/AERIAL",
"Signs, flags and poles","Black","3957","395726","BLACK","WHIP/AERIAL","£0.05"
"Signs, flags and poles","Blue","3957","4166140","BR.BLUE","WHIP/AERIAL","£0.06"
"Signs, flags and poles","Grey","3957","4211473","MED. ST-GREY","WHIP/AERIAL","£0.05"
"Signs, flags and poles","Purple","3957","4243569","BR.RED-VIOL.","WHIP/AERIAL",
"Signs, flags and poles",,"3957","4538252","RED. BROWN","STICK/AERIAL","£0.06"
"Signs, flags and poles",,"3957","6057451","M. LILAC","STICK/AERIAL",
"Signs, flags and poles","Blue","4495","4223720","R.BLUE","STREAMER",
"Signs, flags and poles","Red","4495","4223955","NEW DARK RED","STREAMER",
"Signs, flags and poles","Blue","4495","4223956","MD.BLUE","STREAMER",
"Signs, flags and poles","Grey","4495","4226217","DK. ST. GREY","STREAMER",
"Signs, flags and poles","Purple","4495","4243677","BR. PURPLE","STREAMER","£0.20"
"Signs, flags and poles","Red","4495","449521","BR.RED","STREAMER","£0.20"
"Signs, flags and poles","Blue","4495","449523","BR.BLUE","STREAMER",
"Signs, flags and poles","Yellow","4495","449524","BR.YEL","STREAMER",
"Signs, flags and poles",,"4495","449528","DK.GREEN","STREAMER","£0.22"
"Signs, flags and poles","Blue","4495","4504647","EARTH BLUE","STREAMER","£0.22"
"Signs, flags and poles",,"4495","4504649","W.GOLD","STREAMER","£0.20"
"Signs, flags and poles",,"4495","4520120","SAND GREEN","STREAMER",
"Signs, flags and poles","Yellow","4495","4583751","FL. YELL-ORA","STREAMER","£0.22"
"Signs, flags and poles",,"4495","4583752","EARTH GREEN","STREAMER",
"Signs, flags and poles","Black","4495","4636201","BLACK","STREAMER","£0.22"
"Signs, flags and poles","Purple","4495","6133790","BR.RED-VIOL.","STREAMER","£0.20"
"Signs, flags and poles",,"4495","6150130","BRICK-YEL","STREAMER","£0.22"
"Signs, flags and poles","Black","73587","4212005","BLACK","MINI ANTENNA BLACK/GREY",
"Signs, flags and poles",,"73587","4220740","SAND GREEN","MINI ANTENNA SAND GREEN/BLACK",
"Signs, flags and poles","Grey","73587","4221775","MED. ST-GREY","MINI ANTENNA GREY/BLACK","£0.20"
"Signs, flags and poles","Grey","73587","4226285","MED. ST-GREY","MINI ANTENNA GREY/GREY",
"Signs, flags and poles","Blue","73587","4296152","BR.BLUE","MINI ANTENNA BLUE/BLACK","£0.20"
"Signs, flags and poles","Black","73587","73587","BLACK","MINI ANTENNA ASS.BLA/BLA","£0.20"
"Signs, flags and poles","Grey","73587","73588","GREY","MINI ANTENNA ASS.GRE/BLA",
"Signs, flags and poles","Black","73587","73667","BLACK","MINI ANTENNE BLACK/GREY",
"Signs, flags and poles","White","73587","73737","WHITE","MINI ANTENNA WH/BLA.ASS","£0.20"
"Signs, flags and poles","Yellow","73587","74156","BR.YEL","MINI ANTENNA YELL./BLACK","£0.20"
"Signs, flags and poles","Red","73587","74335","BR.RED","MINI ANTENNA ASS.RED/BLA","£0.20"
