"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Tyres and rims for snap ø3,2","Black","28290","6162541","BLACK","TYRE BALLOON WIDE Ø 24x12","£0.59"
"Tyres and rims for snap ø3,2","Black","30028","3002826","BLACK","TYRE NORMAL WIDE Ø14.6 X 9",
"Tyres and rims for snap ø3,2","Grey","4624","4211506","MED. ST-GREY","RIM NARROW W. HOLE Ø8","£0.14"
"Tyres and rims for snap ø3,2","White","4624","462401","WHITE","RIM NARROW W. HOLE Ø8","£0.14"
"Tyres and rims for snap ø3,2","Grey","4624","462402","GREY","RIM NARROW W. HOLE Ø8",
"Tyres and rims for snap ø3,2","Yellow","4624","6133542","BR.YEL","RIM NARROW W. HOLE Ø8","£0.16"
"Tyres and rims for snap ø3,2",,"4624","6186394","RED. BROWN","RIM NARROW W. HOLE Ø8",
"Tyres and rims for snap ø3,2","Black","50951","4246901","BLACK","TYRE LOW NARROW Ø14.58 X 6.24","£0.19"
"Tyres and rims for snap ø3,2","Black","59895","4516843","BLACK","TYRE D8, SEBS","£0.22"
"Tyres and rims for snap ø3,2","Red","6014","4170455","BR.RED","RIM WIDE W. HOLE Ø11",
"Tyres and rims for snap ø3,2","White","6014","4170457","WHITE","RIM WIDE W. HOLE Ø11","£0.12"
"Tyres and rims for snap ø3,2","Yellow","6014","4170460","BR.YEL","RIM WIDE W. HOLE Ø11","£0.13"
"Tyres and rims for snap ø3,2","Blue","6014","4170461","MD.BLUE","RIM WIDE W. HOLE Ø11",
"Tyres and rims for snap ø3,2","Black","6014","4186598","BLACK","RIM WIDE W. HOLE Ø11",
"Tyres and rims for snap ø3,2","Grey","6014","4211764","MED. ST-GREY","RIM WIDE W. HOLE Ø11","£0.12"
"Tyres and rims for snap ø3,2","Grey","6014","4252414","DK. ST. GREY","RIM WIDE W. HOLE Ø11",
"Tyres and rims for snap ø3,2","Red","6014","4659550","BR.RED","RIM WIDE W. HOLE Ø11",
"Tyres and rims for snap ø3,2",,"6014","6074952","BR.YEL-GREEN","RIM WIDE W. HOLE Ø11",
"Tyres and rims for snap ø3,2",,"6014","6115259","BR.ORANGE","RIM WIDE W. HOLE Ø11",
"Tyres and rims for snap ø3,2",,"6014","6116548","W.GOLD","RIM WIDE W. HOLE Ø11","£0.17"
"Tyres and rims for snap ø3,2","Grey","74967","6011375","MED. ST-GREY","RIM WIDE W.HOLE Ø8.1 X 9","£0.11"
"Tyres and rims for snap ø3,2","White","74967","6011380","WHITE","RIM WIDE W.HOLE Ø8.1 X 9","£0.11"
"Tyres and rims for snap ø3,2","Black","74967","6011382","BLACK","RIM WIDE W.HOLE Ø8.1 X 9","£0.11"
"Tyres and rims for snap ø3,2",,"74967","6011385","RED. BROWN","RIM WIDE W.HOLE Ø8.1 X 9",
"Tyres and rims for snap ø3,2","Yellow","74967","6133543","BR.YEL","RIM WIDE W.HOLE Ø8.1 X 9","£0.11"
"Tyres and rims for snap ø3,2",,"74967","6143401","BR.GREEN","RIM WIDE W.HOLE Ø8.1 X 9",
"Tyres and rims for snap ø3,2","Red","74967","6156861","BR.RED","RIM WIDE W.HOLE Ø8.1 X 9","£0.12"
"Tyres and rims for snap ø3,2","Black","87414","4578677","BLACK","TYRE HIGH NARROW Ø15 X 6","£0.19"
"Tyres and rims for snap ø3,2","Black","87697","4568644","BLACK","TYRE NORMAL WIDE Ø21 X 12","£0.38"
"Tyres and rims for snap ø3,2","Black","92409","4617848","BLACK","TYRE Ø17,6 X 6,24","£0.23"
