"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Tyres and rims for/to snap ø4,85 w. cross","Black","44309","4184286","BLACK","TYRE NORMAL WIDE Ø43,2 X 22","£1.32"
"Tyres and rims for/to snap ø4,85 w. cross","Grey","55981","4299119","MED. ST-GREY","RIM WIDE 18/14 W. HOLE Ø4.8",
"Tyres and rims for/to snap ø4,85 w. cross","White","55981","4490141","WHITE","RIM WIDE 18x14 W. HOLE Ø4.8","£0.23"
"Tyres and rims for/to snap ø4,85 w. cross","Yellow","55981","4490142","BR.YEL","RIM WIDE 18x14 W. HOLE Ø4.8","£0.25"
"Tyres and rims for/to snap ø4,85 w. cross",,"55981","6028102","OLIVE GREEN","RIM WIDE 18x14 W. HOLE Ø4.8",
"Tyres and rims for/to snap ø4,85 w. cross","Black","55981","6056825","BLACK","RIM WIDE 18x14 W. HOLE Ø4.8","£0.25"
"Tyres and rims for/to snap ø4,85 w. cross","Grey","55982","4490127","MED. ST-GREY","RIM WIDE 18/14 W. CROSS Ø4.8","£0.23"
"Tyres and rims for/to snap ø4,85 w. cross","White","55982","4490128","WHITE","RIM WIDE 18x14 W. CROSS Ø4.8",
"Tyres and rims for/to snap ø4,85 w. cross","Black","55982","4517737","BLACK","RIM WIDE 18x14 W. CROSS Ø4.8","£0.22"
"Tyres and rims for/to snap ø4,85 w. cross","Red","55982","4570807","BR.RED","RIM WIDE 18x14 W. CROSS Ø4.8",
"Tyres and rims for/to snap ø4,85 w. cross","White","55982","6092256","WHITE","RIM WIDE 18x14 W. CROSS Ø4.8","£0.23"
"Tyres and rims for/to snap ø4,85 w. cross",,"55982","6132436","SILVER MET.","RIM WIDE 18x14 W. CROSS Ø4.8","£0.26"
"Tyres and rims for/to snap ø4,85 w. cross","Grey","56145","4297210","MED. ST-GREY","RIM WIDE W.CROSS 30/20","£0.53"
"Tyres and rims for/to snap ø4,85 w. cross","Black","56145","4299389","BLACK","RIM WIDE W.CROSS 30/20","£0.54"
"Tyres and rims for/to snap ø4,85 w. cross","Yellow","56145","4490139","BR.YEL","RIM WIDE W.CROSS 30x20","£0.55"
"Tyres and rims for/to snap ø4,85 w. cross",,"56145","4495219","BR.ORANGE","RIM WIDE W.CROSS 30/20",
"Tyres and rims for/to snap ø4,85 w. cross","White","56145","4496197","WHITE","RIM WIDE W.CROSS 30/20",
"Tyres and rims for/to snap ø4,85 w. cross",,"56145","4618633","RED. BROWN","RIM WIDE W.CROSS 30x20",
"Tyres and rims for/to snap ø4,85 w. cross",,"56145","4648531","W.GOLD","RIM WIDE W.CROSS 30x20","£0.66"
"Tyres and rims for/to snap ø4,85 w. cross",,"56145","6106303","SILVER MET.","RIM WIDE W.CROSS 30x20","£0.64"
"Tyres and rims for/to snap ø4,85 w. cross",,"56145","6133517","BR.YEL-GREEN","RIM WIDE W.CROSS 30x20","£0.61"
"Tyres and rims for/to snap ø4,85 w. cross","Red","56145","6143426","BR.RED","RIM WIDE W.CROSS 30x20","£0.61"
"Tyres and rims for/to snap ø4,85 w. cross","White","56145","6151728","WHITE","RIM WIDE W.CROSS 30x20","£0.60"
"Tyres and rims for/to snap ø4,85 w. cross","Black","61254","4541455","BLACK","TYRE LOW NARROW Ø24x7MM","£0.28"
"Tyres and rims for/to snap ø4,85 w. cross","Black","89201","4639695","BLACK","TYRE LOW WIDE Ø24 X 14",
"Tyres and rims for/to snap ø4,85 w. cross","Black","92402","4619323","BLACK","TYRE NORMAL WIDE Ø30,4 X 14","£0.71"
