"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Wheel base","Grey","10313","6018081","MED. ST-GREY","BEARING ELEMENT 2X2, SINGLE","£0.18"
"Wheel base","Black","10313","6092658","BLACK","BEARING ELEMENT 2X2, SINGLE","£0.18"
"Wheel base","Black","2441","244126","BLACK","CHASSIS 4X7","£0.67"
"Wheel base","Grey","2926","292602","GREY","BEARING PLATE 1X4, DOUBLE",
"Wheel base","Black","2926","292626","BLACK","BEARING PLATE 1X4, DOUBLE","£0.17"
"Wheel base","Grey","2926","4211384","MED. ST-GREY","BEARING PLATE 1X4, DOUBLE",
"Wheel base","Grey","4600","4211504","MED. ST-GREY","BEARING ELEMENT 2X2, DOUBLE","£0.18"
"Wheel base","Grey","4600","460002","GREY","BEARING ELEMENT 2X2, DOUBLE",
"Wheel base","Black","4600","460026","BLACK","BEARING ELEMENT 2X2, DOUBLE","£0.18"
"Wheel base",,"4600","6173059","M. NOUGAT","BEARING ELEMENT 2X2, DOUBLE","£0.20"
