"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Bricks, Special","Blue",2431,6102537,"AQUA","FLAT TILE 1X4","£0.14"
"Bricks, Special","Blue",2431,6102537,"AQUA","FLAT TILE 1X4","£0.14"
"Bricks, Special","Blue",2436,4616207,"AQUA","ANGLE PLATE 1X2/1X4",
"Bricks, Special","Blue",2449,6172639,"AQUA","ROOF TILE 1X2X3/74° INV.","£0.28"
"Bricks, Special","Blue",2453,6097312,"AQUA","BRICK 1X1X5",
"Bricks, Special","Blue",2454,6135112,"AQUA","BRICK 1X2X5","£0.35"
"Bricks, Special","Blue",2454,6135112,"AQUA","BRICK 1X2X5","£0.35"
"Bricks, Special","Blue",2454,6135112,"AQUA","BRICK 1X2X5","£0.35"
"Bricks, Special","Blue",2921,4616210,"AQUA","BRICK 1X1 W. HANDLE",
"Bricks, Special","Blue",3001,6146863,"AQUA","BRICK 2X4","£0.24"
"Bricks, Special","Blue",3001,6146863,"AQUA","BRICK 2X4","£0.24"
"Bricks, Special","Blue",3004,6022032,"AQUA","BRICK 1X2","£0.11"
"Bricks, Special","Blue",3004,6022032,"AQUA","BRICK 1X2","£0.11"
"Bricks, Special","Blue",3004,6022032,"AQUA","BRICK 1X2","£0.11"
"Bricks, Special","Blue",3004,6022032,"AQUA","BRICK 1X2","£0.11"
"Bricks, Special","Blue",3004,6022032,"AQUA","BRICK 1X2","£0.11"
"Bricks, Special","Blue",3004,6022032,"AQUA","BRICK 1X2","£0.11"
"Bricks, Special","Blue",3004,6022032,"AQUA","BRICK 1X2","£0.11"
"Bricks, Special","Blue",3004,6022032,"AQUA","BRICK 1X2","£0.11"
"Bricks, Special","Blue",3004,6022032,"AQUA","BRICK 1X2","£0.11"
"Bricks, Special","Blue",3004,6022032,"AQUA","BRICK 1X2","£0.11"
"Bricks, Special","Blue",3005,4630751,"AQUA","BRICK 1X1",
"Bricks, Special","Blue",3005,4630751,"AQUA","BRICK 1X1",
"Bricks, Special","Blue",3020,6138662,"AQUA","PLATE 2X4","£0.19"
"Bricks, Special","Blue",3020,6138662,"AQUA","PLATE 2X4","£0.19"
"Bricks, Special","Blue",3020,6138662,"AQUA","PLATE 2X4","£0.19"
"Bricks, Special","Blue",3021,6192108,"AQUA","PLATE 2X3","£0.17"
"Bricks, Special","Blue",3023,6146701,"AQUA","PLATE 1X2","£0.07"
"Bricks, Special","Blue",3023,6146701,"AQUA","PLATE 1X2","£0.07"
"Bricks, Special","Blue",3023,6146701,"AQUA","PLATE 1X2","£0.07"
"Bricks, Special","Blue",3023,6146701,"AQUA","PLATE 1X2","£0.07"
"Bricks, Special","Blue",3023,6146701,"AQUA","PLATE 1X2","£0.07"
"Bricks, Special","Blue",3024,6058016,"AQUA","PLATE 1X1","£0.06"
"Bricks, Special","Blue",3024,6058016,"AQUA","PLATE 1X1","£0.06"
"Bricks, Special","Blue",3032,6186659,"AQUA","PLATE 4X6",
"Bricks, Special","Blue",3039,6137765,"AQUA","ROOF TILE 2X2/45°","£0.14"
"Bricks, Special","Blue",3039,6137765,"AQUA","ROOF TILE 2X2/45°","£0.14"
"Bricks, Special","Blue",3040,6163292,"AQUA","ROOF TILE 1X2/45°","£0.11"
"Bricks, Special","Blue",3045,6137762,"AQUA","CORNER BRICK 2X2/45° OUTSIDE","£0.19"
"Bricks, Special","Blue",3045,6137762,"AQUA","CORNER BRICK 2X2/45° OUTSIDE","£0.19"
"Bricks, Special","Blue",3068,6192270,"AQUA","FLAT TILE 2X2",
"Bricks, Special","Blue",3069,6133247,"AQUA","FLAT TILE 1X2","£0.07"
"Bricks, Special","Blue",3069,6133247,"AQUA","FLAT TILE 1X2","£0.07"
"Bricks, Special","Blue",3069,6133247,"AQUA","FLAT TILE 1X2","£0.07"
"Bricks, Special","Blue",3069,6133247,"AQUA","FLAT TILE 1X2","£0.07"
"Bricks, Special","Blue",3069,6133247,"AQUA","FLAT TILE 1X2","£0.07"
"Bricks, Special","Blue",3069,6133247,"AQUA","FLAT TILE 1X2","£0.07"
"Bricks, Special","Blue",3069,6133247,"AQUA","FLAT TILE 1X2","£0.07"
"Bricks, Special","Blue",3069,6133247,"AQUA","FLAT TILE 1X2","£0.07"
"Bricks, Special","Blue",3622,6172587,"AQUA","BRICK 1X3","£0.19"
"Bricks, Special","Blue",3623,6146704,"AQUA","PLATE 1X3","£0.12"
"Bricks, Special","Blue",3666,6146702,"AQUA","PLATE 1X6","£0.23"
"Bricks, Special","Blue",3666,6146702,"AQUA","PLATE 1X6","£0.23"
"Bricks, Special","Blue",3678,4626838,"AQUA","ROOF TILE 2X2X2/65 DEG.",
"Bricks, Special","Blue",3678,4626838,"AQUA","ROOF TILE 2X2X2/65 DEG.",
"Bricks, Special","Blue",3710,6141592,"AQUA","PLATE 1X4","£0.13"
"Bricks, Special","Blue",3710,6141592,"AQUA","PLATE 1X4","£0.13"
"Bricks, Special","Blue",3794,4625231,"AQUA","PLATE 1X2 W. 1 KNOB",
"Bricks, Special","Blue",3794,4625231,"AQUA","PLATE 1X2 W. 1 KNOB",
"Bricks, Special","Blue",3795,4616648,"AQUA","PLATE 2X6",
"Bricks, Special","Blue",3795,4616648,"AQUA","PLATE 2X6",
"Bricks, Special","Blue",4286,6096941,"AQUA","ROOF TILE 1X3/25°","£0.17"
"Bricks, Special","Blue",4460,6027624,"AQUA","ROOF TILE 1X2X3/73°","£0.19"
"Bricks, Special","Blue",4460,6027624,"AQUA","ROOF TILE 1X2X3/73°","£0.19"
"Bricks, Special","Blue",4460,6027624,"AQUA","ROOF TILE 1X2X3/73°","£0.19"
"Bricks, Special","Blue",4460,6027624,"AQUA","ROOF TILE 1X2X3/73°","£0.19"
"Bricks, Special","Blue",4856,4655720,"AQUA","ROOF TILE 4X6/18° INV.",
"Bricks, Special","Blue",6143,6013704,"AQUA","BRICK Ø16 W. CROSS","£0.17"
"Bricks, Special","Blue",11153,6186686,"AQUA","BRICK WITH BOW 1X4",
"Bricks, Special","Blue",11153,6186686,"AQUA","BRICK WITH BOW 1X4",
"Bricks, Special","Blue",11267,6137761,"AQUA","SLIDE 6 MODULES HIGH","£1.37"
"Bricks, Special","Blue",11267,6137761,"AQUA","SLIDE 6 MODULES HIGH","£1.37"
"Bricks, Special","Blue",11477,6141593,"AQUA","PLATE W. BOW 1X2X2/3","£0.10"
"Bricks, Special","Blue",11477,6141593,"AQUA","PLATE W. BOW 1X2X2/3","£0.10"
"Bricks, Special","Blue",11477,6141593,"AQUA","PLATE W. BOW 1X2X2/3","£0.10"
"Bricks, Special","Blue",11477,6141593,"AQUA","PLATE W. BOW 1X2X2/3","£0.10"
"Bricks, Special","Blue",11477,6141593,"AQUA","PLATE W. BOW 1X2X2/3","£0.10"
"Bricks, Special","Blue",11640,6022169,"AQUA","ELECTRIC GUITAR SHAFT Ø3.2",
"Bricks, Special","Blue",11640,6022169,"AQUA","ELECTRIC GUITAR SHAFT Ø3.2",
"Bricks, Special","Blue",11759,6016766,"AQUA","BAG, SPORT, DEC. 3",
"Bricks, Special","Blue",11759,6016766,"AQUA","BAG, SPORT, DEC. 3",
"Bricks, Special","Blue",11759,6016766,"AQUA","BAG, SPORT, DEC. 3",
"Bricks, Special","Blue",11973,6018580,"AQUA","EL GUITAR NO.1, NO.1 DEC",
"Bricks, Special","Blue",11973,6018580,"AQUA","EL GUITAR NO.1, NO.1 DEC",
"Bricks, Special","Blue",11973,6018580,"AQUA","EL GUITAR NO.1, NO.1 DEC",
"Bricks, Special","Blue",13547,6138660,"AQUA","BRICK 1X4X1 INV. BOW","£0.18"
"Bricks, Special","Blue",13547,6138660,"AQUA","BRICK 1X4X1 INV. BOW","£0.18"
"Bricks, Special","Blue",13547,6138660,"AQUA","BRICK 1X4X1 INV. BOW","£0.18"
"Bricks, Special","Blue",14769,6096948,"AQUA","FLAT TILE 2X2, ROUND","£0.10"
"Bricks, Special","Blue",14769,6096948,"AQUA","FLAT TILE 2X2, ROUND","£0.10"
"Bricks, Special","Blue",14769,6096948,"AQUA","FLAT TILE 2X2, ROUND","£0.10"
"Bricks, Special","Blue",14769,6096948,"AQUA","FLAT TILE 2X2, ROUND","£0.10"
"Bricks, Special","Blue",14769,6096948,"AQUA","FLAT TILE 2X2, ROUND","£0.10"
"Bricks, Special","Blue",14769,6096948,"AQUA","FLAT TILE 2X2, ROUND","£0.10"
"Bricks, Special","Blue",14769,6096948,"AQUA","FLAT TILE 2X2, ROUND","£0.10"
"Bricks, Special","Blue",14769,6096948,"AQUA","FLAT TILE 2X2, ROUND","£0.10"
"Bricks, Special","Blue",14769,6096948,"AQUA","FLAT TILE 2X2, ROUND","£0.10"
