"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Bricks","Purple",2302,6005014,"BR. PURPLE","DUPLO BRICK, BOW 2X3X1","£0.71"
"Bricks","Purple",2302,6005014,"BR. PURPLE","DUPLO BRICK, BOW 2X3X1","£0.71"
"Bricks","Purple",2302,6005014,"BR. PURPLE","DUPLO BRICK, BOW 2X3X1","£0.71"
"Bricks","Purple",2302,6005014,"BR. PURPLE","DUPLO BRICK, BOW 2X3X1","£0.71"
"Bricks","Purple",2302,6005014,"BR. PURPLE","DUPLO BRICK, BOW 2X3X1","£0.71"
"Bricks","Purple",2302,6005014,"BR. PURPLE","DUPLO BRICK, BOW 2X3X1","£0.71"
"Bricks","Purple",2302,6005014,"BR. PURPLE","DUPLO BRICK, BOW 2X3X1","£0.71"
"Bricks","Purple",2302,6005014,"BR. PURPLE","DUPLO BRICK, BOW 2X3X1","£0.71"
"Bricks","Purple",2302,6005014,"BR. PURPLE","DUPLO BRICK, BOW 2X3X1","£0.71"
"Bricks","Purple",2302,6005014,"BR. PURPLE","DUPLO BRICK, BOW 2X3X1","£0.71"
"Bricks","Purple",2302,6005014,"BR. PURPLE","DUPLO BRICK, BOW 2X3X1","£0.71"
"Bricks, Special","Purple",2357,6173741,"BR. PURPLE","BRICK CORNER 1X2X2","£0.20"
"Bricks, Special","Purple",2423,6093480,"BR. PURPLE","LIMB ELEMENT, SMALL","£0.16"
"Bricks, Special","Purple",2423,6093480,"BR. PURPLE","LIMB ELEMENT, SMALL","£0.16"
"Bricks, Special","Purple",2423,6093480,"BR. PURPLE","LIMB ELEMENT, SMALL","£0.16"
"Bricks, Special","Purple",2423,6093480,"BR. PURPLE","LIMB ELEMENT, SMALL","£0.16"
"Bricks, Special","Purple",2423,6093480,"BR. PURPLE","LIMB ELEMENT, SMALL","£0.16"
"Bricks, Special","Purple",2423,6093480,"BR. PURPLE","LIMB ELEMENT, SMALL","£0.16"
"Bricks, Special","Purple",2423,6093480,"BR. PURPLE","LIMB ELEMENT, SMALL","£0.16"
"Bricks, Special","Purple",2423,6093480,"BR. PURPLE","LIMB ELEMENT, SMALL","£0.16"
"Bricks, Special","Purple",2423,6093480,"BR. PURPLE","LIMB ELEMENT, SMALL","£0.16"
"Bricks, Special","Purple",2423,6093480,"BR. PURPLE","LIMB ELEMENT, SMALL","£0.16"
"Bricks, Special","Purple",2423,6093480,"BR. PURPLE","LIMB ELEMENT, SMALL","£0.16"
"Bricks, Special","Purple",2423,6093480,"BR. PURPLE","LIMB ELEMENT, SMALL","£0.16"
"Bricks, Special","Purple",2423,6093480,"BR. PURPLE","LIMB ELEMENT, SMALL","£0.16"
"Bricks, Special","Purple",2431,6147732,"BR. PURPLE","FLAT TILE 1X4","£0.16"
"Bricks, Special","Purple",2431,6147732,"BR. PURPLE","FLAT TILE 1X4","£0.16"
"Bricks, Special","Purple",2431,6147732,"BR. PURPLE","FLAT TILE 1X4","£0.16"
"Bricks, Special","Purple",2431,6147732,"BR. PURPLE","FLAT TILE 1X4","£0.16"
"Bricks, Special","Purple",2431,6147732,"BR. PURPLE","FLAT TILE 1X4","£0.16"
"Bricks, Special","Purple",2436,4283101,"BR. PURPLE","ANGLE PLATE 1X2/1X4",
"Bricks, Special","Purple",2495,4618666,"BR. PURPLE","SACK TRUCK",
"Bricks, Special","Purple",2577,4655255,"BR. PURPLE","BRICK 4X4 ¼ CIRCLE",
"Bricks, Special","Purple",3001,4229355,"BR. PURPLE","BRICK 2X4",
"Bricks, Special","Purple",3001,4229355,"BR. PURPLE","BRICK 2X4",
"Bricks, Special","Purple",3001,4229355,"BR. PURPLE","BRICK 2X4",
"Bricks, Special","Purple",3002,4227937,"BR. PURPLE","BRICK 2X3",
"Bricks, Special","Purple",3003,4251571,"BR. PURPLE","BRICK 2X2",
"Bricks, Special","Purple",3003,4251571,"BR. PURPLE","BRICK 2X2",
"Bricks, Special","Purple",3003,4517992,"BR. PURPLE","BRICK 2X2","£0.13"
"Bricks, Special","Purple",3003,4517992,"BR. PURPLE","BRICK 2X2","£0.13"
"Bricks, Special","Purple",3003,4517992,"BR. PURPLE","BRICK 2X2","£0.13"
"Bricks, Special","Purple",3003,4517992,"BR. PURPLE","BRICK 2X2","£0.13"
"Bricks, Special","Purple",3003,4517992,"BR. PURPLE","BRICK 2X2","£0.13"
"Bricks, Special","Purple",3003,4517992,"BR. PURPLE","BRICK 2X2","£0.13"
"Bricks, Special","Purple",3003,4517992,"BR. PURPLE","BRICK 2X2","£0.13"
"Bricks, Special","Purple",3003,4517992,"BR. PURPLE","BRICK 2X2","£0.13"
"Bricks, Special","Purple",3003,4517992,"BR. PURPLE","BRICK 2X2","£0.13"
"Bricks, Special","Purple",3003,4517992,"BR. PURPLE","BRICK 2X2","£0.13"
"Bricks, Special","Purple",3003,4517992,"BR. PURPLE","BRICK 2X2","£0.13"
"Bricks, Special","Purple",3003,4517992,"BR. PURPLE","BRICK 2X2","£0.13"
"Bricks, Special","Purple",3003,4517992,"BR. PURPLE","BRICK 2X2","£0.13"
"Bricks, Special","Purple",3003,4517992,"BR. PURPLE","BRICK 2X2","£0.13"
"Bricks, Special","Purple",3003,4517992,"BR. PURPLE","BRICK 2X2","£0.13"
"Bricks, Special","Purple",3003,4517992,"BR. PURPLE","BRICK 2X2","£0.13"
"Bricks, Special","Purple",3003,4517992,"BR. PURPLE","BRICK 2X2","£0.13"
"Bricks, Special","Purple",3003,4517992,"BR. PURPLE","BRICK 2X2","£0.13"
"Bricks, Special","Purple",3003,4517992,"BR. PURPLE","BRICK 2X2","£0.13"
"Bricks, Special","Purple",3003,4517992,"BR. PURPLE","BRICK 2X2","£0.13"
"Bricks, Special","Purple",3003,4517992,"BR. PURPLE","BRICK 2X2","£0.13"
"Bricks, Special","Purple",3003,4517992,"BR. PURPLE","BRICK 2X2","£0.13"
"Bricks, Special","Purple",3003,4517992,"BR. PURPLE","BRICK 2X2","£0.13"
"Bricks, Special","Purple",3004,4621545,"BR. PURPLE","BRICK 1X2","£0.10"
"Bricks, Special","Purple",3004,4621545,"BR. PURPLE","BRICK 1X2","£0.10"
"Bricks, Special","Purple",3004,4621545,"BR. PURPLE","BRICK 1X2","£0.10"
"Bricks, Special","Purple",3004,4621545,"BR. PURPLE","BRICK 1X2","£0.10"
"Bricks, Special","Purple",3004,4621545,"BR. PURPLE","BRICK 1X2","£0.10"
"Bricks, Special","Purple",3004,4621545,"BR. PURPLE","BRICK 1X2","£0.10"
"Bricks, Special","Purple",3004,4621545,"BR. PURPLE","BRICK 1X2","£0.10"
"Bricks, Special","Purple",3004,4621545,"BR. PURPLE","BRICK 1X2","£0.10"
"Bricks, Special","Purple",3004,4621545,"BR. PURPLE","BRICK 1X2","£0.10"
"Bricks, Special","Purple",3004,4621545,"BR. PURPLE","BRICK 1X2","£0.10"
"Bricks, Special","Purple",3004,4621545,"BR. PURPLE","BRICK 1X2","£0.10"
"Bricks, Special","Purple",3004,4621545,"BR. PURPLE","BRICK 1X2","£0.10"
"Bricks, Special","Purple",3004,4621545,"BR. PURPLE","BRICK 1X2","£0.10"
"Bricks, Special","Purple",3004,4621545,"BR. PURPLE","BRICK 1X2","£0.10"
"Bricks, Special","Purple",3004,4621545,"BR. PURPLE","BRICK 1X2","£0.10"
"Bricks, Special","Purple",3004,4621545,"BR. PURPLE","BRICK 1X2","£0.10"
"Bricks, Special","Purple",3004,4621545,"BR. PURPLE","BRICK 1X2","£0.10"
"Bricks, Special","Purple",3004,4621545,"BR. PURPLE","BRICK 1X2","£0.10"
"Bricks, Special","Purple",3004,4621545,"BR. PURPLE","BRICK 1X2","£0.10"
"Bricks, Special","Purple",3004,4621545,"BR. PURPLE","BRICK 1X2","£0.10"
"Bricks, Special","Purple",3004,4621545,"BR. PURPLE","BRICK 1X2","£0.10"
"Bricks, Special","Purple",3005,4492224,"BR. PURPLE","BRICK 1X1","£0.07"
"Bricks, Special","Purple",3005,4492224,"BR. PURPLE","BRICK 1X1","£0.07"
"Bricks, Special","Purple",3005,4492224,"BR. PURPLE","BRICK 1X1","£0.07"
"Bricks, Special","Purple",3005,4492224,"BR. PURPLE","BRICK 1X1","£0.07"
"Bricks, Special","Purple",3005,4492224,"BR. PURPLE","BRICK 1X1","£0.07"
"Bricks, Special","Purple",3005,4492224,"BR. PURPLE","BRICK 1X1","£0.07"
"Bricks, Special","Purple",3005,4492224,"BR. PURPLE","BRICK 1X1","£0.07"
"Bricks, Special","Purple",3005,4492224,"BR. PURPLE","BRICK 1X1","£0.07"
"Bricks, Special","Purple",3005,4492224,"BR. PURPLE","BRICK 1X1","£0.07"
"Bricks, Special","Purple",3005,4492224,"BR. PURPLE","BRICK 1X1","£0.07"
"Bricks, Special","Purple",3010,4621542,"BR. PURPLE","BRICK 1X4","£0.19"
"Bricks, Special","Purple",3010,4621542,"BR. PURPLE","BRICK 1X4","£0.19"
