"Category","Colour Family","Design ID","Element ID","Exact Colour","Name"
"Bricks, Special","Purple",3001,4227660,"BR. RED. LILAC","BRICK 2X4"
"Bricks, Special","Purple",3001,4227660,"BR. RED. LILAC","BRICK 2X4"
"Bricks, Special","Purple",3001,4227660,"BR. RED. LILAC","BRICK 2X4"
"Bricks, Special","Purple",3003,4250056,"BR. RED. LILAC","BRICK 2X2"
"Bricks, Special","Purple",3003,4250056,"BR. RED. LILAC","BRICK 2X2"
"Bricks, Special","Purple",3004,4253807,"BR. RED. LILAC","BRICK 1X2"
"Bricks, Special","Purple",3004,4253807,"BR. RED. LILAC","BRICK 1X2"
"Bricks, Special","Purple",3004,4253807,"BR. RED. LILAC","BRICK 1X2"
"Bricks, Special","Purple",3009,4253809,"BR. RED. LILAC","BRICK 1X6"
"Bricks, Special","Purple",3010,4253808,"BR. RED. LILAC","BRICK 1X4"
"Bricks, Special","Purple",3010,4253808,"BR. RED. LILAC","BRICK 1X4"
"Bricks, Special","Purple",3010,4253808,"BR. RED. LILAC","BRICK 1X4"
"Bricks, Special","Purple",3020,4253810,"BR. RED. LILAC","PLATE 2X4"
"Bricks, Special","Purple",3020,4253810,"BR. RED. LILAC","PLATE 2X4"
"Bricks, Special","Purple",3020,4253810,"BR. RED. LILAC","PLATE 2X4"
"Bricks, Special","Purple",3022,4240151,"BR. RED. LILAC","PLATE 2X2"
"Bricks, Special","Purple",3022,4240151,"BR. RED. LILAC","PLATE 2X2"
"Bricks, Special","Purple",3022,4240151,"BR. RED. LILAC","PLATE 2X2"
"Bricks, Special","Purple",3039,4279496,"BR. RED. LILAC","ROOF TILE 2X2/45°"
"Bricks","Purple",3437,4227639,"BR. RED. LILAC","DUPLO BRICK 2X2"
"Bricks, Special","Purple",3665,4279493,"BR. RED. LILAC","ROOF TILE 1X2 INV."
"Bricks, Special","Purple",6131,4230060,"BR. RED. LILAC","MAGIC HAT"
"Bricks","Purple",47575,4271485,"BR. RED. LILAC","WOMAN W/BOBBEDHAIR NO.5-SHARON"
"Bricks","Purple",47575,4271485,"BR. RED. LILAC","WOMAN W/BOBBEDHAIR NO.5-SHARON"
"Plates","Purple",48138,4225997,"BR. RED. LILAC","STONE 2X2 (63,4 X 63,4)"
"Plates","Purple",48138,4225997,"BR. RED. LILAC","STONE 2X2 (63,4 X 63,4)"
"Plates","Purple",48138,4225997,"BR. RED. LILAC","STONE 2X2 (63,4 X 63,4)"
"Bricks, Special","Purple",50231,4226856,"BR. RED. LILAC","MANTLE FOR MINI FIGURE"
