"Category","Colour Family","Design ID","Element ID","Exact Colour","Name"
"Bricks","Blue",2302,4221626,"BR.BLUEGREEN","DUPLO BRICK, BOW 2X3X1"
"Bricks","Blue",2302,4221626,"BR.BLUEGREEN","DUPLO BRICK, BOW 2X3X1"
"Bricks, Special","Blue",3001,4143667,"BR.BLUEGREEN","BRICK 2X4"
"Bricks, Special","Blue",3001,4143667,"BR.BLUEGREEN","BRICK 2X4"
"Bricks, Special","Blue",3001,4143667,"BR.BLUEGREEN","BRICK 2X4"
"Bricks, Special","Blue",3001,4143667,"BR.BLUEGREEN","BRICK 2X4"
"Bricks, Special","Blue",3001,4143667,"BR.BLUEGREEN","BRICK 2X4"
"Bricks, Special","Blue",3001,4143667,"BR.BLUEGREEN","BRICK 2X4"
"Bricks, Special","Blue",3001,4143667,"BR.BLUEGREEN","BRICK 2X4"
"Bricks, Special","Blue",3001,4143667,"BR.BLUEGREEN","BRICK 2X4"
"Bricks, Special","Blue",3001,4143667,"BR.BLUEGREEN","BRICK 2X4"
"Bricks, Special","Blue",3003,4120399,"BR.BLUEGREEN","BRICK 2X2"
"Bricks, Special","Blue",3003,4120399,"BR.BLUEGREEN","BRICK 2X2"
"Bricks, Special","Blue",3003,4120399,"BR.BLUEGREEN","BRICK 2X2"
"Bricks, Special","Blue",3003,4120399,"BR.BLUEGREEN","BRICK 2X2"
"Bricks, Special","Blue",3003,4120399,"BR.BLUEGREEN","BRICK 2X2"
"Bricks, Special","Blue",3003,4120399,"BR.BLUEGREEN","BRICK 2X2"
"Bricks, Special","Blue",3003,4120399,"BR.BLUEGREEN","BRICK 2X2"
"Bricks, Special","Blue",3004,4121500,"BR.BLUEGREEN","BRICK 1X2"
"Bricks, Special","Blue",3004,4121500,"BR.BLUEGREEN","BRICK 1X2"
"Bricks, Special","Blue",3004,4121500,"BR.BLUEGREEN","BRICK 1X2"
"Bricks, Special","Blue",3004,4121500,"BR.BLUEGREEN","BRICK 1X2"
"Bricks, Special","Blue",3004,4121500,"BR.BLUEGREEN","BRICK 1X2"
"Bricks, Special","Blue",3004,4121500,"BR.BLUEGREEN","BRICK 1X2"
"Bricks, Special","Blue",3004,4121500,"BR.BLUEGREEN","BRICK 1X2"
"Bricks, Special","Blue",3004,4121500,"BR.BLUEGREEN","BRICK 1X2"
