"Category","Colour Family","Design ID","Element ID","Exact Colour","Name"
"Bricks","Purple",2302,4182381,"BR.BLUEVIOL","DUPLO BRICK, BOW 2X3X1"
"Bricks","Purple",2302,4182381,"BR.BLUEVIOL","DUPLO BRICK, BOW 2X3X1"
"Bricks","Purple",3011,4167178,"BR.BLUEVIOL","DUPLO BRICK 2X4"
"Bricks","Purple",3011,4167178,"BR.BLUEVIOL","DUPLO BRICK 2X4"
"Bricks","Purple",3011,4167178,"BR.BLUEVIOL","DUPLO BRICK 2X4"
"Bricks","Purple",3011,4167178,"BR.BLUEVIOL","DUPLO BRICK 2X4"
"Bricks","Purple",3437,4182481,"BR.BLUEVIOL","DUPLO BRICK 2X2"
"Bricks","Purple",3437,4182481,"BR.BLUEVIOL","DUPLO BRICK 2X2"
"Bricks","Purple",3437,4182481,"BR.BLUEVIOL","DUPLO BRICK 2X2"
"Bricks","Purple",3437,4182481,"BR.BLUEVIOL","DUPLO BRICK 2X2"
"Bricks","Purple",3437,4182481,"BR.BLUEVIOL","DUPLO BRICK 2X2"
"Bricks, Special Circles And Angles","Purple",32015,4165916,"BR.BLUEVIOL","ANGLE ELEMENT, 112,5 DEGR. [5]"
"Bricks, Special Circles And Angles","Purple",32016,4164143,"BR.BLUEVIOL","ANGLE ELEMENT, 157,5 DEGR. [3]"
"Bricks, Special Circles And Angles","Purple",32039,4164128,"BR.BLUEVIOL","CATCH W. CROSS HOLE"
"Bricks, Special Circles And Angles","Purple",32056,4164129,"BR.BLUEVIOL","TECHNIC LEVER 3X3M, 90°"
"Bricks, Special Circles And Angles","Purple",32184,4164154,"BR.BLUEVIOL","DOUBLE CROSS BLOCK"
"Bricks, Special","Purple",40241,4158317,"BR.BLUEVIOL","DOOR 4X6 W/WINDOW"
"Bricks, Special","Purple",41539,4158299,"BR.BLUEVIOL","PLATE 8X8"
