"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Bricks","Purple",2302,6019206,"BR.RED-VIOL.","DUPLO BRICK, BOW 2X3X1","£1.16"
"Bricks","Purple",2302,6019206,"BR.RED-VIOL.","DUPLO BRICK, BOW 2X3X1","£1.16"
"Bricks","Purple",2302,6019206,"BR.RED-VIOL.","DUPLO BRICK, BOW 2X3X1","£1.16"
"Bricks","Purple",2302,6019206,"BR.RED-VIOL.","DUPLO BRICK, BOW 2X3X1","£1.16"
"Bricks","Purple",2302,6019206,"BR.RED-VIOL.","DUPLO BRICK, BOW 2X3X1","£1.16"
"Bricks","Purple",2302,6019206,"BR.RED-VIOL.","DUPLO BRICK, BOW 2X3X1","£1.16"
"Bricks, Special","Purple",2340,4621181,"BR.RED-VIOL.","RUDDER 1X4X3",
"Bricks, Special","Purple",2357,6109979,"BR.RED-VIOL.","BRICK CORNER 1X2X2","£0.22"
"Bricks, Special","Purple",2397,6135358,"BR.RED-VIOL.","THILL FOR GIG","£0.62"
"Bricks, Special","Purple",2397,6135358,"BR.RED-VIOL.","THILL FOR GIG","£0.62"
"Bricks, Special","Purple",2417,6133021,"BR.RED-VIOL.","LIMB ELEMENT","£0.29"
"Bricks, Special","Purple",2417,6133021,"BR.RED-VIOL.","LIMB ELEMENT","£0.29"
"Bricks, Special","Purple",2417,6133021,"BR.RED-VIOL.","LIMB ELEMENT","£0.29"
"Bricks, Special","Purple",2417,6133021,"BR.RED-VIOL.","LIMB ELEMENT","£0.29"
"Bricks, Special","Purple",2417,6133021,"BR.RED-VIOL.","LIMB ELEMENT","£0.29"
"Bricks, Special","Purple",2417,6133021,"BR.RED-VIOL.","LIMB ELEMENT","£0.29"
"Bricks, Special","Purple",2417,6133021,"BR.RED-VIOL.","LIMB ELEMENT","£0.29"
"Bricks, Special","Purple",2417,6133021,"BR.RED-VIOL.","LIMB ELEMENT","£0.29"
"Bricks, Special","Purple",2417,6133021,"BR.RED-VIOL.","LIMB ELEMENT","£0.29"
"Bricks, Special","Purple",2417,6133021,"BR.RED-VIOL.","LIMB ELEMENT","£0.29"
"Bricks, Special","Purple",2417,6133021,"BR.RED-VIOL.","LIMB ELEMENT","£0.29"
"Bricks, Special","Purple",2420,6179916,"BR.RED-VIOL.","CORNER PLATE 1X2X2","£0.10"
"Bricks, Special","Purple",2420,6179916,"BR.RED-VIOL.","CORNER PLATE 1X2X2","£0.10"
