"Category","Colour Family","Design ID","Element ID","Exact Colour","Name"
"Bricks, Special","Orange-brown",2420,4195407,"BR.YELORA","CORNER PLATE 1X2X2"
"Bricks, Special","Orange-brown",2420,4195407,"BR.YELORA","CORNER PLATE 1X2X2"
"Bricks, Special","Orange-brown",2420,4195407,"BR.YELORA","CORNER PLATE 1X2X2"
"Bricks, Special","Orange-brown",3005,4159178,"BR.YELORA","BRICK 1X1"
"Bricks, Special","Orange-brown",3005,4159178,"BR.YELORA","BRICK 1X1"
"Bricks, Special","Orange-brown",3005,4159178,"BR.YELORA","BRICK 1X1"
"Bricks, Special","Orange-brown",3005,4159178,"BR.YELORA","BRICK 1X1"
"Bricks, Special","Orange-brown",3005,4159178,"BR.YELORA","BRICK 1X1"
"Bricks, Special","Orange-brown",3010,4167474,"BR.YELORA","BRICK 1X4"
"Bricks, Special","Orange-brown",3010,4167474,"BR.YELORA","BRICK 1X4"
"Bricks, Special","Orange-brown",3010,4167474,"BR.YELORA","BRICK 1X4"
"Bricks","Orange-brown",3011,4167175,"BR.YELORA","DUPLO BRICK 2X4"
"Bricks","Orange-brown",3011,4167175,"BR.YELORA","DUPLO BRICK 2X4"
"Bricks","Orange-brown",3011,4167175,"BR.YELORA","DUPLO BRICK 2X4"
"Bricks","Orange-brown",3011,4167175,"BR.YELORA","DUPLO BRICK 2X4"
"Bricks","Orange-brown",3011,4167175,"BR.YELORA","DUPLO BRICK 2X4"
"Bricks","Orange-brown",3011,4167175,"BR.YELORA","DUPLO BRICK 2X4"
"Bricks","Orange-brown",3011,4167175,"BR.YELORA","DUPLO BRICK 2X4"
"Bricks","Orange-brown",3011,4167175,"BR.YELORA","DUPLO BRICK 2X4"
"Bricks","Orange-brown",3011,4167175,"BR.YELORA","DUPLO BRICK 2X4"
"Bricks, Special","Orange-brown",3020,4158360,"BR.YELORA","PLATE 2X4"
"Bricks, Special","Orange-brown",3020,4158360,"BR.YELORA","PLATE 2X4"
"Bricks, Special","Orange-brown",3020,4158360,"BR.YELORA","PLATE 2X4"
"Bricks, Special","Orange-brown",3020,4158360,"BR.YELORA","PLATE 2X4"
"Bricks, Special","Orange-brown",3020,4158360,"BR.YELORA","PLATE 2X4"
"Bricks, Special","Orange-brown",3020,4158360,"BR.YELORA","PLATE 2X4"
"Bricks, Special","Orange-brown",3020,4158360,"BR.YELORA","PLATE 2X4"
"Bricks, Special","Orange-brown",3021,4195477,"BR.YELORA","PLATE 2X3"
"Bricks, Special","Orange-brown",3021,4195477,"BR.YELORA","PLATE 2X3"
"Bricks, Special","Orange-brown",3021,4195477,"BR.YELORA","PLATE 2X3"
"Bricks, Special","Orange-brown",3021,4195477,"BR.YELORA","PLATE 2X3"
"Bricks, Special","Orange-brown",3024,4184022,"BR.YELORA","PLATE 1X1"
"Bricks, Special","Orange-brown",3024,4184022,"BR.YELORA","PLATE 1X1"
"Bricks","Orange-brown",3437,4168543,"BR.YELORA","DUPLO BRICK 2X2"
"Bricks","Orange-brown",3437,4168543,"BR.YELORA","DUPLO BRICK 2X2"
"Bricks","Orange-brown",3437,4168543,"BR.YELORA","DUPLO BRICK 2X2"
"Bricks","Orange-brown",3437,4168543,"BR.YELORA","DUPLO BRICK 2X2"
"Bricks","Orange-brown",3437,4168543,"BR.YELORA","DUPLO BRICK 2X2"
"Bricks","Orange-brown",3437,4168543,"BR.YELORA","DUPLO BRICK 2X2"
"Bricks","Orange-brown",3437,4168543,"BR.YELORA","DUPLO BRICK 2X2"
"Bricks","Orange-brown",3437,4168543,"BR.YELORA","DUPLO BRICK 2X2"
"Bricks","Orange-brown",3437,4168543,"BR.YELORA","DUPLO BRICK 2X2"
"Bricks","Orange-brown",3437,4168543,"BR.YELORA","DUPLO BRICK 2X2"
"Bricks","Orange-brown",3437,4168543,"BR.YELORA","DUPLO BRICK 2X2"
"Bricks","Orange-brown",3437,4168543,"BR.YELORA","DUPLO BRICK 2X2"
