"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Bricks","",2300,4265300,"BRICK-YEL","DUPLO BRICK 2X6",
"Bricks","",2300,4584376,"BRICK-YEL","DUPLO BRICK 2X6",
"Bricks","",2300,4584376,"BRICK-YEL","DUPLO BRICK 2X6",
"Bricks","",2332,4264282,"BRICK-YEL","DUPLO DOOR-/WINDOWELEM. 2X4X3",
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","",2357,4124455,"BRICK-YEL","BRICK CORNER 1X2X2","£0.12"
