"Category","Colour Family","Design ID","Element ID","Exact Colour","Name"
"Bricks, Special Circles And Angles","",22976,4275332,"C.SILVER","CORRUGATED PIPE 56MM, (SILVER"
"Bricks, Special Circles And Angles","",23001,4275333,"C.SILVER","CORRUGATED PIPE 24MM, SILVER"
"Bricks, Special Circles And Angles","",23002,4275379,"C.SILVER","CORRUGATED PIPE 72MM, (SILVER"
"Bricks, Special Circles And Angles","",23002,4275379,"C.SILVER","CORRUGATED PIPE 72MM, (SILVER"
"Bricks, Special Circles And Angles","",23002,4275379,"C.SILVER","CORRUGATED PIPE 72MM, (SILVER"
"Bricks, Special Circles And Angles","",23003,4275380,"C.SILVER","CORRUGATED PIPE 88MM, (SILVERM"
"Bricks, Special Circles And Angles","",23003,4275380,"C.SILVER","CORRUGATED PIPE 88MM, (SILVERM"
"Bricks, Special Circles And Angles","",23003,4275380,"C.SILVER","CORRUGATED PIPE 88MM, (SILVERM"
"Bricks, Special Circles And Angles","",23039,4275383,"C.SILVER","CORRUGATED PIPE 64MM, SILVER"
"Bricks, Special Circles And Angles","",23117,4275384,"C.SILVER","CORRUGATED PIPE 16MM, SILVER"
"Bricks, Special Circles And Angles","",23117,4275384,"C.SILVER","CORRUGATED PIPE 16MM, SILVER"
"Bricks, Special Circles And Angles","",23395,4275386,"C.SILVER","CORRUGATED PIPE 104MM,  SILVER"
"Bricks, Special Circles And Angles","",32580,4287618,"C.SILVER","FLEX ROD 7M"
"Bricks, Special Circles And Angles","",40050,4275388,"C.SILVER","CORRUGATED PIPE 48MM, SILVER"
"Bricks, Special Circles And Angles","",41669,4284480,"C.SILVER","BION. EYE"
"Bricks, Special Circles And Angles","",44068,4275395,"C.SILVER","CORRAGATED PIPE SILVER 80 MM"
"Bricks, Special Circles And Angles","",44068,4275395,"C.SILVER","CORRAGATED PIPE SILVER 80 MM"
"Bricks, Special Circles And Angles","",44068,4275395,"C.SILVER","CORRAGATED PIPE SILVER 80 MM"
"Bricks, Special Circles And Angles","",46306,4275396,"C.SILVER","GROOVE TUBE 120MM (SILV.MET.)"
"Bricks, Special Circles And Angles","",46306,4275396,"C.SILVER","GROOVE TUBE 120MM (SILV.MET.)"
"Bricks, Special Circles And Angles","",46306,4275396,"C.SILVER","GROOVE TUBE 120MM (SILV.MET.)"
"Bricks, Special Circles And Angles","",46306,4275396,"C.SILVER","GROOVE TUBE 120MM (SILV.MET.)"
