"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Bricks, Special","Yellow",2449,6022081,"COOL YEL.","ROOF TILE 1X2X3/74° INV.",
"Bricks, Special","Yellow",2453,6036239,"COOL YEL.","BRICK 1X1X5",
"Bricks, Special","Yellow",2453,6036239,"COOL YEL.","BRICK 1X1X5",
"Bricks, Special","Yellow",2453,6036239,"COOL YEL.","BRICK 1X1X5",
"Bricks, Special","Yellow",2454,6036236,"COOL YEL.","BRICK 1X2X5","£0.35"
"Bricks, Special","Yellow",2454,6036236,"COOL YEL.","BRICK 1X2X5","£0.35"
"Bricks, Special","Yellow",2454,6036236,"COOL YEL.","BRICK 1X2X5","£0.35"
"Bricks, Special","Yellow",2454,6036236,"COOL YEL.","BRICK 1X2X5","£0.35"
"Bricks, Special","Yellow",2454,6036236,"COOL YEL.","BRICK 1X2X5","£0.35"
"Bricks, Special","Yellow",2714,6153180,"COOL YEL.","TECHNIC STICK","£0.29"
"Bricks, Special","Yellow",3004,6022083,"COOL YEL.","BRICK 1X2","£0.11"
"Bricks, Special","Yellow",3004,6022083,"COOL YEL.","BRICK 1X2","£0.11"
"Bricks, Special","Yellow",3004,6022083,"COOL YEL.","BRICK 1X2","£0.11"
"Bricks, Special","Yellow",3004,6022083,"COOL YEL.","BRICK 1X2","£0.11"
"Bricks, Special","Yellow",3004,6022083,"COOL YEL.","BRICK 1X2","£0.11"
"Bricks, Special","Yellow",3004,6022083,"COOL YEL.","BRICK 1X2","£0.11"
"Bricks, Special","Yellow",3004,6022083,"COOL YEL.","BRICK 1X2","£0.11"
"Bricks, Special","Yellow",3004,6022083,"COOL YEL.","BRICK 1X2","£0.11"
"Bricks, Special","Yellow",3004,6022083,"COOL YEL.","BRICK 1X2","£0.11"
"Bricks, Special","Yellow",3004,6022083,"COOL YEL.","BRICK 1X2","£0.11"
"Bricks, Special","Yellow",3004,6022083,"COOL YEL.","BRICK 1X2","£0.11"
"Bricks, Special","Yellow",3004,6022083,"COOL YEL.","BRICK 1X2","£0.11"
"Bricks, Special","Yellow",3004,6022083,"COOL YEL.","BRICK 1X2","£0.11"
"Bricks, Special","Yellow",3004,6022083,"COOL YEL.","BRICK 1X2","£0.11"
"Bricks, Special","Yellow",3004,6022083,"COOL YEL.","BRICK 1X2","£0.11"
