"Category","Colour Family","Design ID","Element ID","Exact Colour","Name"
"Bricks, Special","Orange-brown",53984,4291056,"COPPER","BAD GUY LEG"
"Bricks, Special","Orange-brown",53984,4291056,"COPPER","BAD GUY LEG"
"Bricks, Special","Orange-brown",53984,4291056,"COPPER","BAD GUY LEG"
"Bricks, Special","Orange-brown",53984,4291056,"COPPER","BAD GUY LEG"
"Bricks, Special","Orange-brown",53984,4291056,"COPPER","BAD GUY LEG"
"Bricks, Special","Orange-brown",53984,4291056,"COPPER","BAD GUY LEG"
"Bricks, Special","Orange-brown",53984,4291056,"COPPER","BAD GUY LEG"
"Bricks, Special","Orange-brown",53984,4291056,"COPPER","BAD GUY LEG"
"Bricks, Special","Orange-brown",53988,4291057,"COPPER","BAD ROBOT WITHOUT ARMS"
"Bricks, Special","Orange-brown",53988,4291057,"COPPER","BAD ROBOT WITHOUT ARMS"
"Bricks, Special","Orange-brown",53988,4291057,"COPPER","BAD ROBOT WITHOUT ARMS"
"Bricks, Special","Orange-brown",53988,4291057,"COPPER","BAD ROBOT WITHOUT ARMS"
"Bricks, Special","Orange-brown",53988,4291057,"COPPER","BAD ROBOT WITHOUT ARMS"
"Bricks, Special","Orange-brown",53988,4291057,"COPPER","BAD ROBOT WITHOUT ARMS"
"Bricks, Special","Orange-brown",53988,4291057,"COPPER","BAD ROBOT WITHOUT ARMS"
"Bricks, Special","Orange-brown",53988,4291057,"COPPER","BAD ROBOT WITHOUT ARMS"
"Bricks, Special","Orange-brown",53989,4291054,"COPPER","BAD ROBOT ARM"
"Bricks, Special","Orange-brown",53989,4291054,"COPPER","BAD ROBOT ARM"
"Bricks, Special","Orange-brown",53989,4291054,"COPPER","BAD ROBOT ARM"
"Bricks, Special","Orange-brown",53989,4291054,"COPPER","BAD ROBOT ARM"
"Bricks, Special","Orange-brown",53989,4291054,"COPPER","BAD ROBOT ARM"
"Bricks, Special","Orange-brown",53989,4291054,"COPPER","BAD ROBOT ARM"
"Bricks, Special","Orange-brown",53989,4291054,"COPPER","BAD ROBOT ARM"
"Bricks, Special","Orange-brown",53989,4291054,"COPPER","BAD ROBOT ARM"
"Bricks, Special","Orange-brown",60752,4516991,"COPPER","WEAPON, WARRIOR"
"Bricks, Special","Orange-brown",60752,4516991,"COPPER","WEAPON, WARRIOR"
"Bricks, Special","Orange-brown",60752,4516991,"COPPER","WEAPON, WARRIOR"
"Bricks, Special","Orange-brown",60752,4516991,"COPPER","WEAPON, WARRIOR"
"Bricks, Special","Orange-brown",60752,4516991,"COPPER","WEAPON, WARRIOR"
