"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Bricks","Blue",2302,6167686,"DARK AZUR","DUPLO BRICK, BOW 2X3X1",
"Bricks, Special","Blue",2412,6152109,"DARK AZUR","RADIATOR GRILLE 1X2","£0.07"
"Bricks, Special","Blue",2412,6152109,"DARK AZUR","RADIATOR GRILLE 1X2","£0.07"
"Bricks, Special","Blue",2412,6152109,"DARK AZUR","RADIATOR GRILLE 1X2","£0.07"
"Bricks, Special","Blue",2654,6144148,"DARK AZUR","SLIDE SHOE ROUND 2X2","£0.11"
"Bricks, Special","Blue",3001,4655172,"DARK AZUR","BRICK 2X4","£0.24"
"Bricks, Special","Blue",3001,4655172,"DARK AZUR","BRICK 2X4","£0.24"
"Bricks, Special","Blue",3001,4655172,"DARK AZUR","BRICK 2X4","£0.24"
"Bricks, Special","Blue",3001,4655172,"DARK AZUR","BRICK 2X4","£0.24"
"Bricks, Special","Blue",3001,4655172,"DARK AZUR","BRICK 2X4","£0.24"
"Bricks, Special","Blue",3001,4655172,"DARK AZUR","BRICK 2X4","£0.24"
"Bricks, Special","Blue",3001,4655172,"DARK AZUR","BRICK 2X4","£0.24"
"Bricks, Special","Blue",3001,4655172,"DARK AZUR","BRICK 2X4","£0.24"
"Bricks, Special","Blue",3001,4655172,"DARK AZUR","BRICK 2X4","£0.24"
"Bricks, Special","Blue",3001,4655172,"DARK AZUR","BRICK 2X4","£0.24"
"Bricks, Special","Blue",3001,4655172,"DARK AZUR","BRICK 2X4","£0.24"
"Bricks, Special","Blue",3004,6004943,"DARK AZUR","BRICK 1X2",
"Bricks, Special","Blue",3004,6004943,"DARK AZUR","BRICK 1X2",
"Bricks, Special","Blue",3004,6004943,"DARK AZUR","BRICK 1X2",
"Bricks, Special","Blue",3004,6004943,"DARK AZUR","BRICK 1X2",
"Bricks, Special","Blue",3004,6004943,"DARK AZUR","BRICK 1X2",
"Bricks, Special","Blue",3004,6004943,"DARK AZUR","BRICK 1X2",
"Bricks, Special","Blue",3004,6004943,"DARK AZUR","BRICK 1X2",
"Bricks, Special","Blue",3004,6004943,"DARK AZUR","BRICK 1X2",
"Bricks, Special","Blue",3004,6004943,"DARK AZUR","BRICK 1X2",
"Bricks, Special","Blue",3004,6004943,"DARK AZUR","BRICK 1X2",
"Bricks, Special","Blue",3004,6004943,"DARK AZUR","BRICK 1X2",
"Bricks, Special","Blue",3004,6004943,"DARK AZUR","BRICK 1X2",
"Bricks, Special","Blue",3004,6004943,"DARK AZUR","BRICK 1X2",
"Bricks, Special","Blue",3004,6004943,"DARK AZUR","BRICK 1X2",
"Bricks, Special","Blue",3004,6004943,"DARK AZUR","BRICK 1X2",
"Bricks, Special","Blue",3004,6004943,"DARK AZUR","BRICK 1X2",
"Bricks, Special","Blue",3004,6004943,"DARK AZUR","BRICK 1X2",
"Bricks, Special","Blue",3004,6004943,"DARK AZUR","BRICK 1X2",
"Bricks, Special","Blue",3004,6004943,"DARK AZUR","BRICK 1X2",
"Bricks, Special","Blue",3004,6004943,"DARK AZUR","BRICK 1X2",
"Bricks, Special","Blue",3004,6004943,"DARK AZUR","BRICK 1X2",
"Bricks, Special","Blue",3004,6004943,"DARK AZUR","BRICK 1X2",
"Bricks, Special","Blue",3004,6004943,"DARK AZUR","BRICK 1X2",
"Bricks, Special","Blue",3004,6004943,"DARK AZUR","BRICK 1X2",
"Bricks, Special","Blue",3009,4641356,"DARK AZUR","BRICK 1X6",
"Bricks","Blue",3011,6056303,"DARK AZUR","DUPLO BRICK 2X4","£1.06"
"Bricks","Blue",3011,6056303,"DARK AZUR","DUPLO BRICK 2X4","£1.06"
"Bricks","Blue",3011,6056303,"DARK AZUR","DUPLO BRICK 2X4","£1.06"
"Bricks","Blue",3011,6056303,"DARK AZUR","DUPLO BRICK 2X4","£1.06"
"Bricks","Blue",3011,6056303,"DARK AZUR","DUPLO BRICK 2X4","£1.06"
"Bricks, Special","Blue",3021,6144149,"DARK AZUR","PLATE 2X3","£0.13"
"Bricks, Special","Blue",3021,6144149,"DARK AZUR","PLATE 2X3","£0.13"
"Bricks, Special","Blue",3023,4653988,"DARK AZUR","PLATE 1X2","£0.06"
"Bricks, Special","Blue",3023,4653988,"DARK AZUR","PLATE 1X2","£0.06"
"Bricks, Special","Blue",3023,4653988,"DARK AZUR","PLATE 1X2","£0.06"
"Bricks, Special","Blue",3023,4653988,"DARK AZUR","PLATE 1X2","£0.06"
"Bricks, Special","Blue",3023,4653988,"DARK AZUR","PLATE 1X2","£0.06"
"Bricks, Special","Blue",3023,4653988,"DARK AZUR","PLATE 1X2","£0.06"
"Bricks, Special","Blue",3023,4653988,"DARK AZUR","PLATE 1X2","£0.06"
"Bricks, Special","Blue",3023,4653988,"DARK AZUR","PLATE 1X2","£0.06"
"Bricks, Special","Blue",3023,4653988,"DARK AZUR","PLATE 1X2","£0.06"
"Bricks, Special","Blue",3023,4653988,"DARK AZUR","PLATE 1X2","£0.06"
"Bricks, Special","Blue",3023,4653988,"DARK AZUR","PLATE 1X2","£0.06"
"Bricks, Special","Blue",3023,4653988,"DARK AZUR","PLATE 1X2","£0.06"
"Bricks, Special","Blue",3023,4653988,"DARK AZUR","PLATE 1X2","£0.06"
"Bricks, Special","Blue",3023,4653988,"DARK AZUR","PLATE 1X2","£0.06"
