"Category","Colour Family","Design ID","Element ID","Exact Colour","Name"
"Bricks, Special","Blue",2431,4216356,"DO. BLUE","FLAT TILE 1X4"
"Bricks, Special","Blue",2445,4493562,"DO. BLUE","PLATE 2X12"
"Bricks, Special","Blue",3020,4216486,"DO. BLUE","PLATE 2X4"
"Bricks, Special","Blue",3020,4216486,"DO. BLUE","PLATE 2X4"
"Bricks, Special","Blue",3023,4493568,"DO. BLUE","PLATE 1X2"
"Bricks, Special","Blue",3031,4243835,"DO. BLUE","PLATE 4X4"
"Bricks, Special","Blue",3034,4493571,"DO. BLUE","PLATE 2X8"
"Bricks, Special","Blue",3069,4216360,"DO. BLUE","FLAT TILE 1X2"
"Bricks, Special","Blue",3460,4493570,"DO. BLUE","PLATE 1X8"
"Bricks, Special","Blue",3710,4216362,"DO. BLUE","PLATE 1X4"
"Bricks, Special","Blue",6183,4493564,"DO. BLUE","ARCH 1X6X2"
"Bricks, Special Ø4.85 Hole And Connecting Bush","Blue",45462,4200248,"DO. BLUE","ICON: STAR, LARGE"
"Bricks, Special Ø4.85 Hole And Connecting Bush","Blue",45462,4200248,"DO. BLUE","ICON: STAR, LARGE"
"Bricks, Special Ø4.85 Hole And Connecting Bush","Blue",45462,4200248,"DO. BLUE","ICON: STAR, LARGE"
"Bricks, Special Ø4.85 Hole And Connecting Bush","Blue",45463,4201070,"DO. BLUE","ICON: STAR, SMALL"
"Bricks, Special","Blue",50303,4493563,"DO. BLUE","STEM PLATE 7X6 W/COR."
