"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Bricks","Yellow",2291,4225572,"FL. YELL-ORA","DUPLO BRICK 2X10",
"Bricks","Yellow",2291,4225572,"FL. YELL-ORA","DUPLO BRICK 2X10",
"Bricks","Yellow",2291,4225572,"FL. YELL-ORA","DUPLO BRICK 2X10",
"Bricks","Yellow",2291,4225572,"FL. YELL-ORA","DUPLO BRICK 2X10",
"Bricks","Yellow",2291,4225572,"FL. YELL-ORA","DUPLO BRICK 2X10",
"Bricks","Yellow",2291,4225572,"FL. YELL-ORA","DUPLO BRICK 2X10",
"Bricks","Yellow",2300,4541727,"FL. YELL-ORA","DUPLO BRICK 2X6",
"Bricks","Yellow",2301,4224082,"FL. YELL-ORA","DUPLO BRICK, BOW 2X3X2",
"Bricks","Yellow",2302,6055103,"FL. YELL-ORA","DUPLO BRICK, BOW 2X3X1","£0.86"
"Bricks","Yellow",2302,6055103,"FL. YELL-ORA","DUPLO BRICK, BOW 2X3X1","£0.86"
"Bricks","Yellow",2302,6055103,"FL. YELL-ORA","DUPLO BRICK, BOW 2X3X1","£0.86"
"Bricks","Yellow",2302,6055103,"FL. YELL-ORA","DUPLO BRICK, BOW 2X3X1","£0.86"
"Bricks","Yellow",2302,6055103,"FL. YELL-ORA","DUPLO BRICK, BOW 2X3X1","£0.86"
"Bricks","Yellow",2302,6055103,"FL. YELL-ORA","DUPLO BRICK, BOW 2X3X1","£0.86"
"Bricks","Yellow",2302,6055103,"FL. YELL-ORA","DUPLO BRICK, BOW 2X3X1","£0.86"
"Bricks","Yellow",2302,6055103,"FL. YELL-ORA","DUPLO BRICK, BOW 2X3X1","£0.86"
"Bricks","Yellow",2302,6055103,"FL. YELL-ORA","DUPLO BRICK, BOW 2X3X1","£0.86"
"Bricks, Special","Yellow",2340,6134636,"FL. YELL-ORA","RUDDER 1X4X3","£0.60"
