"Category","Colour Family","Design ID","Element ID","Exact Colour","Name"
"Bricks, Special","Blue",3005,4163591,"L.BLUE-GREEN","BRICK 1X1"
"Bricks, Special","Blue",3005,4163591,"L.BLUE-GREEN","BRICK 1X1"
"Bricks, Special","Blue",3005,4163591,"L.BLUE-GREEN","BRICK 1X1"
"Bricks, Special","Blue",3005,4163591,"L.BLUE-GREEN","BRICK 1X1"
"Bricks, Special","Blue",3005,4163591,"L.BLUE-GREEN","BRICK 1X1"
"Bricks, Special","Blue",3005,4163591,"L.BLUE-GREEN","BRICK 1X1"
"Bricks, Special","Blue",3010,4209744,"L.BLUE-GREEN","BRICK 1X4"
"Bricks, Special","Blue",3020,4217044,"L.BLUE-GREEN","PLATE 2X4"
"Bricks, Special","Blue",6182,4243775,"L.BLUE-GREEN","ARCH 1X4X2"
"Bricks, Special","Blue",30383,4144574,"L.BLUE-GREEN","PLATE 1X2 W/STUB/ALONG/UPPER P"
"Bricks, Special","Blue",41539,4216455,"L.BLUE-GREEN","PLATE 8X8"
"Bricks, Special Ø4.85 Hole And Connecting Bush","Blue",45462,4197675,"L.BLUE-GREEN","ICON: STAR, LARGE"
"Bricks, Special Ø4.85 Hole And Connecting Bush","Blue",45462,4197675,"L.BLUE-GREEN","ICON: STAR, LARGE"
"Bricks, Special Ø4.85 Hole And Connecting Bush","Blue",45463,4197679,"L.BLUE-GREEN","ICON: STAR, SMALL"
"Bricks, Special Ø4.85 Hole And Connecting Bush","Blue",45463,4197679,"L.BLUE-GREEN","ICON: STAR, SMALL"
