"Category","Colour Family","Design ID","Element ID","Exact Colour","Name"
"Bricks, Special","Blue",30077,4165834,"L.BLUE","FENCE 1X6X2"
"Bricks, Special","Blue",30077,4165834,"L.BLUE","FENCE 1X6X2"
"Bricks, Special","Blue",30145,4163697,"L.BLUE","BRICK 2X2X3"
"Bricks, Special","Blue",30145,4163697,"L.BLUE","BRICK 2X2X3"
"Bricks, Special","Blue",30145,4163697,"L.BLUE","BRICK 2X2X3"
"Bricks, Special","Blue",30145,4163697,"L.BLUE","BRICK 2X2X3"
"Bricks, Special","Blue",30145,4163697,"L.BLUE","BRICK 2X2X3"
"Bricks, Special","Blue",33243,4163661,"L.BLUE","BOW BRICK 1X3X2"
"Bricks, Special","Blue",33243,4163661,"L.BLUE","BOW BRICK 1X3X2"
"Bricks, Special","Blue",33243,4163661,"L.BLUE","BOW BRICK 1X3X2"
