"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Bricks, Special","Purple",10343,6003622,"L.NOUGAT","MINI HEAD ""NO. 967""",
"Bricks, Special","Purple",11408,6049716,"L.NOUGAT","TORSO, BOY W/ARM 1, ASS",
"Bricks, Special","Purple",11408,6049716,"L.NOUGAT","TORSO, BOY W/ARM 1, ASS",
"Bricks, Special","Purple",11408,6077902,"L.NOUGAT","TORSO, BOY W/ARM 1, ASS ""7""",
"Bricks, Special","Purple",11408,6077902,"L.NOUGAT","TORSO, BOY W/ARM 1, ASS ""7""",
"Bricks, Special","Purple",11408,6077902,"L.NOUGAT","TORSO, BOY W/ARM 1, ASS ""7""",
"Bricks, Special","Purple",11408,6101316,"L.NOUGAT","TORSO, BOY W/ARM 1, ASS 8",
"Bricks, Special","Purple",11408,6101316,"L.NOUGAT","TORSO, BOY W/ARM 1, ASS 8",
"Bricks, Special","Purple",11408,6101316,"L.NOUGAT","TORSO, BOY W/ARM 1, ASS 8",
"Bricks, Special","Purple",11408,6102978,"L.NOUGAT","TORSO, BOY W/ARM 1, ASS 9",
"Bricks, Special","Purple",11408,6102978,"L.NOUGAT","TORSO, BOY W/ARM 1, ASS 9",
"Bricks, Special","Purple",11408,6103362,"L.NOUGAT","TORSO, BOY W/ARM 1, ASS 10",
"Bricks, Special","Purple",11408,6115453,"L.NOUGAT","TORSO, BOY W/ARM 1, ASS 30",
"Bricks, Special","Purple",11408,6115474,"L.NOUGAT","TORSO, BOY W/ARM 1, ASS 12","£2.57"
"Bricks, Special","Purple",11408,6136792,"L.NOUGAT","TORSO, BOY W/ARM NO. 13",
"Bricks, Special","Purple",11408,6136792,"L.NOUGAT","TORSO, BOY W/ARM NO. 13",
"Bricks, Special","Purple",11408,6137905,"L.NOUGAT","TORSO, BOY W/ARM 1, NO. 15","£2.52"
"Bricks, Special","Purple",11408,6176740,"L.NOUGAT","TORSO, BOY, NO.100","£1.90"
"Bricks, Special","Purple",11408,6178372,"L.NOUGAT","TORSO, BOY, W/ ARM, NO. 102","£2.06"
"Bricks, Special","Purple",11408,6190369,"L.NOUGAT","TORSO, BOY, W/ ARM, NO. 105",
"Bricks, Special","Purple",11408,6194523,"L.NOUGAT","TORSO, BOY W/ ARM 1, NO. 106",
"Bricks, Special","Purple",11812,6017021,"L.NOUGAT","HEAD, FEMALE 1, DEC. 2","£2.54"
"Bricks, Special","Purple",11812,6017021,"L.NOUGAT","HEAD, FEMALE 1, DEC. 2","£2.54"
"Bricks, Special","Purple",11812,6017021,"L.NOUGAT","HEAD, FEMALE 1, DEC. 2","£2.54"
"Bricks, Special","Purple",11812,6017021,"L.NOUGAT","HEAD, FEMALE 1, DEC. 2","£2.54"
