"Category","Colour Family","Design ID","Element ID","Exact Colour","Name"
"Bricks","Yellow",2300,4157592,"L.YEL","DUPLO BRICK 2X6"
"Bricks","Yellow",2300,4157592,"L.YEL","DUPLO BRICK 2X6"
"Bricks","Yellow",2300,4157592,"L.YEL","DUPLO BRICK 2X6"
"Bricks, Special","Yellow",3004,4173052,"L.YEL","BRICK 1X2"
"Bricks, Special","Yellow",3004,4173052,"L.YEL","BRICK 1X2"
"Bricks, Special","Yellow",3007,4195170,"L.YEL","BRICK 2X8"
"Bricks, Special","Yellow",3007,4195170,"L.YEL","BRICK 2X8"
"Bricks","Yellow",3011,4157593,"L.YEL","DUPLO BRICK 2X4"
"Bricks","Yellow",3011,4157593,"L.YEL","DUPLO BRICK 2X4"
"Bricks","Yellow",3011,4157593,"L.YEL","DUPLO BRICK 2X4"
"Bricks","Yellow",3011,4157593,"L.YEL","DUPLO BRICK 2X4"
"Bricks","Yellow",3437,4157594,"L.YEL","DUPLO BRICK 2X2"
"Bricks","Yellow",3437,4157594,"L.YEL","DUPLO BRICK 2X2"
"Bricks","Yellow",3437,4157594,"L.YEL","DUPLO BRICK 2X2"
"Bricks","Yellow",3437,4157594,"L.YEL","DUPLO BRICK 2X2"
"Bricks","Yellow",3437,4157594,"L.YEL","DUPLO BRICK 2X2"
"Bricks","Yellow",3437,4157594,"L.YEL","DUPLO BRICK 2X2"
"Bricks, Special","Yellow",3659,4129862,"L.YEL","BRICK W. BOW 1X4"
"Bricks","Yellow",6360,4157609,"L.YEL","DUPLO DOOR ELEMENT 4X4X5"
"Bricks","Yellow",6360,4157609,"L.YEL","DUPLO DOOR ELEMENT 4X4X5"
"Bricks, Special","Yellow",30056,4119525,"L.YEL","FENCE 4X4X2"
"Bricks, Special","Yellow",30134,4119526,"L.YEL","STAIRCASE 7X4X6"
"Bricks, Special","Yellow",30134,4119526,"L.YEL","STAIRCASE 7X4X6"
"Bricks, Special","Yellow",30134,4119526,"L.YEL","STAIRCASE 7X4X6"
"Bricks","Yellow",31110,4157795,"L.YEL","DUPLO BRICK 2X2X2"
"Bricks","Yellow",31111,4157281,"L.YEL","DUPLO BRICK 2X4X2"
"Bricks","Yellow",31111,4157281,"L.YEL","DUPLO BRICK 2X4X2"
"Bricks, Special","Yellow",42022,4169354,"L.YEL","BRICK 1X6 W/BOW"
"Bricks, Special","Yellow",42022,4169354,"L.YEL","BRICK 1X6 W/BOW"
"Bricks, Special","Yellow",44237,4181145,"L.YEL","BRICK 2X6"
"Bricks, Special","Yellow",44237,4181145,"L.YEL","BRICK 2X6"
"Bricks, Special","Yellow",44237,4181145,"L.YEL","BRICK 2X6"
"Bricks, Special","Yellow",44237,4181145,"L.YEL","BRICK 2X6"
"Bricks, Special","Yellow",44237,4181145,"L.YEL","BRICK 2X6"
