"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Bricks, Special","Blue",3001,4216917,"LGH. ROY. BLUE","BRICK 2X4",
"Bricks, Special","Blue",3001,4216917,"LGH. ROY. BLUE","BRICK 2X4",
"Bricks, Special","Blue",3004,6100322,"LGH. ROY. BLUE","BRICK 1X2","£0.10"
"Bricks, Special","Blue",3004,6100322,"LGH. ROY. BLUE","BRICK 1X2","£0.10"
"Bricks, Special","Blue",3004,6100322,"LGH. ROY. BLUE","BRICK 1X2","£0.10"
"Bricks, Special","Blue",3004,6100322,"LGH. ROY. BLUE","BRICK 1X2","£0.10"
"Bricks, Special","Blue",3004,6100322,"LGH. ROY. BLUE","BRICK 1X2","£0.10"
"Bricks, Special","Blue",3004,6100322,"LGH. ROY. BLUE","BRICK 1X2","£0.10"
"Bricks, Special","Blue",3020,6132418,"LGH. ROY. BLUE","PLATE 2X4","£0.16"
"Bricks, Special","Blue",3020,6132418,"LGH. ROY. BLUE","PLATE 2X4","£0.16"
"Bricks, Special","Blue",3020,6132418,"LGH. ROY. BLUE","PLATE 2X4","£0.16"
"Bricks, Special","Blue",3020,6132418,"LGH. ROY. BLUE","PLATE 2X4","£0.16"
"Bricks, Special","Blue",3020,6132418,"LGH. ROY. BLUE","PLATE 2X4","£0.16"
"Bricks, Special","Blue",3020,6132418,"LGH. ROY. BLUE","PLATE 2X4","£0.16"
"Bricks, Special","Blue",3021,6132423,"LGH. ROY. BLUE","PLATE 2X3","£0.17"
"Bricks, Special","Blue",3021,6132423,"LGH. ROY. BLUE","PLATE 2X3","£0.17"
"Bricks, Special","Blue",3022,4539745,"LGH. ROY. BLUE","PLATE 2X2",
"Bricks, Special","Blue",3023,4649765,"LGH. ROY. BLUE","PLATE 1X2","£0.07"
"Bricks, Special","Blue",3023,4649765,"LGH. ROY. BLUE","PLATE 1X2","£0.07"
"Bricks, Special","Blue",3023,4649765,"LGH. ROY. BLUE","PLATE 1X2","£0.07"
"Bricks, Special","Blue",3023,4649765,"LGH. ROY. BLUE","PLATE 1X2","£0.07"
"Bricks, Special","Blue",3024,6184484,"LGH. ROY. BLUE","PLATE 1X1","£0.06"
"Bricks, Special","Blue",3024,6184484,"LGH. ROY. BLUE","PLATE 1X1","£0.06"
"Bricks, Special","Blue",3036,6056216,"LGH. ROY. BLUE","PLATE 6X8",
"Bricks, Special","Blue",3068,6162894,"LGH. ROY. BLUE","FLAT TILE 2X2","£0.08"
"Bricks, Special","Blue",3068,6162894,"LGH. ROY. BLUE","FLAT TILE 2X2","£0.08"
"Bricks, Special","Blue",3068,6162894,"LGH. ROY. BLUE","FLAT TILE 2X2","£0.08"
"Bricks, Special","Blue",3068,6162894,"LGH. ROY. BLUE","FLAT TILE 2X2","£0.08"
"Bricks","Blue",3437,4655048,"LGH. ROY. BLUE","DUPLO BRICK 2X2",
"Bricks","Blue",3437,4655048,"LGH. ROY. BLUE","DUPLO BRICK 2X2",
"Bricks, Special","Blue",3622,4623169,"LGH. ROY. BLUE","BRICK 1X3",
"Bricks, Special","Blue",3626,6005999,"LGH. ROY. BLUE","MINI HEAD","£0.11"
"Bricks, Special","Blue",3626,6005999,"LGH. ROY. BLUE","MINI HEAD","£0.11"
"Bricks, Special","Blue",3626,6005999,"LGH. ROY. BLUE","MINI HEAD","£0.11"
"Bricks, Special","Blue",3626,6005999,"LGH. ROY. BLUE","MINI HEAD","£0.11"
"Bricks, Special","Blue",3626,6005999,"LGH. ROY. BLUE","MINI HEAD","£0.11"
"Bricks, Special","Blue",3710,4623175,"LGH. ROY. BLUE","PLATE 1X4",
"Bricks, Special","Blue",3821,6055948,"LGH. ROY. BLUE","RIGHT DOOR 1X3",
"Bricks, Special","Blue",3822,6055892,"LGH. ROY. BLUE","LEFT DOOR 1X3",
"Bricks, Special","Blue",3943,6056240,"LGH. ROY. BLUE","ROCKET STEP 4X4X2",
"Bricks, Special","Blue",3958,6173947,"LGH. ROY. BLUE","PLATE 6X6","£0.58"
"Bricks, Special","Blue",3958,6173947,"LGH. ROY. BLUE","PLATE 6X6","£0.58"
"Bricks","Blue",4066,4624297,"LGH. ROY. BLUE","DUPLO BRICK 1X2X2","£0.72"
"Bricks","Blue",4066,4624297,"LGH. ROY. BLUE","DUPLO BRICK 1X2X2","£0.72"
"Bricks","Blue",4066,4624297,"LGH. ROY. BLUE","DUPLO BRICK 1X2X2","£0.72"
"Bricks","Blue",4066,4624297,"LGH. ROY. BLUE","DUPLO BRICK 1X2X2","£0.72"
"Bricks, Special","Blue",4215,4212721,"LGH. ROY. BLUE","WALL ELEMENT 1X4X3",
"Bricks, Special","Blue",4282,6074915,"LGH. ROY. BLUE","PLATE 2X16",
"Bricks, Special","Blue",4286,6056239,"LGH. ROY. BLUE","ROOF TILE 1X3/25°","£0.12"
"Bricks, Special","Blue",4286,6056239,"LGH. ROY. BLUE","ROOF TILE 1X3/25°","£0.12"
"Bricks, Special","Blue",4286,6056239,"LGH. ROY. BLUE","ROOF TILE 1X3/25°","£0.12"
"Bricks","Blue",4672,4260819,"LGH. ROY. BLUE","DUPLO PLATE 4X8",
"Bricks","Blue",4895,4223920,"LGH. ROY. BLUE","DUPLO BED 3X5X35.5",
"Bricks","Blue",4895,4223920,"LGH. ROY. BLUE","DUPLO BED 3X5X35.5",
"Bricks","Blue",4895,4223920,"LGH. ROY. BLUE","DUPLO BED 3X5X35.5",
"Bricks","Blue",4895,4223920,"LGH. ROY. BLUE","DUPLO BED 3X5X35.5",
"Bricks","Blue",4895,4223920,"LGH. ROY. BLUE","DUPLO BED 3X5X35.5",
"Bricks","Blue",4895,4223920,"LGH. ROY. BLUE","DUPLO BED 3X5X35.5",
"Bricks","Blue",4895,4223920,"LGH. ROY. BLUE","DUPLO BED 3X5X35.5",
"Bricks, Special","Blue",6066,6056246,"LGH. ROY. BLUE","BALCONY 1/2 4X8X2 1/3",
"Bricks, Special","Blue",6231,4621165,"LGH. ROY. BLUE","WALL CORNER 1X1X1",
"Bricks","Blue",6394,4260816,"LGH. ROY. BLUE","DUPLO BRIDGE ELEMENT 2X4X2",
"Bricks","Blue",6471,4224132,"LGH. ROY. BLUE","DUPLO DRAWER",
"Bricks","Blue",6471,4224132,"LGH. ROY. BLUE","DUPLO DRAWER",
"Bricks","Blue",6478,4278731,"LGH. ROY. BLUE","DUPLO CHAIR 2X2X2",
"Bricks","Blue",6478,4278731,"LGH. ROY. BLUE","DUPLO CHAIR 2X2X2",
"Bricks, Special","Blue",10654,6032155,"LGH. ROY. BLUE","MINI NINJA MASK 2 ""NO. 6""",
"Bricks, Special","Blue",10672,6005998,"LGH. ROY. BLUE","MINI HEAD ""NO. 957""",
"Bricks, Special","Blue",10706,6006111,"LGH. ROY. BLUE","MINI LOWER PART NO. 325",
"Bricks, Special","Blue",12216,6019070,"LGH. ROY. BLUE","BAG, ROUND W/RUFFLE, DEC.3",
"Bricks, Special","Blue",12216,6019070,"LGH. ROY. BLUE","BAG, ROUND W/RUFFLE, DEC.3",
"Bricks, Special","Blue",12216,6019070,"LGH. ROY. BLUE","BAG, ROUND W/RUFFLE, DEC.3",
"Bricks","Blue",12651,6025374,"LGH. ROY. BLUE","DUPLO CHAIR 2X2X2","£0.73"
"Bricks","Blue",12651,6025374,"LGH. ROY. BLUE","DUPLO CHAIR 2X2X2","£0.73"
"Bricks","Blue",12651,6025374,"LGH. ROY. BLUE","DUPLO CHAIR 2X2X2","£0.73"
"Bricks, Special","Blue",12858,6022500,"LGH. ROY. BLUE","MINI HEAD ""NO. 1124""",
"Bricks, Special","Blue",12858,6022500,"LGH. ROY. BLUE","MINI HEAD ""NO. 1124""",
"Bricks, Special","Blue",12858,6022500,"LGH. ROY. BLUE","MINI HEAD ""NO. 1124""",
"Bricks, Special","Blue",13987,6034425,"LGH. ROY. BLUE","DOLPHIN WITH HOLE Ø 1.5 - DEC. NO 1","£1.27"
"Bricks, Special","Blue",13987,6034425,"LGH. ROY. BLUE","DOLPHIN WITH HOLE Ø 1.5 - DEC. NO 1","£1.27"
"Bricks, Special","Blue",13987,6034425,"LGH. ROY. BLUE","DOLPHIN WITH HOLE Ø 1.5 - DEC. NO 1","£1.27"
"Bricks, Special","Blue",13987,6034425,"LGH. ROY. BLUE","DOLPHIN WITH HOLE Ø 1.5 - DEC. NO 1","£1.27"
"Bricks, Special","Blue",13987,6034425,"LGH. ROY. BLUE","DOLPHIN WITH HOLE Ø 1.5 - DEC. NO 1","£1.27"
"Bricks, Special","Blue",14366,6038542,"LGH. ROY. BLUE","MINI HEAD ""NO. 1126""",
"Bricks, Special","Blue",14918,6092670,"LGH. ROY. BLUE","NOSE CONE 2X2X2","£0.24"
