"Category","Colour Family","Design ID","Element ID","Exact Colour","Name"
"Bricks, Special Circles And Angles","Grey",32271,4537417,"LGH. ST. GREY","TECHNIC ANGULAR BEAM 3X7"
"Bricks, Special Circles And Angles","Grey",32524,4495932,"LGH. ST. GREY","TECHNIC 7M BEAM"
"Bricks, Special Circles And Angles","Grey",32524,4495932,"LGH. ST. GREY","TECHNIC 7M BEAM"
"Bricks, Special Circles And Angles","Grey",32525,4297200,"LGH. ST. GREY","TECHNIC 11M BEAM"
"Bricks, Special Circles And Angles","Grey",32525,4297200,"LGH. ST. GREY","TECHNIC 11M BEAM"
"Bricks, Special Circles And Angles","Grey",40490,4297202,"LGH. ST. GREY","TECHNIC 9M BEAM"
"Bricks, Special Circles And Angles","Grey",40490,4297202,"LGH. ST. GREY","TECHNIC 9M BEAM"
"Bricks, Special Circles And Angles","Grey",41239,4522939,"LGH. ST. GREY","TECHNIC 13M BEAM"
"Bricks, Special Circles And Angles","Grey",41239,4522939,"LGH. ST. GREY","TECHNIC 13M BEAM"
"Bricks","Grey",44538,4242419,"LGH. ST. GREY","DUPLO TURN BRICK 2X2"
"Bricks","Grey",44538,4242419,"LGH. ST. GREY","DUPLO TURN BRICK 2X2"
"Bricks","Grey",44538,4242419,"LGH. ST. GREY","DUPLO TURN BRICK 2X2"
"Bricks","Grey",44538,4242419,"LGH. ST. GREY","DUPLO TURN BRICK 2X2"
"Bricks, Special Circles And Angles","Grey",47311,4287116,"LGH. ST. GREY","LINK 4M W. 2 BALLS Ø 10.2"
"Bricks, Special Circles And Angles","Grey",47311,4287116,"LGH. ST. GREY","LINK 4M W. 2 BALLS Ø 10.2"
"Bricks, Special","Grey",47430,4287592,"LGH. ST. GREY","BRICK W. BOWS 3X5½, Ø4.85"
"Bricks, Special","Grey",47431,4270002,"LGH. ST. GREY","BRICK 2X2 W. HAND VERT. SNAP"
"Bricks, Special","Grey",47431,4270002,"LGH. ST. GREY","BRICK 2X2 W. HAND VERT. SNAP"
"Bricks, Special","Grey",47454,4270000,"LGH. ST. GREY","BR. 2X3 Ø4.85 FEM./HOR. SNAP"
"Bricks, Special","Grey",47454,4270000,"LGH. ST. GREY","BR. 2X3 Ø4.85 FEM./HOR. SNAP"
"Bricks, Special Circles And Angles","Grey",53563,4287119,"LGH. ST. GREY","BEAM WITH 2 BALLS 4X8X2"
"Bricks, Special Circles And Angles","Grey",53563,4287119,"LGH. ST. GREY","BEAM WITH 2 BALLS 4X8X2"
"Bricks, Special Circles And Angles","Grey",53566,4287123,"LGH. ST. GREY","Shell for thight"
"Bricks, Special Circles And Angles","Grey",53566,4287123,"LGH. ST. GREY","Shell for thight"
"Bricks, Special Circles And Angles","Grey",53568,4287125,"LGH. ST. GREY","SHELL 7X10X2 WITH 2 CLAWS"
"Bricks, Special Circles And Angles","Grey",53568,4287125,"LGH. ST. GREY","SHELL 7X10X2 WITH 2 CLAWS"
"Bricks, Special Circles And Angles","Grey",53574,4287127,"LGH. ST. GREY","BEAM WITH 2 BALLS 3X8X2,5"
"Bricks, Special Circles And Angles","Grey",53574,4287127,"LGH. ST. GREY","BEAM WITH 2 BALLS 3X8X2,5"
"Bricks, Special Circles And Angles","Grey",53787,4297008,"LGH. ST. GREY","Tacho Motor assambled"
"Bricks, Special Circles And Angles","Grey",53787,4297008,"LGH. ST. GREY","Tacho Motor assambled"
"Bricks, Special Circles And Angles","Grey",53787,4297008,"LGH. ST. GREY","Tacho Motor assambled"
"Bricks, Special Circles And Angles","Grey",53787,4297008,"LGH. ST. GREY","Tacho Motor assambled"
"Bricks, Special Circles And Angles","Grey",53792,4297174,"LGH. ST. GREY","Ultrasound sensor assambled"
"Bricks, Special Circles And Angles","Grey",53792,4297174,"LGH. ST. GREY","Ultrasound sensor assambled"
"Bricks, Special Circles And Angles","Grey",53792,4297174,"LGH. ST. GREY","Ultrasound sensor assambled"
"Bricks, Special Circles And Angles","Grey",53792,4297174,"LGH. ST. GREY","Ultrasound sensor assambled"
"Bricks, Special Circles And Angles","Grey",53793,4296929,"LGH. ST. GREY","Push sensor assambled"
"Bricks, Special Circles And Angles","Grey",53793,4296929,"LGH. ST. GREY","Push sensor assambled"
"Bricks, Special Circles And Angles","Grey",53793,4296929,"LGH. ST. GREY","Push sensor assambled"
"Bricks, Special Circles And Angles","Grey",53793,4296929,"LGH. ST. GREY","Push sensor assambled"
"Bricks, Special","Grey",53989,4294993,"LGH. ST. GREY","BAD ROBOT ARM"
"Bricks, Special","Grey",53989,4294993,"LGH. ST. GREY","BAD ROBOT ARM"
"Bricks, Special","Grey",53989,4294993,"LGH. ST. GREY","BAD ROBOT ARM"
"Bricks, Special","Grey",53989,4294993,"LGH. ST. GREY","BAD ROBOT ARM"
"Bricks, Special","Grey",54276,4294537,"LGH. ST. GREY","LEG"
"Bricks, Special","Grey",54276,4294537,"LGH. ST. GREY","LEG"
"Bricks, Special","Grey",54276,4294537,"LGH. ST. GREY","LEG"
