"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Bricks","Blue",2291,4529231,"MD.BLUE","DUPLO BRICK 2X10",
"Bricks","Blue",2300,4529208,"MD.BLUE","DUPLO BRICK 2X6",
"Bricks","Blue",2302,4541728,"MD.BLUE","DUPLO BRICK, BOW 2X3X1","£1.06"
"Bricks","Blue",2302,4541728,"MD.BLUE","DUPLO BRICK, BOW 2X3X1","£1.06"
"Bricks","Blue",2302,4541728,"MD.BLUE","DUPLO BRICK, BOW 2X3X1","£1.06"
"Bricks, Special","Blue",2357,6000880,"MD.BLUE","BRICK CORNER 1X2X2","£0.16"
"Bricks, Special","Blue",2357,6000880,"MD.BLUE","BRICK CORNER 1X2X2","£0.16"
"Bricks, Special","Blue",2357,6000880,"MD.BLUE","BRICK CORNER 1X2X2","£0.16"
"Bricks, Special","Blue",2357,6000880,"MD.BLUE","BRICK CORNER 1X2X2","£0.16"
"Bricks, Special","Blue",2357,6000880,"MD.BLUE","BRICK CORNER 1X2X2","£0.16"
"Bricks, Special","Blue",2357,6000880,"MD.BLUE","BRICK CORNER 1X2X2","£0.16"
"Bricks, Special","Blue",2412,4171075,"MD.BLUE","RADIATOR GRILLE 1X2",
"Bricks, Special","Blue",2412,4171075,"MD.BLUE","RADIATOR GRILLE 1X2",
"Bricks, Special","Blue",2412,4171075,"MD.BLUE","RADIATOR GRILLE 1X2",
"Bricks, Special","Blue",2412,4171075,"MD.BLUE","RADIATOR GRILLE 1X2",
"Bricks, Special","Blue",2412,4171075,"MD.BLUE","RADIATOR GRILLE 1X2",
"Bricks, Special","Blue",2412,4171075,"MD.BLUE","RADIATOR GRILLE 1X2",
"Bricks, Special","Blue",2420,4179827,"MD.BLUE","CORNER PLATE 1X2X2",
"Bricks, Special","Blue",2420,4179827,"MD.BLUE","CORNER PLATE 1X2X2",
"Bricks, Special","Blue",2420,4179827,"MD.BLUE","CORNER PLATE 1X2X2",
"Bricks, Special","Blue",2420,4179827,"MD.BLUE","CORNER PLATE 1X2X2",
"Bricks, Special","Blue",2420,4179827,"MD.BLUE","CORNER PLATE 1X2X2",
"Bricks, Special","Blue",2420,4179827,"MD.BLUE","CORNER PLATE 1X2X2",
"Bricks, Special","Blue",2420,4179827,"MD.BLUE","CORNER PLATE 1X2X2",
"Bricks, Special","Blue",2420,4179827,"MD.BLUE","CORNER PLATE 1X2X2",
