"Category","Colour Family","Design ID","Element ID","Exact Colour","Name"
"Bricks, Special","Green",2546,4183019,"MD.GREEN","PARROT"
"Bricks, Special","Green",2546,4183019,"MD.GREEN","PARROT"
"Bricks, Special","Green",3004,4129824,"MD.GREEN","BRICK 1X2"
"Bricks, Special","Green",3004,4129824,"MD.GREEN","BRICK 1X2"
"Bricks, Special","Green",3010,4184952,"MD.GREEN","BRICK 1X4"
"Bricks, Special","Green",3010,4184952,"MD.GREEN","BRICK 1X4"
"Bricks","Green",6478,647829,"MD.GREEN","DUPLO CHAIR 2X2X2"
"Bricks","Green",6510,651029,"MD.GREEN","DUPLO FLOWER"
"Bricks","Green",6510,651029,"MD.GREEN","DUPLO FLOWER"
"Bricks","Green",31041,3104129,"MD.GREEN","DUPLO COFFEEPOT"
"Bricks","Green",31042,3104229,"MD.GREEN","DUPLO POT"
"Bricks, Special","Green",41539,4186373,"MD.GREEN","PLATE 8X8"
