"Category","Colour Family","Design ID","Element ID","Exact Colour","Name"
"Bricks, Special","Purple",3003,300322,"MD.REDVIOL","BRICK 2X2"
"Bricks, Special","Purple",3003,300322,"MD.REDVIOL","BRICK 2X2"
"Bricks, Special","Purple",3003,300322,"MD.REDVIOL","BRICK 2X2"
"Bricks, Special","Purple",3003,300322,"MD.REDVIOL","BRICK 2X2"
"Bricks, Special","Purple",3003,300322,"MD.REDVIOL","BRICK 2X2"
"Bricks, Special","Purple",3003,300322,"MD.REDVIOL","BRICK 2X2"
"Bricks","Purple",3437,4143061,"MD.REDVIOL","DUPLO BRICK 2X2"
"Bricks, Special","Purple",3622,4188782,"MD.REDVIOL","BRICK 1X3"
"Bricks, Special","Purple",3622,4188782,"MD.REDVIOL","BRICK 1X3"
"Bricks, Special","Purple",3622,4188782,"MD.REDVIOL","BRICK 1X3"
"Bricks, Special","Purple",3622,4188782,"MD.REDVIOL","BRICK 1X3"
"Bricks, Special","Purple",6192,4186975,"MD.REDVIOL","BOWED ROOF RIDGE 2X4X1"
"Bricks, Special","Purple",6192,4186975,"MD.REDVIOL","BOWED ROOF RIDGE 2X4X1"
"Bricks","Purple",6413,641322,"MD.REDVIOL","DUPLO PLATE 2X4X0.5"
"Bricks","Purple",6413,641322,"MD.REDVIOL","DUPLO PLATE 2X4X0.5"
"Bricks","Purple",6413,641322,"MD.REDVIOL","DUPLO PLATE 2X4X0.5"
"Bricks","Purple",6473,647322,"MD.REDVIOL","DUPLO KITCHEN SINK 2X4X1.5"
"Bricks","Purple",6478,647822,"MD.REDVIOL","DUPLO CHAIR 2X2X2"
"Bricks","Purple",6510,651022,"MD.REDVIOL","DUPLO FLOWER"
"Bricks","Purple",6510,651022,"MD.REDVIOL","DUPLO FLOWER"
"Bricks","Purple",6510,4142836,"MD.REDVIOL","DUPLO FLOWER"
"Bricks","Purple",6510,4142836,"MD.REDVIOL","DUPLO FLOWER"
"Bricks, Special","Purple",30077,4119597,"MD.REDVIOL","FENCE 1X6X2"
"Bricks","Purple",31169,4143333,"MD.REDVIOL","DUPLO HARNESS"
"Bricks, Special","Purple",33009,4120278,"MD.REDVIOL","BOOK"
"Bricks, Special","Purple",33009,4120278,"MD.REDVIOL","BOOK"
"Bricks, Special","Purple",33009,4120278,"MD.REDVIOL","BOOK"
"Bricks, Special","Purple",33009,4120278,"MD.REDVIOL","BOOK"
"Bricks, Special","Purple",33009,4120278,"MD.REDVIOL","BOOK"
"Bricks, Special","Purple",33009,4120278,"MD.REDVIOL","BOOK"
"Bricks","Purple",42398,4165504,"MD.REDVIOL","DUPLO CODE SUITCASE 1X2"
"Bricks","Purple",42398,4165504,"MD.REDVIOL","DUPLO CODE SUITCASE 1X2"
"Bricks, Special","Purple",75347,75347,"MD.REDVIOL","COLUMN"
"Bricks, Special","Purple",75347,75347,"MD.REDVIOL","COLUMN"
"Bricks, Special","Purple",75347,75347,"MD.REDVIOL","COLUMN"
