"Category","Colour Family","Design ID","Element ID","Exact Colour","Name"
"Bricks","Green",3011,4166925,"MD.YEL-GREEN","DUPLO BRICK 2X4"
"Bricks, Special","Green",3029,4209855,"MD.YEL-GREEN","PLATE 4X12"
"Bricks","Green",3437,4175619,"MD.YEL-GREEN","DUPLO BRICK 2X2"
"Bricks, Special","Green",4085,4262029,"MD.YEL-GREEN","PLATE 1X1 W. HOLDER"
"Bricks, Special","Green",4085,4262029,"MD.YEL-GREEN","PLATE 1X1 W. HOLDER"
"Bricks","Green",4892,4222170,"MD.YEL-GREEN","DUPLO WASH BASIN"
"Bricks, Special","Green",6019,4244612,"MD.YEL-GREEN","PLATE 1X1 W/HOLDER VERTICAL"
"Bricks, Special","Green",6134,4216932,"MD.YEL-GREEN","PLATE 2X2 (ROCKING)"
"Bricks, Special","Green",6134,4216932,"MD.YEL-GREEN","PLATE 2X2 (ROCKING)"
"Bricks","Green",6497,4222347,"MD.YEL-GREEN","DUPLO FENCE, GARDEN"
"Bricks","Green",74025,4222183,"MD.YEL-GREEN","DUPLO TOILET W/SEAT"
