"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Bricks","Grey",2032,4285230,"MED. ST-GREY","DUPLO TRUCK BODY 2X6",
"Bricks","Grey",2033,4216553,"MED. ST-GREY","DUPLO FIRELADDER",
"Bricks","Grey",2033,4216553,"MED. ST-GREY","DUPLO FIRELADDER",
"Bricks","Grey",2302,4515977,"MED. ST-GREY","DUPLO BRICK, BOW 2X3X1",
"Bricks","Grey",2302,4515977,"MED. ST-GREY","DUPLO BRICK, BOW 2X3X1",
"Bricks, Special","Grey",2339,4211348,"MED. ST-GREY","BRICK W. BOW 1X5X4",
"Bricks, Special","Grey",2339,4211348,"MED. ST-GREY","BRICK W. BOW 1X5X4",
"Bricks, Special","Grey",2339,4211348,"MED. ST-GREY","BRICK W. BOW 1X5X4",
"Bricks, Special","Grey",2339,4211348,"MED. ST-GREY","BRICK W. BOW 1X5X4",
"Bricks, Special","Grey",2339,4211348,"MED. ST-GREY","BRICK W. BOW 1X5X4",
"Bricks, Special","Grey",2339,4211348,"MED. ST-GREY","BRICK W. BOW 1X5X4",
"Bricks, Special","Grey",2341,4251563,"MED. ST-GREY","DOUB. INVERT.ROOF TILE 1X3/45°",
"Bricks, Special","Grey",2341,4251563,"MED. ST-GREY","DOUB. INVERT.ROOF TILE 1X3/45°",
"Bricks, Special","Grey",2341,4251563,"MED. ST-GREY","DOUB. INVERT.ROOF TILE 1X3/45°",
"Bricks, Special","Grey",2341,4251563,"MED. ST-GREY","DOUB. INVERT.ROOF TILE 1X3/45°",
"Bricks, Special","Grey",2341,4251563,"MED. ST-GREY","DOUB. INVERT.ROOF TILE 1X3/45°",
"Bricks, Special","Grey",2341,4251563,"MED. ST-GREY","DOUB. INVERT.ROOF TILE 1X3/45°",
"Bricks, Special","Grey",2341,4251563,"MED. ST-GREY","DOUB. INVERT.ROOF TILE 1X3/45°",
"Bricks, Special","Grey",2341,4251563,"MED. ST-GREY","DOUB. INVERT.ROOF TILE 1X3/45°",
"Bricks, Special","Grey",2341,4251563,"MED. ST-GREY","DOUB. INVERT.ROOF TILE 1X3/45°",
"Bricks, Special","Grey",2341,4251563,"MED. ST-GREY","DOUB. INVERT.ROOF TILE 1X3/45°",
"Bricks, Special","Grey",2341,4251563,"MED. ST-GREY","DOUB. INVERT.ROOF TILE 1X3/45°",
"Bricks, Special","Grey",2345,4219697,"MED. ST-GREY","WALLELEMENT CORNER",
"Bricks, Special","Grey",2345,4219697,"MED. ST-GREY","WALLELEMENT CORNER",
"Bricks, Special","Grey",2345,4219697,"MED. ST-GREY","WALLELEMENT CORNER",
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
"Bricks, Special","Grey",2357,4211349,"MED. ST-GREY","BRICK CORNER 1X2X2","£0.12"
