"Category","Colour Family","Design ID","Element ID","Exact Colour","Name"
"Bricks, Special Circles And Angles","Black",44138,4191677,"MET.BLACK","BION. FOOT"
"Bricks, Special Circles And Angles","Black",44138,4191677,"MET.BLACK","BION. FOOT"
"Bricks, Special Circles And Angles","Black",44138,4191677,"MET.BLACK","BION. FOOT"
"Bricks, Special Circles And Angles","Black",44140,4215829,"MET.BLACK","BION.  SHELL"
"Bricks, Special Circles And Angles","Black",44140,4215829,"MET.BLACK","BION.  SHELL"
"Bricks, Special Circles And Angles","Black",44140,4215829,"MET.BLACK","BION.  SHELL"
"Bricks, Special Circles And Angles","Black",44140,4215829,"MET.BLACK","BION.  SHELL"
"Bricks, Special Circles And Angles","Black",44807,4235867,"MET.BLACK","HEAD"
"Bricks, Special Circles And Angles","Black",44807,4235867,"MET.BLACK","HEAD"
"Bricks, Special Circles And Angles","Black",44807,4235867,"MET.BLACK","HEAD"
"Bricks, Special Circles And Angles","Black",44815,4200789,"MET.BLACK","BION., IN S., MAKUTA MASK"
"Bricks, Special Circles And Angles","Black",44815,4200789,"MET.BLACK","BION., IN S., MAKUTA MASK"
"Bricks, Special Circles And Angles","Black",44815,4200789,"MET.BLACK","BION., IN S., MAKUTA MASK"
