"Category","Colour Family","Design ID","Element ID","Exact Colour","Name"
"Bricks, Special Circles And Angles","Grey",2723,4178008,"MET.DK.GREY","DISK Ø24"
"Bricks, Special Circles And Angles","Grey",32140,4177982,"MET.DK.GREY","TECHNIC ANG. BEAM 4X2 90 DEG"
"Bricks, Special Circles And Angles","Grey",32187,4278755,"MET.DK.GREY","MIDDLE RING"
"Beams","Grey",32278,4227469,"MET.DK.GREY","TECHNIC 15M BEAM"
"Beams","Grey",32278,4227469,"MET.DK.GREY","TECHNIC 15M BEAM"
"Beams","Grey",32278,4227469,"MET.DK.GREY","TECHNIC 15M BEAM"
"Bricks, Special Circles And Angles","Grey",32524,4227470,"MET.DK.GREY","TECHNIC 7M BEAM"
"Bricks, Special Circles And Angles","Grey",32526,4227485,"MET.DK.GREY","TECHNIC ANG. BEAM 3X5 90 DEG."
"Bricks, Special Circles And Angles","Grey",32527,4163378,"MET.DK.GREY","3D-PANEL 5M-5"
"Bricks, Special Circles And Angles","Grey",32527,4163378,"MET.DK.GREY","3D-PANEL 5M-5"
"Bricks, Special Circles And Angles","Grey",32527,4163378,"MET.DK.GREY","3D-PANEL 5M-5"
"Bricks, Special Circles And Angles","Grey",32527,4163378,"MET.DK.GREY","3D-PANEL 5M-5"
"Bricks, Special Circles And Angles","Grey",32527,4163378,"MET.DK.GREY","3D-PANEL 5M-5"
"Bricks, Special Circles And Angles","Grey",32527,4163378,"MET.DK.GREY","3D-PANEL 5M-5"
"Bricks, Special Circles And Angles","Grey",32527,4163378,"MET.DK.GREY","3D-PANEL 5M-5"
"Bricks, Special Circles And Angles","Grey",32528,4163379,"MET.DK.GREY","3D-PANEL 5M-6"
"Bricks, Special Circles And Angles","Grey",32528,4163379,"MET.DK.GREY","3D-PANEL 5M-6"
"Bricks, Special Circles And Angles","Grey",32528,4163379,"MET.DK.GREY","3D-PANEL 5M-6"
"Bricks, Special Circles And Angles","Grey",32528,4163379,"MET.DK.GREY","3D-PANEL 5M-6"
"Bricks, Special Circles And Angles","Grey",32528,4163379,"MET.DK.GREY","3D-PANEL 5M-6"
"Bricks, Special Circles And Angles","Grey",32528,4163379,"MET.DK.GREY","3D-PANEL 5M-6"
"Bricks, Special Circles And Angles","Grey",32528,4163379,"MET.DK.GREY","3D-PANEL 5M-6"
"Bricks, Special Circles And Angles","Grey",32534,4163376,"MET.DK.GREY","3D-PANEL 10M-7"
"Bricks, Special Circles And Angles","Grey",32534,4163376,"MET.DK.GREY","3D-PANEL 10M-7"
"Bricks, Special Circles And Angles","Grey",32534,4163376,"MET.DK.GREY","3D-PANEL 10M-7"
"Bricks, Special Circles And Angles","Grey",32534,4163376,"MET.DK.GREY","3D-PANEL 10M-7"
"Bricks, Special Circles And Angles","Grey",32534,4163376,"MET.DK.GREY","3D-PANEL 10M-7"
"Bricks, Special Circles And Angles","Grey",32534,4163376,"MET.DK.GREY","3D-PANEL 10M-7"
"Bricks, Special Circles And Angles","Grey",32534,4163376,"MET.DK.GREY","3D-PANEL 10M-7"
"Bricks, Special Circles And Angles","Grey",32534,4163376,"MET.DK.GREY","3D-PANEL 10M-7"
"Bricks, Special Circles And Angles","Grey",32535,4163377,"MET.DK.GREY","3D-PANEL 10M-8"
"Bricks, Special Circles And Angles","Grey",32535,4163377,"MET.DK.GREY","3D-PANEL 10M-8"
"Bricks, Special Circles And Angles","Grey",32535,4163377,"MET.DK.GREY","3D-PANEL 10M-8"
"Bricks, Special Circles And Angles","Grey",32535,4163377,"MET.DK.GREY","3D-PANEL 10M-8"
"Bricks, Special Circles And Angles","Grey",32535,4163377,"MET.DK.GREY","3D-PANEL 10M-8"
"Bricks, Special Circles And Angles","Grey",32535,4163377,"MET.DK.GREY","3D-PANEL 10M-8"
"Bricks, Special Circles And Angles","Grey",32535,4163377,"MET.DK.GREY","3D-PANEL 10M-8"
"Bricks, Special Circles And Angles","Grey",32535,4163377,"MET.DK.GREY","3D-PANEL 10M-8"
"Bricks, Special Circles And Angles","Grey",41677,4177962,"MET.DK.GREY","TECHNIC LEVER 2M"
"Bricks, Special Circles And Angles","Grey",43558,4196973,"MET.DK.GREY","BIONICLE BREST SHIELD"
"Bricks, Special Circles And Angles","Grey",43558,4196973,"MET.DK.GREY","BIONICLE BREST SHIELD"
"Bricks, Special Circles And Angles","Grey",43558,4196973,"MET.DK.GREY","BIONICLE BREST SHIELD"
"Bricks, Special Circles And Angles","Grey",43558,4196973,"MET.DK.GREY","BIONICLE BREST SHIELD"
"Bricks, Special Circles And Angles","Grey",43559,4196974,"MET.DK.GREY","BIONICLE SHOULDER PLATE"
"Bricks, Special Circles And Angles","Grey",43559,4196974,"MET.DK.GREY","BIONICLE SHOULDER PLATE"
"Bricks, Special Circles And Angles","Grey",43559,4196974,"MET.DK.GREY","BIONICLE SHOULDER PLATE"
"Bricks, Special Circles And Angles","Grey",43559,4196974,"MET.DK.GREY","BIONICLE SHOULDER PLATE"
"Bricks, Special Circles And Angles","Grey",43857,4227476,"MET.DK.GREY","TECHNIC 2M BEAM"
"Bricks, Special Circles And Angles","Grey",44936,4506737,"MET.DK.GREY","BOHROKS UPD., SCISORS"
"Bricks, Special Circles And Angles","Grey",44936,4506737,"MET.DK.GREY","BOHROKS UPD., SCISORS"
"Bricks With Slope, Special","Grey",45784,4299092,"MET.DK.GREY","DESIGN PANEL RIGHT 4X4X2"
"Bricks With Slope, Special","Grey",45786,4299091,"MET.DK.GREY","DESIGN PANEL LEFT 4X4X2"
"Bricks, Special Circles And Angles","Grey",47298,4506758,"MET.DK.GREY","BLOCK 3X7X2"
"Bricks, Special Circles And Angles","Grey",47328,4294881,"MET.DK.GREY","BEAM 3X5 W. BALLS Ø 10.2"
"Bricks With Slope, Special","Grey",47371,4295180,"MET.DK.GREY","DESIGN PANEL CENTRE 8X4X2"
