"Category","Colour Family","Design ID","Element ID","Exact Colour","Name"
"Bricks, Special Circles And Angles","Blue",6538,4172043,"MET.SAND.BLU","CROSS AXLE, EXTENSION"
"Bricks, Special Circles And Angles","Blue",6632,4172050,"MET.SAND.BLU","TECHNIC LEVER 3M"
"Bricks, Special Circles And Angles","Blue",32009,4172038,"MET.SAND.BLU","DOUBLE ANGULAR BEAM 3X7 45°"
"Bricks, Special Circles And Angles","Blue",32013,4172041,"MET.SAND.BLU","ANGLE ELEMENT, 0 DEGREES [1]"
"Bricks, Special Circles And Angles","Blue",32039,4172048,"MET.SAND.BLU","CATCH W. CROSS HOLE"
"Bricks, Special Circles And Angles","Blue",32056,4172044,"MET.SAND.BLU","TECHNIC LEVER 3X3M, 90°"
"Bricks, Special Circles And Angles","Blue",32140,4172046,"MET.SAND.BLU","TECHNIC ANG. BEAM 4X2 90 DEG"
"Bricks, Special Circles And Angles","Blue",32348,4172045,"MET.SAND.BLU","TECHNIC ANGULAR BEAM 4X4"
"Bricks, Special Circles And Angles","Blue",32475,4172051,"MET.SAND.BLU","VOODOO FOOT"
"Beams","Blue",41482,4175935,"MET.SAND.BLU","TECHNIC 3M BEAM, PC"
"Bricks, Special Circles And Angles","Blue",41677,4172049,"MET.SAND.BLU","TECHNIC LEVER 2M"
"Bricks, Special Circles And Angles","Blue",43886,4176016,"MET.SAND.BLU","ANGULAR BEAM 90 DEGR. 3X5"
"Bricks, Special","Blue",48495,4223104,"MET.SAND.BLU","SWORD"
"Bricks, Special","Blue",48495,4223104,"MET.SAND.BLU","SWORD"
"Bricks, Special","Blue",48495,4223104,"MET.SAND.BLU","SWORD"
"Bricks, Special","Blue",48495,4223104,"MET.SAND.BLU","SWORD"
"Bricks, Special Circles And Angles","Blue",50602,4253713,"MET.SAND.BLU","Design shell Ø4.85 No.2/rivits"
"Bricks, Special Circles And Angles","Blue",50623,4256810,"MET.SAND.BLU","Tool. Sword no. 1"
"Bricks, Special Circles And Angles","Blue",50629,4254438,"MET.SAND.BLU","Shell 4x9x3 m. Ø4,85"
