"Category","Colour Family","Design ID","Element ID","Exact Colour","Name"
"Bricks","Yellow",3437,4164474,"MET.SAND.YEL","DUPLO BRICK 2X2"
"Bricks","Yellow",3437,4164474,"MET.SAND.YEL","DUPLO BRICK 2X2"
"Bricks","Yellow",3437,4164474,"MET.SAND.YEL","DUPLO BRICK 2X2"
"Bricks, Special Circles And Angles","Yellow",43558,4196990,"MET.SAND.YEL","BIONICLE BREST SHIELD"
"Bricks, Special Circles And Angles","Yellow",43558,4196990,"MET.SAND.YEL","BIONICLE BREST SHIELD"
"Bricks, Special Circles And Angles","Yellow",43558,4196990,"MET.SAND.YEL","BIONICLE BREST SHIELD"
"Bricks, Special Circles And Angles","Yellow",43558,4196990,"MET.SAND.YEL","BIONICLE BREST SHIELD"
"Bricks, Special Circles And Angles","Yellow",43559,4196993,"MET.SAND.YEL","BIONICLE SHOULDER PLATE"
"Bricks, Special Circles And Angles","Yellow",43559,4196993,"MET.SAND.YEL","BIONICLE SHOULDER PLATE"
"Bricks, Special Circles And Angles","Yellow",43559,4196993,"MET.SAND.YEL","BIONICLE SHOULDER PLATE"
"Bricks, Special Circles And Angles","Yellow",45274,4271186,"MET.SAND.YEL","BOHROKS UPD., W. TURBINE"
"Bricks, Special Circles And Angles","Yellow",47298,4265164,"MET.SAND.YEL","BLOCK 3X7X2"
"Bricks, Special Circles And Angles","Yellow",47298,4265164,"MET.SAND.YEL","BLOCK 3X7X2"
"Bricks, Special Circles And Angles","Yellow",47299,4265166,"MET.SAND.YEL","SHELL 2X3X1.5 W. HOLE Ø4.85"
"Bricks, Special Circles And Angles","Yellow",47299,4265166,"MET.SAND.YEL","SHELL 2X3X1.5 W. HOLE Ø4.85"
"Bricks, Special Circles And Angles","Yellow",47459,4218324,"MET.SAND.YEL","TOOL, SWORD/WISE"
"Bricks, Special Circles And Angles","Yellow",47459,4218324,"MET.SAND.YEL","TOOL, SWORD/WISE"
"Bricks, Special Circles And Angles","Yellow",48253,4271187,"MET.SAND.YEL","TOOL, CLAW"
"Bricks, Special","Yellow",48495,4223108,"MET.SAND.YEL","SWORD"
"Bricks, Special","Yellow",48495,4223108,"MET.SAND.YEL","SWORD"
"Bricks, Special","Yellow",48495,4223108,"MET.SAND.YEL","SWORD"
"Bricks, Special Circles And Angles","Yellow",49423,4265175,"MET.SAND.YEL","BREAST SHIELD"
"Bricks, Special Circles And Angles","Yellow",53069,4265622,"MET.SAND.YEL","MASK NO. 9"
"Bricks, Special Circles And Angles","Yellow",53384,4271185,"MET.SAND.YEL","TOA MASK NO. 1"
