"Category","Colour Family","Design ID","Element ID","Exact Colour","Name"
"Bricks","Purple",3437,4175620,"ML.BLUEVIOL","DUPLO BRICK 2X2"
"Bricks","Purple",3437,4175620,"ML.BLUEVIOL","DUPLO BRICK 2X2"
"Bricks","Purple",6510,4121573,"ML.BLUEVIOL","DUPLO FLOWER"
"Bricks","Purple",6510,4121573,"ML.BLUEVIOL","DUPLO FLOWER"
"Bricks","Purple",6510,4121573,"ML.BLUEVIOL","DUPLO FLOWER"
"Bricks","Purple",6510,4121573,"ML.BLUEVIOL","DUPLO FLOWER"
"Bricks","Purple",6510,4121573,"ML.BLUEVIOL","DUPLO FLOWER"
"Bricks","Purple",6510,4121573,"ML.BLUEVIOL","DUPLO FLOWER"
"Bricks","Purple",6510,4121573,"ML.BLUEVIOL","DUPLO FLOWER"
"Bricks","Purple",6510,4121573,"ML.BLUEVIOL","DUPLO FLOWER"
