"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Bricks, Special","",3020,6172534,"NOUGAT","PLATE 2X4","£0.16"
"Bricks, Special","",3020,6172534,"NOUGAT","PLATE 2X4","£0.16"
"Bricks, Special","",3035,6172535,"NOUGAT","PLATE 4X8","£0.50"
"Bricks, Special","",3035,6172535,"NOUGAT","PLATE 4X8","£0.50"
"Bricks, Special","",3036,6060856,"NOUGAT","PLATE 6X8","£0.68"
"Bricks, Special","",3036,6060856,"NOUGAT","PLATE 6X8","£0.68"
"Bricks, Special","",3036,6060856,"NOUGAT","PLATE 6X8","£0.68"
"Bricks","",3437,4255332,"NOUGAT","DUPLO BRICK 2X2",
"Bricks","",3437,4255332,"NOUGAT","DUPLO BRICK 2X2",
"Bricks, Special","",3626,4194825,"NOUGAT","MINI HEAD",
"Bricks, Special","",3626,4194825,"NOUGAT","MINI HEAD",
"Bricks, Special","",3626,4194825,"NOUGAT","MINI HEAD",
"Bricks, Special","",3626,4194825,"NOUGAT","MINI HEAD",
"Bricks, Special","",10187,6163332,"NOUGAT","CLAWS","£0.12"
"Bricks, Special","",16255,6057829,"NOUGAT","MINI LOWER PART NO. 594""",
"Bricks, Special","",22888,6172540,"NOUGAT","1/2 CIRCLE PLATE 4X8",
"Bricks, Special","",25368,6139203,"NOUGAT","Pig 1x4x1 2/3 ""NO.1""",
"Bricks, Special","",25992,6144375,"NOUGAT","MINI HEAD ""NO. 1880""",
"Bricks, Special","",26047,6163191,"NOUGAT","ROUND PLATE 1X1, W/ 3.2 SHAFT","£0.12"
"Bricks, Special","",26610,6151911,"NOUGAT","MINI HEAD NO. 1918",
"Bricks, Special","",26614,6151923,"NOUGAT","MINI HEAD NO. 1920",
"Bricks, Special","",26622,6151942,"NOUGAT","MINI HEAD NO. 1924",
"Bricks, Special","",30565,6074311,"NOUGAT","PLATE 4X4, 1/4 CIRCLE",
"Bricks, Special","",32859,6185282,"NOUGAT","MINI WIG NO. 152",
"Bricks, Special","",60616,6058086,"NOUGAT","GLASS DOOR FOR FRAME 1X4X6","£0.64"
"Bricks, Special","",60616,6058086,"NOUGAT","GLASS DOOR FOR FRAME 1X4X6","£0.64"
"Bricks","",60809,4515402,"NOUGAT","CHILD FIGURE NO. 1 - CAVE BOY",
"Bricks","",64538,4559235,"NOUGAT","FIGURE NO. 13",
"Bricks","",75722,75722,"NOUGAT","DUPLO PIG *82559*",
"Bricks","",75722,75722,"NOUGAT","DUPLO PIG *82559*",
"Bricks","",75722,75722,"NOUGAT","DUPLO PIG *82559*",
"Bricks","",75722,75722,"NOUGAT","DUPLO PIG *82559*",
"Bricks","",75722,75722,"NOUGAT","DUPLO PIG *82559*",
"Bricks","",75722,75722,"NOUGAT","DUPLO PIG *82559*",
"Bricks","",75722,75722,"NOUGAT","DUPLO PIG *82559*",
"Bricks","",75722,75722,"NOUGAT","DUPLO PIG *82559*",
"Bricks","",75722,75722,"NOUGAT","DUPLO PIG *82559*",
"Bricks","",75722,75722,"NOUGAT","DUPLO PIG *82559*",
"Bricks","",75722,75722,"NOUGAT","DUPLO PIG *82559*",
"Bricks","",75722,75722,"NOUGAT","DUPLO PIG *82559*",
"Bricks","",75722,75722,"NOUGAT","DUPLO PIG *82559*",
"Bricks","",75726,75726,"NOUGAT","DUP SUCKING PIG ON FOOT*82560*",
"Bricks","",75726,75726,"NOUGAT","DUP SUCKING PIG ON FOOT*82560*",
"Bricks","",75726,75726,"NOUGAT","DUP SUCKING PIG ON FOOT*82560*",
"Bricks","",75726,75726,"NOUGAT","DUP SUCKING PIG ON FOOT*82560*",
"Bricks","",75726,75726,"NOUGAT","DUP SUCKING PIG ON FOOT*82560*",
"Bricks","",75726,75726,"NOUGAT","DUP SUCKING PIG ON FOOT*82560*",
"Bricks","",75726,75726,"NOUGAT","DUP SUCKING PIG ON FOOT*82560*",
"Bricks","",75726,75726,"NOUGAT","DUP SUCKING PIG ON FOOT*82560*",
"Bricks","",75726,75726,"NOUGAT","DUP SUCKING PIG ON FOOT*82560*",
"Bricks","",75726,75726,"NOUGAT","DUP SUCKING PIG ON FOOT*82560*",
"Bricks","",75726,75726,"NOUGAT","DUP SUCKING PIG ON FOOT*82560*",
"Bricks","",75726,75726,"NOUGAT","DUP SUCKING PIG ON FOOT*82560*",
"Bricks","",75726,75726,"NOUGAT","DUP SUCKING PIG ON FOOT*82560*",
"Bricks","",75726,75726,"NOUGAT","DUP SUCKING PIG ON FOOT*82560*",
"Bricks","",75726,75726,"NOUGAT","DUP SUCKING PIG ON FOOT*82560*",
"Bricks","",75726,75726,"NOUGAT","DUP SUCKING PIG ON FOOT*82560*",
"Bricks","",75726,75726,"NOUGAT","DUP SUCKING PIG ON FOOT*82560*",
"Bricks, Special","",87876,4569840,"NOUGAT","PIG 1x4x1 2/3 W.DECO",
"Bricks, Special","",87876,4569840,"NOUGAT","PIG 1x4x1 2/3 W.DECO",
"Bricks","",92328,6002417,"NOUGAT","PIG ""NO 2"" DECORATED FRONT",
"Bricks","",92328,6002417,"NOUGAT","PIG ""NO 2"" DECORATED FRONT",
"Bricks","",92328,6002417,"NOUGAT","PIG ""NO 2"" DECORATED FRONT",
"Bricks","",92328,6002417,"NOUGAT","PIG ""NO 2"" DECORATED FRONT",
"Bricks, Special","",96029,4623498,"NOUGAT","PIG 1x4x1 2/3 W.DECO",
