"Category","Colour Family","Design ID","Element ID","Exact Colour","Name"
"Bricks, Special","Blue",2431,4250597,"PASTBLU","FLAT TILE 1X4"
"Bricks, Special","Blue",2431,4250597,"PASTBLU","FLAT TILE 1X4"
"Bricks, Special","Blue",2431,4250597,"PASTBLU","FLAT TILE 1X4"
"Bricks, Special","Blue",3001,4250614,"PASTBLU","BRICK 2X4"
"Bricks, Special","Blue",3001,4250614,"PASTBLU","BRICK 2X4"
"Bricks, Special","Blue",3001,4250614,"PASTBLU","BRICK 2X4"
"Bricks, Special","Blue",3009,4250604,"PASTBLU","BRICK 1X6"
"Bricks, Special","Blue",3009,4250604,"PASTBLU","BRICK 1X6"
"Bricks, Special","Blue",3710,4616411,"PASTBLU","PLATE 1X4"
"Bricks, Special","Blue",3833,4616409,"PASTBLU","MINI CONTRACTOR'S HELMET"
"Bricks, Special","Blue",4287,4250611,"PASTBLU","ROOF TILE 1X3/25° INV."
"Bricks, Special","Blue",4287,4250611,"PASTBLU","ROOF TILE 1X3/25° INV."
"Bricks, Special","Blue",6636,4250620,"PASTBLU","FLAT TILE 1X6"
"Bricks, Special","Blue",6636,4250620,"PASTBLU","FLAT TILE 1X6"
"Bricks, Special","Blue",6636,4250620,"PASTBLU","FLAT TILE 1X6"
"Bricks, Special","Blue",85984,4616412,"PASTBLU","ROOF TILE 1 X 2 X 2/3, ABS"
