"Category","Colour Family","Design ID","Element ID","Exact Colour","Name"
"Bricks, Special","Green",2588,4493773,"PH.GREEN","GHOST"
"Bricks, Special","Green",2588,4493773,"PH.GREEN","GHOST"
"Bricks, Special","Green",30057,4493367,"PH.GREEN","ROUND PLATE 1X1 - TR."
"Bricks, Special","Green",30057,4493367,"PH.GREEN","ROUND PLATE 1X1 - TR."
"Bricks, Special","Green",30070,4518206,"PH.GREEN","FLAT TILE 1X2 - TR"
"Bricks, Special","Green",30374,4516442,"PH.GREEN","LIGHT SWORD - BLADE"
"Bricks, Special","Green",40379,4508461,"PH.GREEN","TIP OF THE TAIL Ø6,47"
"Bricks, Special","Green",40379,4508461,"PH.GREEN","TIP OF THE TAIL Ø6,47"
"Bricks, Special","Green",40379,4508461,"PH.GREEN","TIP OF THE TAIL Ø6,47"
"Bricks, Special Circles And Angles","Green",41669,4260439,"PH.GREEN","BION. EYE -  GLOW 50%"
"Bricks, Special Circles And Angles","Green",41669,4260439,"PH.GREEN","BION. EYE -  GLOW 50%"
"Bricks, Special Circles And Angles","Green",41669,4260439,"PH.GREEN","BION. EYE -  GLOW 50%"
"Bricks, Special Circles And Angles","Green",41669,4260439,"PH.GREEN","BION. EYE -  GLOW 50%"
"Bricks, Special Circles And Angles","Green",41669,4260439,"PH.GREEN","BION. EYE -  GLOW 50%"
"Bricks, Special","Green",50746,4516438,"PH.GREEN","ROOF TILE 1 X 1 X 2/3, PC"
"Bricks, Special","Green",50746,4516438,"PH.GREEN","ROOF TILE 1 X 1 X 2/3, PC"
"Bricks, Special","Green",50746,4516438,"PH.GREEN","ROOF TILE 1 X 1 X 2/3, PC"
"Bricks, Special","Green",50746,4516438,"PH.GREEN","ROOF TILE 1 X 1 X 2/3, PC"
"Bricks, Special Circles And Angles","Green",50899,4283694,"PH.GREEN","Rotor w/ring ø39, 3-leaved"
"Bricks, Special Circles And Angles","Green",52901,4263240,"PH.GREEN","DISK Ø24 - GLOW 50%"
"Bricks, Special Circles And Angles","Green",52901,4263240,"PH.GREEN","DISK Ø24 - GLOW 50%"
"Bricks, Special Circles And Angles","Green",52901,4263240,"PH.GREEN","DISK Ø24 - GLOW 50%"
"Bricks, Special Circles And Angles","Green",52901,4263240,"PH.GREEN","DISK Ø24 - GLOW 50%"
"Bricks, Special","Green",55236,4500078,"PH.GREEN","Tail Ø 3,2"
"Bricks, Special","Green",55236,4500078,"PH.GREEN","Tail Ø 3,2"
"Bricks, Special","Green",55236,4500078,"PH.GREEN","Tail Ø 3,2"
