"Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price"
"Bricks, Special","Purple",3065,4247094,"TR.M.R.V.GLI","BRICK 1X2 WITHOUT PIN",
"Bricks, Special","Purple",6223,4215516,"TR.M.R.V.GLI","BRICK 2X2 - TR.",
"Bricks, Special","Purple",6223,4215516,"TR.M.R.V.GLI","BRICK 2X2 - TR.",
"Bricks, Special","Purple",30071,4216456,"TR.M.R.V.GLI","BRICK 1X1 - TR","£0.16"
"Bricks, Special","Purple",30071,4216456,"TR.M.R.V.GLI","BRICK 1X1 - TR","£0.16"
"Bricks, Special","Purple",30071,4216456,"TR.M.R.V.GLI","BRICK 1X1 - TR","£0.16"
"Bricks, Special","Purple",30071,4216456,"TR.M.R.V.GLI","BRICK 1X1 - TR","£0.16"
"Bricks, Special","Purple",30071,4216456,"TR.M.R.V.GLI","BRICK 1X1 - TR","£0.16"
"Bricks, Special","Purple",30071,4216456,"TR.M.R.V.GLI","BRICK 1X1 - TR","£0.16"
"Bricks","Purple",42657,4260810,"TR.M.R.V.GLI","DUPLO BRICK 1X2X2, TRANSPARENT",
"Bricks","Purple",42657,4260810,"TR.M.R.V.GLI","DUPLO BRICK 1X2X2, TRANSPARENT",
"Bricks","Purple",42657,4260810,"TR.M.R.V.GLI","DUPLO BRICK 1X2X2, TRANSPARENT",
